ID,Generation,Cost,Reach Outlet NO3 kg/yr,N_reduction_kg,Reach Outlet Sediment tons/yr,S_reduction_ton,N_reduction_pct,S_reduction_pct,# PND Lake small,# PND Marsh small,# PND Marsh med,# PND Marsh large,# RES Marsh 50 ha,# RES Marsh 250 ha,# RES Marsh 500 ha,# RAMO area m^2,# RAMO sediment reduced Mg/yr,SWAT (1st) Outlet Average Daily FlowOut m^3/sec,SWAT (1st) WYLD m^3,SWAT (1st) LeSueur NO3 kg/yr,SWAT (1st) Reach Outlet NO3 kg/yr,SWAT (1st) Reach Outlet P kg/yr,SWAT (1st) Reach Outlet Sediment tons/yr,SWAT (1st) Sediment Transport Subbasin tons/yr,Point Source Sediment tons/yr,Point Source Mineral P kg/yr,Adjusted Point Source Sediment tons/yr,Adjusted Point Source Mineral P kg/yr,SWAT (2nd) Outlet Average Daily FlowOut m^3/sec,SWAT (2nd) WYLD m^3,SWAT (2nd) LeSueur NO3 kg/yr,SWAT (2nd) Reach Outlet P kg/yr,SWAT (2nd) Sediment Transport Subbasin tons/yr,SWAT (2nd) NO3 YIELD (SQ) kg/ha,SWAT (2nd) NO3 YIELD (LAT) kg/ha,SWAT (2nd) NO3 YIELD (TILE) kg/ha,SWAT (1st) HRU Sediment Transport HRU 1300 t/ha,SWAT (1st) HRU NO3 Leached HRU 1300 kg/ha,SWAT (2nd) HRU Sediment Transport HRU 1300 t/ha,SWAT (2nd) HRU NO3 Leached HRU 1300 kg/ha,Dominates,Superiors,RawFitness,Score
1,-1,0,27883512.34,0,605894.8959,0,0,0,0,0,0,0,0,0,0,0,0,224.986006,163852088.5,3404236.9,27847498.58,1315094.006,579821.3825,1462296.139,1023660.702,451434.368,1103170.386,486498.1499,225.349866,164104852.8,3406746.741,1341080.455,1454306.395,0.141,0.6389,10.6187,2157.50864,1256.064115,2144.046216,1258.304415,0,0,0,999999.5625
20004044,12,1548391.84,27778474.08,105038.26,606845.1871,-950.2912,0.4,-0.2,0,1,0,0,0,1,0,0,0,224.904221,163755123.9,3404236.9,27778259.55,1313737.235,579775.1027,1459081.762,1023660.702,451434.368,1102814.475,486341.1925,224.904221,163755123.9,3404203.927,1323043.43,1459081.762,0.1393,0.6363,10.6003,2151.928995,1255.57964,2151.928995,1255.57964,0,0,0,999999.5625
20008220,12,1548391.84,27778474.08,105038.26,606845.1871,-950.2912,0.4,-0.2,0,1,0,0,0,1,0,0,0,224.904221,163755123.9,3404236.9,27778259.55,1313737.235,579775.1027,1459081.762,1023660.702,451434.368,1102814.475,486341.1925,224.904221,163755123.9,3404203.927,1323043.43,1459081.762,0.1393,0.6363,10.6003,2151.928995,1255.57964,2151.928995,1255.57964,0,0,0,999999.5625
20013751,10,1719766,27824745.32,58767.02,605838.2122,56.6837,0.2,0,1,0,0,0,0,1,0,0,0,224.788524,163675168.4,3397626.157,27824517.42,1306190.281,578761.0458,1454765.213,1023660.702,451434.368,1099669.756,484954.3712,224.788524,163675168.4,3397594.608,1314107.576,1454765.213,0.1386,0.6354,10.604,2145.365162,1255.093523,2145.365162,1255.093523,0,0,0,999999.5625
20014288,3,2365209.29,27714544.43,168967.91,571719.5462,34175.3497,0.6,5.6,0,0,2,0,1,0,0,3744061,8325.8579,224.964297,163834461.3,3404236.9,27713622.68,1306776.586,551955.9257,1433079.208,1023660.702,451434.368,1085980.164,478917.2617,224.993032,163856983.6,3404203.927,1309169.058,1432635.303,0.1391,0.637,10.6052,2086.970549,1255.69647,2085.706025,1255.752441,0,0,0,999999.5625
20024368,17,2769860.17,27703897.35,179614.99,606894.8474,-999.9515,0.6,-0.2,0,1,0,0,1,1,0,0,0,224.991267,163843986.5,3402445.578,27703681.46,1282076.728,579794.3401,1389853.707,1023660.702,451434.368,1103122.34,486476.9611,224.991267,163843986.5,3402413.678,1291503.982,1389853.707,0.1378,0.6368,10.5952,2005.119947,1254.840349,2005.119947,1254.840349,0,0,0,999999.5625
20018010,13,3075493.87,27518767.42,364744.92,603251.4228,2643.4731,1.3,0.4,0,0,1,0,0,1,0,0,0,224.995407,163847489.4,3404236.9,27518578.53,1296115.029,576170.7431,1431171.87,1023660.702,451434.368,1103127.389,486479.1879,224.995407,163847489.4,3404203.927,1305549.846,1431171.87,0.1381,0.6364,10.6033,2083.446138,1254.902696,2083.446138,1254.902696,0,0,0,999999.5625
20003011,27,3271967.63,27481790.73,401721.61,603294.0254,2600.8705,1.4,0.4,0,0,1,0,0,1,0,2391490,5318.0774,224.989075,163842525.5,3402445.578,27481567.85,1274455.434,576213.6872,1380736.481,1023660.702,451434.368,1098887.107,484609.2239,224.989075,163842525.5,3402413.678,1282274.207,1380736.481,0.1375,0.6366,10.6,1977.775019,1254.931704,1977.775019,1254.931704,0,0,0,999999.5625
20020076,13,3529401.36,27784311.94,99200.4,562174.4768,43720.4191,0.4,7.2,0,3,0,0,0,1,0,3103998,6902.5175,224.814079,163691090.5,3403815.772,27784021.2,1286924.482,541880.5718,1387278.7,1023660.702,451434.368,1092879.842,481960.0197,224.814079,163691090.5,3403782.998,1291911.992,1387278.7,0.1382,0.6357,10.6005,1979.028339,1255.457375,1979.028339,1255.457375,0,0,0,999999.5625
20003505,18,3566582.68,27800764.85,82747.49,560958.8861,44936.0098,0.3,7.4,0,1,1,0,1,0,0,3687174,8199.3554,224.930659,163823625.3,3404188.973,27800482.19,1293021.846,541648.6022,1404955.162,1023660.702,451434.368,1091620.927,481404.8385,224.930659,163823625.3,3404155.993,1297542.466,1404955.162,0.1387,0.6368,10.5975,2018.983378,1255.89763,2018.983378,1255.89763,0,0,0,999999.5625
