wetland,cc,nm,county
407.394812,6.944811985,117.984812,Anoka
409.6454799,9.195479924,120.2354799,Big Stone
408.5639177,8.113917691,119.1539177,Blue Earth
407.7283747,7.27837475,118.3183747,Brown
406.8838975,6.433897493,117.4738975,Carver
408.6775522,8.227552213,119.2675522,Chippewa
407.8001579,7.350157899,118.3901579,Cottonwood
407.3894211,6.939421079,117.9794211,Dakota
408.2767256,7.826725638,118.8667256,Douglas
407.8043898,7.35438977,118.3943898,Faribault
408.3038553,7.853855286,118.8938553,Freeborn
408.7254029,8.275402919,119.3154029,Goodhue
408.2850243,7.835024312,118.8750243,Grant
408.0426716,7.592671612,118.6326716,Hennepin
407.463594,7.013594011,118.053594,Jackson
408.7392135,8.289213482,119.3292135,Kandiyohi
408.3246961,7.874696073,118.9146961,Lac Qui Parle
407.8786143,7.428614294,118.4686143,Le Sueur
407.9693091,7.519309081,118.5593091,Lincoln
407.9384231,7.488423091,118.5284231,Lyon
407.804867,7.354867016,118.394867,Martin
407.3164043,6.866404306,117.9064043,McLeod
407.1868824,6.736882449,117.7768824,Meeker
407.6846494,7.234649416,118.2746494,Murray
408.2833719,7.833371913,118.8733719,Nicollet
407.7752474,7.325247387,118.3652474,Nobles
408.0803418,7.630341791,118.6703418,Otter Tail
407.301673,6.851673042,117.891673,Pipestone
409.885615,9.435615042,120.475615,Pope
407.7058487,7.255848683,118.2958487,Redwood
408.0346742,7.584674152,118.6246742,Renville
407.9454793,7.495479251,118.5354793,Rice
405.4683148,5.018314819,116.0583148,Sherburne
407.7995815,7.349581462,118.3895815,Sibley
408.9310795,8.481079463,119.5210795,Steele
408.4534504,8.003450389,119.0434504,Stevens
408.2630717,7.813071672,118.8530717,Swift
407.662853,7.212853003,118.252853,Todd
408.1502399,7.700239892,118.7402399,Traverse
407.7151146,7.265114608,118.3051146,Wabasha
407.8353685,7.385368523,118.4253685,Waseca
407.0305219,6.580521893,117.6205219,Washington
408.0765301,7.626530094,118.6665301,Watonwan
408.3788831,7.928883078,118.9688831,Yellow Medicine
