County,CRP Regular Rental Rate
Aitkin,33
Anoka,57
Becker,111
Beltrami,40
Benton,79
Big Stone,163
Blue Earth,232
Brown,197
Carlton,20
Carver,189
Cass,35
Chippewa,190
Chisago,69
Clay,141
Clearwater,38
Cook,13
Cottonwood,202
Crow Wing,37
Dakota,202
Dodge,207
Douglas,129
Faribault,219
Fillmore,191
Freeborn,217
Goodhue,250
Grant,168
Hennepin,131
Houston,178
Hubbard,25
Isanti,62
Itasca,23
Jackson,202
Kanabec,63
Kandiyohi,214
Kittson,75
Koochiching,23
Lac Qui Parle,170
Lake,13
Lake Of The Woods,33
Le Sueur,222
Lincoln,171
Lyon,183
McLeod,223
Mahnomen,110
Marshall,90
Martin,222
Meeker,175
Mille Lacs,76
Morrison,77
Mower,199
Murray,177
Nicollet,215
Nobles,189
Norman,110
Olmsted,194
Otter Tail,106
Pennington,65
Pine,32
Pipestone,180
Polk-East,125
Pope,143
Ramsey,73
Red Lake,65
Redwood,187
Renville,219
Rice,214
Rock,212
Roseau,54
Saint Louis-North,13
Scott,198
Sherburne,52
Sibley,226
Stearns,142
Steele,219
Stevens,164
Swift,174
Todd,63
Traverse,170
Wabasha,186
Wadena,31
Waseca,216
Washington,114
Watonwan,213
Wilkin,137
Winona,206
Wright,159
Yellow Medicine,183
