OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Area_acre,Shape_Le_1,Shape_Area
1058,Big Stone,Minnesota,27,11,27011,5298,10,5269,10,5175,11,22,4,0,41,15,42,2575,2694,289,287,316,319,191,487,485,821,750,571,492,261,48.4,47.1,49.9,2293,2.24,322,422,402,839,49,90,1457,2.8,3115,822,1848,445,400,622,215735,411561,528.05,2.040632593,285068,182195.3777,1375241828
638,Blue Earth,Minnesota,27,13,27013,67828,88.6,64013,83.6,59400,1741,178,1249,22,1586,398,1025,32209,31804,3814,3437,3232,5918,10664,8944,6403,7501,6538,3583,2569,1410,29.8,29,31,24445,2.43,3104,3625,4498,6546,529,1295,14021,2.94,26202,1757,15951,8494,1070,352,338830,472358,765.75,2.110097385,488893,197260.6367,1985466180
639,Brown,Minnesota,27,15,27015,25555,41.3,25893,41.9,25245,61,21,153,2,860,228,183,12856,13037,1573,1541,1548,1778,1615,2748,2715,4117,3359,2126,1776,997,43.1,41.1,45.1,10782,2.3,1479,1877,2066,3697,269,532,6976,2.87,11493,711,8512,2270,1055,309,296379,362954,618.28,2.101852932,395724,189758.8844,1601437596
1059,Carver,Minnesota,27,19,27019,100672,267.7,91042,242.1,84450,1124,208,2478,15,3515,1331,1436,45236,45806,6725,7902,7988,6552,3931,10830,14440,15857,9110,4160,2447,1100,36.2,35.5,36.9,32891,2.74,3028,3865,11230,9451,775,1764,24378,3.22,34536,1645,26846,6045,789,197,131550,170340,376.03,1.569418034,141456,143977.8657,958490914.7
1061,Chippewa,Minnesota,27,23,27023,12317,21,12441,21.2,11632,65,119,57,97,611,317,154,6102,6339,828,728,824,814,605,1385,1332,1835,1690,1076,862,462,43,41.2,44.6,5241,2.33,674,927,1013,1749,138,308,3398,2.88,5721,480,3800,1441,674,497,310612,494408,587.68,2.177404878,383432,192869.0133,1551692695
640,Cottonwood,Minnesota,27,33,27033,11689,18,11687,18,10773,87,27,317,17,720,318,148,5763,5924,703,801,770,782,515,1130,1268,1672,1564,1089,891,502,44.1,42.3,45.7,4857,2.36,678,881,950,1658,104,260,3130,2.96,5412,555,3757,1100,813,459,336445,460135,648.61,1.91021679,311143,174801.4219,1696120653
3096,Dakota,Minnesota,27,37,27037,413094,704.4,398552,679.6,339499,18709,1647,17451,216,23966,9556,11474,195661,202891,27871,28947,29793,27301,21839,54279,56912,66334,45460,22433,12315,5068,36.7,35.6,37.7,152060,2.6,15291,21329,40682,43248,3855,10550,105748,3.12,159598,7538,116308,35752,892,246,192659,270188,586.42,1.913648885,50423.1,178489.3603,1537841090
1065,Douglas,Minnesota,27,41,27041,38087,52.9,36009,50,35186,150,105,164,4,341,73,327,18057,17952,2171,2236,2094,2332,1965,4125,3855,5330,4832,3627,2318,1124,43.1,41.3,44.9,15289,2.32,1962,2327,2937,5494,309,750,10012,2.82,19905,4616,11606,3683,1091,245,197806,110813,719.97,1.939737847,203640,173572.5895,1842086705
641,Faribault,Minnesota,27,43,27043,14190,19.7,14553,20.2,14042,47,62,43,0,817,225,134,7231,7322,831,809,932,932,638,1485,1458,2259,2030,1459,1122,598,45.9,44.1,47.5,6236,2.28,889,1043,1090,2234,143,332,4069,2.81,7090,854,4978,1258,824,473,370187,502671,721.98,1.88452572,457943,173099.7473,1853964243
1873,Freeborn,Minnesota,27,47,27047,30977,42.9,31255,43.3,29121,231,68,238,18,2750,1061,518,15462,15793,1921,1897,1862,1910,1536,3329,3495,4779,4217,3036,2147,1126,44.1,42.7,45.5,13177,2.32,1734,2227,2305,4528,353,810,8555,2.85,14231,1054,10089,3088,1122,340,356653,370784,722.49,1.890739707,103407,173489.7987,1856831972
1066,Grant,Minnesota,27,51,27051,6192,10.8,6018,10.5,5864,19,9,14,1,94,42,69,2974,3044,372,349,328,354,246,647,596,936,856,638,453,243,46.3,45.6,46.9,2601,2.27,376,416,475,956,64,118,1691,2.81,3324,723,2073,528,542,559,279634,393849,575.53,1.712963955,126748,156094.4623,1489456160
3097,Hennepin,Minnesota,27,53,27053,1224331,2017.6,1152425,1899.1,856834,136262,10591,71905,506,77676,38878,37449,566184,586241,76236,72409,69348,72672,84231,187523,154304,171130,133758,66516,42476,21822,35.9,34.9,36.9,475913,2.37,68979,86828,91881,113302,10111,32725,272885,3.07,509469,33556,306121,169792,627,110,54284,102821,606.84,1.841705264,71231,170042.2559,1583943199
642,Jackson,Minnesota,27,63,27063,10314,14.3,10266,14.3,9830,47,24,140,1,277,120,104,5190,5076,610,629,654,670,474,1056,1162,1609,1358,884,738,422,44,42.6,45.4,4429,2.29,676,693,836,1551,125,234,2902,2.84,4990,561,3466,963,826,433,329974,455643,719.24,1.898789777,58380,174262.272,1875577553
1069,Kandiyohi,Minnesota,27,67,27067,43150,50,42239,49,39206,984,130,172,19,4710,1221,507,21078,21161,2919,2776,2623,3137,2729,4910,4643,6248,5422,3362,2247,1223,39.5,37.6,41.3,16732,2.46,1971,2490,3482,5681,396,1037,11239,2.97,19476,2744,12272,4460,1310,317,354055,378160,862.26,2.035457999,261850,193760.9791,2220261470
1072,Lac Qui Parle,Minnesota,27,73,27073,7097,9.1,7259,9.3,7087,17,17,29,3,108,45,61,3629,3630,377,412,446,423,246,639,694,1186,1110,751,631,344,48.7,47.3,50,3155,2.25,465,503,561,1214,69,111,2078,2.78,3692,537,2556,599,852,524,407869,365912,778,2.157187349,502332,196483.4974,2032867042
643,Le Sueur,Minnesota,27,79,27079,27977,59,27703,58.5,26443,94,81,161,5,1444,610,309,13988,13715,1869,1980,1999,1753,1301,3341,3637,4344,3503,2165,1294,517,39.7,39.3,40.2,10758,2.55,1299,1262,2596,3688,366,565,7640,3.01,12416,1658,8911,1847,1051,230,207466,213422,473.86,1.610735276,208719,148724.412,1205839755
644,Lincoln,Minnesota,27,81,27081,5878,10.7,5896,10.8,5777,8,9,14,0,72,43,45,2960,2936,384,367,349,310,240,601,611,831,759,642,504,298,46.1,44.5,48,2574,2.24,416,459,481,904,61,94,1615,2.86,3108,534,2063,511,699,416,256638,284118,548.44,1.608549454,296115,155234.0689,1417107218
