"MEAN","CI_L","CI_U"
184.993957962839,122.987964205179,250.583448647374
184.900389283377,119.664930515748,247.627911551451
186.83241523984,125.527317300054,251.343522202722
185.62414960903,121.522283142801,252.013749336876
184.349113586686,122.143940684828,248.966571492515
186.670840682671,123.973375141852,246.94878214566
186.751164445684,122.496451578035,251.492682738994
183.77936888085,122.038301184503,245.26593156514
185.016469637644,118.163341802246,250.400482133119
187.304727453863,121.394748654439,248.9271583704
187.487662307455,124.710564290554,254.494583964649
186.569942965953,121.76269640562,252.821701285143
185.754813156375,123.152608957627,249.070038817213
185.066338513926,123.049321093538,256.693511982051
183.587056131357,118.670379862246,246.908462081954
185.554416249188,124.506447847185,247.995638640583
184.671997517821,120.177703589143,252.396531029566
185.815558417772,124.716449560267,250.166503586023
186.385411896312,127.456376191375,250.358272214566
185.087531091898,124.182144202274,249.381481075269
186.949328783388,122.894374396741,248.965179841184
186.930507023312,125.90995016538,248.026969537919
185.103333731764,120.059476105083,246.390362979885
185.681530599899,123.479047428138,246.744928762128
185.521091706018,119.652937333663,248.035785164153
184.862183275844,122.20833096993,247.447285438154
185.825966441057,126.339207259519,245.007385414472
185.296981678904,122.078709734512,254.001253077303
184.231513803137,124.504418836774,252.380296856252
185.826249517108,125.098453578619,246.827935337544
186.240642819454,121.525022837087,247.924789219377
186.107862382817,121.850475757731,250.757325740584
184.990968429045,124.763475777885,248.884271092767
183.471079793377,119.898791777153,250.904604869617
184.675182205349,120.368994105717,247.119732713411
185.260340261123,123.344617630636,251.134727775188
186.050546982063,123.383466216887,251.383876688579
185.408106708808,119.036243228416,251.988990423285
186.50087155708,125.032199559475,247.259392613269
184.784890145136,121.067003511662,250.853585023475
186.306747991372,119.661117503682,252.002726519665
185.979502332364,116.466770049989,249.142600612889
185.409038368594,123.490521699438,247.90046948768
184.701987976369,124.754692229195,251.11281089481
185.772608653788,122.983171123408,248.892140962887
186.248978719943,124.879791502787,251.587369532718
186.533975601701,125.960050667589,250.88433294088
185.642155656663,122.075694373993,253.971049685625
184.866417875675,124.887669972811,247.895986885605
187.406795140753,124.317023217588,257.159069729881
186.293314003321,119.671528661015,251.360855672697
185.586491975948,123.191097387383,247.487930187485
187.126657670057,122.626251029342,251.981039129883
184.784963587869,121.323542086722,255.216340864652
185.209472210353,124.654645240752,247.85374261952
184.544370683762,125.647499413553,251.841637696624
186.153628069621,123.579090578585,250.541419313468
185.553967552469,120.775483830259,246.346585235246
185.197781697719,121.06140149929,254.552667985548
185.813648580578,118.77709816288,250.516794929461
184.877805283568,123.8743378526,246.445892179073
185.797138111934,122.791192284537,250.938932622193
186.030742891986,121.524128299684,246.530161412589
184.646164183591,121.23817664787,249.665868496374
187.322790315427,126.617382967253,250.019508082384
184.811996531567,119.303038865608,249.510129963506
186.406530833067,126.035174211851,250.353609841671
187.843663771242,123.242313250653,256.478909471086
185.248091581086,122.410483408991,247.477147220727
186.150751733211,118.011564319874,249.557343635754
185.903464466819,122.297334734229,249.6542627655
186.445250557428,122.940334537095,251.368480919253
184.92526987308,123.772131545537,247.516888594351
186.482679539936,122.729963501373,250.685312198304
185.214386033377,122.203824423866,252.374891627035
184.469394031039,124.235278530458,249.370075121628
185.66474338199,120.766585472329,249.562258448482
184.530951792212,121.924695656747,250.263066032499
186.485403703941,125.589291560651,251.322785911506
185.789921179468,118.337057970977,249.541588323319
186.075940100383,124.105853956816,251.597499190385
186.121143365867,123.766927177427,249.38401074843
185.933171653973,122.719115165729,250.676809298584
186.4068135572,123.532043904482,254.775451092157
186.622024686367,117.769770134391,247.065085288609
184.547840736568,119.735084083268,246.598107486338
185.981886779203,129.971281911307,247.511354602779
185.250142908794,123.919707463647,250.841126879936
185.746394777682,121.931523954444,252.620062180702
184.818471842124,123.166409532817,251.109023945598
185.817650656857,121.80409923907,248.659030843218
187.211875790638,126.294555079861,249.716064703148
186.794376016408,125.177874169938,251.974731729211
183.892439123241,120.082929038229,249.717349677068
185.27753543099,127.779045364262,254.633877252039
185.970818324734,116.228017510756,252.861799037027
184.71379157282,121.294232453388,249.609061396268
185.152518542676,124.757419939001,251.231535162021
185.862590898455,125.677397936685,249.969386644757
185.985968050848,124.489455960912,252.618996456534
184.926879301794,119.414862450973,247.323780166792
186.1847748863,122.682197121958,253.437831499986
186.271682704934,125.699616326589,246.255937156273
187.390796912771,125.131300594188,251.305868908359
185.386935920546,124.585226136177,251.303037335739
186.375737829352,119.914360993051,255.320404658756
186.670535141163,120.307701514135,249.040189834843
186.561514327543,122.634140586479,247.390672181137
186.434783468843,119.144869918514,250.279620649563
185.118568763226,121.936562770183,255.078826678755
186.422086041812,128.925413919711,250.958606570894
185.277024953024,120.871144916499,251.807498450746
186.826558453171,121.879867604889,250.859758447215
185.332230027145,124.402102833126,245.704164228141
185.270488690731,118.79322697459,249.415015674059
186.042586259638,120.786263517394,250.123172886738
185.566665375086,126.69506911512,249.856599496896
186.45858269853,124.446692467107,248.442706150017
186.017110045536,123.590195679659,254.901085535597
186.840397387774,124.716217210548,250.801325687166
185.242892614048,121.632383064781,250.275575630363
184.819072079706,123.495028661435,247.348742689524
185.449379040093,125.795402093008,252.084324082519
185.624543700198,130.077266434642,251.547099984394
185.129428319712,124.79345735138,249.051025449308
185.859559424787,121.738118584621,246.757804705772
185.467497769605,122.66024999192,251.852869604309
185.125564959396,124.326391633055,245.317318654286
185.914732420997,121.50355582416,247.864874484203
184.735588240138,121.337736482671,244.961458821059
184.566857915735,122.887402395243,248.083267747119
186.603253738692,119.993243762439,250.15234756326
184.586436044441,121.702673315361,249.772093356375
185.142651490577,126.306765435719,246.533163013973
186.69497881522,120.932587903595,255.285517465568
186.305185650622,125.794465838638,249.272005043116
185.828264616406,125.938730637264,248.865770010472
184.775055821581,123.11678639868,253.589611020629
183.87045656152,126.372748390366,244.99654594605
186.82364349727,125.272559387749,250.396681727613
186.242264970837,115.213079951557,251.21238654614
186.511921790611,125.576823852097,252.818885555861
186.255179623885,120.263928051816,250.345733276728
184.051780326545,118.983302266379,254.595204132369
186.313819179223,121.268291828991,255.654308482262
185.997860394069,121.763340187195,253.888537192051
185.950682167878,122.733820072473,254.439839657768
185.567658350056,124.886334206716,248.788807947935
185.782024543496,124.417679828508,248.876974450647
187.024616897926,125.831293332885,252.797592098774
186.249365989016,127.630065729772,250.465270508533
186.926811479254,128.723182156206,249.242680199796
186.360721794105,124.559767781989,250.37103815419
184.393771943871,121.581725345145,248.967281059333
186.051030606236,122.680331663615,253.035235611436
187.340146747221,125.232920112616,253.259231445262
185.029418837055,124.271541537511,246.98564902148
185.840114928583,124.915050446106,246.027837246867
184.335016138188,117.623342265581,244.603747014471
184.40491667832,118.020515256928,250.375454589695
