"MEAN","CI_L","CI_U"
201.804300933979,138.004311310167,270.183242755609
202.191219086198,141.555127964222,267.955369594414
200.84539565644,139.055109386582,266.392605804852
202.29653706859,139.628405944443,268.329666187081
200.781463837776,131.496554649229,263.293290071656
202.116685470133,135.515810703496,265.090114170854
202.478046286699,137.716636275086,269.39343614146
200.957701727431,137.838759450919,267.763275194287
203.107014152113,140.11588448567,268.95250359709
203.371500552754,135.891456848985,272.635096475106
203.219463837166,140.481670632816,271.043559220633
201.867358596017,134.874213452747,268.242837316451
201.509002119921,136.53501591979,263.872002013968
200.183569204411,133.169842384839,262.170689424675
203.412679627502,137.011671843693,267.532184636112
201.175670203212,138.280340308353,269.266580944963
201.189521038477,139.95178148656,266.716010570393
201.672100902726,135.773071128647,266.955952653607
202.885187549392,137.55091324085,275.454645398343
201.341972089304,139.290173445003,267.919624728656
202.492826403399,137.977852692723,267.677400355845
200.751104183714,138.425388675169,266.409872118554
201.877757452912,139.537545255304,267.248564068673
200.685534373799,137.983132225166,268.229342408321
200.767730637527,137.185306011084,268.104564319889
200.431303197457,138.262726165992,266.682459241282
200.002981949797,139.370159208103,266.795722228115
203.147582108898,139.131777531369,268.310294964519
200.020332177968,137.427867332598,264.437938613461
200.008745922012,140.849490988463,268.382189404959
202.647320955084,136.500960808833,274.410835154291
201.425155143617,135.955096907766,268.40692462492
202.197425531397,136.440995268652,267.027175691681
200.864836913496,131.985805497195,271.787299586025
200.810161331013,140.435379900336,261.684103369561
202.532483672902,134.28542900566,274.13695700896
201.39891600603,135.557255411922,265.21472314609
202.384875425017,136.487359533557,268.999261607734
203.852370043364,138.479479135802,268.410688404582
201.472761844693,140.644790336346,268.11649555176
202.552770115353,136.455699416074,270.65686156471
200.723753635669,137.704729497382,266.624220894373
201.193236250253,134.820966660589,265.567477613863
201.637344340849,135.933313387912,266.956298731693
201.74849241233,142.237068175654,261.404851278297
200.072731544476,138.013416657834,269.495999514286
200.977889832605,136.458550593403,267.640661019318
200.073437235293,133.334294807199,263.696201640317
200.901717854413,137.960724574736,265.909985248466
201.875297232007,133.878427904584,269.549802877678
201.320656714217,137.6505646934,266.360228616748
204.446239714713,138.182434171293,267.24427517097
201.667753785626,139.223165752434,268.954485864442
200.838734125607,139.464674058435,264.005933324105
199.807921748627,139.414481682947,261.554653676455
203.56165215791,139.86697744567,272.05780279858
200.776810552539,134.764182025844,266.567456076331
202.462495615911,136.84873489799,268.933823802926
202.384348075468,139.974732338054,267.984870405071
202.122429697021,137.355726320934,268.389954402023
201.414714033965,140.512517661687,269.214448851816
200.62026979094,139.007193243541,267.2480156165
200.083544035377,136.73708441838,266.696187063995
201.449529505496,131.368751731872,273.222811022544
202.291576746196,140.011405037771,263.641146556699
