"MEAN","CI_L","CI_U"
202.716176114352,138.916307052693,273.844454724937
203.852667163998,142.639753116945,269.546632068802
201.70328001083,142.224661378674,268.182740307954
201.995104373729,144.027514235155,266.123049224129
201.999414546237,139.176779840317,266.761197819893
202.471195516369,140.87883749876,269.458988084477
202.784209245902,139.604776177901,270.276987845814
203.944374001725,145.505833634086,269.455691236196
202.741856634773,135.133493955987,268.95461139988
202.212804484129,139.077666217397,271.236493251121
202.099869822786,138.127840469921,270.149360984149
203.331844972588,139.923683808247,272.314061540801
204.898629784283,142.066472627322,270.856101490363
201.526850152257,142.209350031213,266.511244170243
202.298984646654,139.14414214268,269.538398838476
203.317244103749,143.029109732729,269.975852037047
203.785658742327,146.152004469516,265.200360824345
205.710658802375,147.575760541821,272.737762503008
205.509550429852,140.682271064953,271.980871490156
202.111062597454,138.144073045111,266.572408810795
202.530535395224,137.314786110095,269.762250136275
204.382651862665,141.205526899809,271.978195114584
201.224962919356,135.844545368749,274.243621942545
202.958086548283,138.765149249214,269.67327279709
202.493131773452,135.319435573036,267.851234767424
202.297743278427,143.101212316284,266.223954674904
203.798957842288,142.459746788916,266.427582575978
203.325295874301,135.6244099172,269.957484764185
201.978924806131,140.965104364281,265.450873883957
202.028830087361,141.641567470729,268.869090371308
202.644202680859,143.910799581234,266.588226718528
201.634037747931,141.90521314271,269.033413897563
203.36043200181,143.243313840024,266.23105579725
202.680743469498,142.024667018654,264.66118174569
205.372658679435,143.228796208604,264.040447190914
202.391840683134,139.401773518593,268.171092995245
204.171617850478,138.921705077934,268.764003169338
204.776627174718,139.98235369324,272.356234224054
201.993235847652,141.840103997465,263.41649728841
201.583490758805,139.978627226815,268.826210017243
203.737821372546,142.836734886097,267.129984642324
204.370817205121,136.311290129283,271.511234600904
202.52915191436,139.625169342651,265.45397620721
202.112987173322,138.72912474478,269.585733287922
201.49609907774,130.238257313912,265.678232774796
203.394556667933,137.650391679298,269.01839778322
202.823847916083,142.443857002779,267.528030115125
203.514840841281,141.307858964118,269.787920882245
201.036134226171,140.178177184778,260.737468264911
203.737008383809,146.860276297797,270.852488175924
203.236604806605,139.766553934759,269.108356378226
203.757814396112,140.685713831109,269.732696056138
199.439239720586,135.779162017226,268.008365177445
203.776846258373,140.29713980933,266.538040748746
203.602621306402,137.006602806305,269.488794043349
203.642353637963,142.553033749887,269.297727487219
203.237653644351,139.617748198694,261.10956734854
203.084848495691,139.625237049193,271.579547949688
203.092903579794,142.253690966223,270.727176362614
204.477286084101,139.053379784399,268.889990117485
205.712660153731,140.635927169485,269.808955798908
202.611322997826,139.964440566542,265.492616864554
203.640034755148,141.50325274483,267.445892042794
203.338093277915,137.580353672805,266.817599362634
202.643375127592,141.893352166295,262.428831699786
201.677404680133,137.673047317087,264.88998392494
202.157225346633,140.106921246029,268.818286093151
203.737446984955,139.40294091788,269.291592771768
203.888305029479,144.028943298297,267.753885316518
203.566199047194,136.036156612817,268.077481048164
202.944452246282,136.290225806694,271.019221957284
202.523569592089,139.702366749007,270.060279129167
203.266609846205,137.907084927945,266.280375188075
202.61372410412,139.340270142296,264.960202059303
204.260225031472,143.257200852505,268.65840358534
