Physiognomy,Macrogroup,Location,# Reference,Location,Year_published,Year_CPI,Duration,Area (acres),TotalCost_2018,Cost_acre_year_2018
Salt Mash,Coastal Salt Marsh,Others,1,Others,2007,1993,3,486.99,6638261,4543.74
Salt Mash,Coastal Salt Marsh,Others,2,Others,1998,1994,3,20509.3,169437922,2753.84
Salt Mash,Coastal Salt Marsh,Others,2,Others,1998,1996,1,395.36,2560683,6476.84
Salt Mash,Coastal Salt Marsh,Others,2,Others,1998,1996,1,5683.3,19205124,3379.22
Alkaline,Warm & Cool Desert Alkali-Saline Marsh,Southwest,3,Southwest,2005,1997,10,23.47,101694,433.21
Bog/Fen,Boreal & Sub-boreal Bog & Acidic Fen,Southwest,4,Southwest,2007,2007,1,4450,328338,73.78
Bog/Fen,Boreal & Sub-boreal Bog & Acidic Fen,Southwest,4,Southwest,2007,2007,1,4450,108110,24.29
Marsh,Montane-Subalpine-Boreal Marsh,Southwest,4,Southwest,2007,2007,1,124,195270,1574.76
Forested,Montane Riparian & Swamp Forest,Southwest,4,Southwest,2007,2007,1,10,448967,44896.75
Marsh,Arid West Interior Freshwater Marsh,Southwest,4,Southwest,2007,2007,1,15,38864,2590.94
Marsh,Arid West Interior Freshwater Marsh,Southwest,4,Southwest,2007,2007,1,27,161986,5999.47
Salt Mash,Coastal Salt Marsh,Others,5,Others,1996,1995,3,19768,2965831,50.01
Salt Mash,Coastal Salt Marsh,Others,6,Others,1988,1987,1,2.47,34041,13776.17
Salt Mash,Coastal Salt Marsh,Others,6,Others,1988,1987,1,2.47,7073,2862.58
Salt Mash,Coastal Salt Marsh,Others,6,Others,1988,1987,1,2.47,41556,16817.66
Salt Mash,Coastal Salt Marsh,Others,6,Others,1988,1987,1,2.47,75155,30414.92
Salt Mash,Coastal Salt Marsh,Others,7,Others,1997,1996,3,11.12,128034,3838.13
Bog/Fen,North Pacific Bog & Fen,Pacific northwest,8,Pacific northwest,2007,2007,5,5045.78,2089530,82.82
Salt Mash,Coastal Salt Marsh,West,9,West,2007,1972,35,13999.7,60073445,122.6
