MEAN,CI_L,CI_U
-173.1391827,-378.967351,43.14675856
-174.9491759,-402.2822939,32.50010734
-169.3260739,-393.9007006,35.75744857
-168.3758758,-396.3196696,40.7373018
-171.9158306,-404.9338787,34.14715023
-175.9242378,-389.4157207,31.45525888
-164.2118999,-390.981505,46.71848259
-168.7654508,-406.0366881,51.6976828
-173.8432729,-409.8533866,39.10548284
-170.8925453,-413.2379578,51.02878002
-166.9634113,-391.6772833,45.80762135
-174.1203642,-392.862075,29.81075969
-168.329804,-386.3234885,46.14066838
-175.0145634,-397.6547898,25.05791299
-171.7267856,-400.2612776,39.38909847
-163.9704956,-404.5383635,47.2107741
586.532837,463.4066733,693.8841019
586.3368805,464.8096359,712.806629
588.6781778,468.9979339,702.2050302
591.9680483,473.1156494,709.1696195
589.1159555,466.7314043,710.6278237
587.9771539,476.651722,698.0926366
585.8648082,474.6811369,710.3167155
590.1616525,479.4944684,705.5816312
583.9498772,458.7404631,707.5785717
583.9017896,473.2208177,696.3090994
590.8824884,474.5031214,716.1061238
584.0964632,471.7345726,699.4708209
587.8825702,471.5878144,700.6999613
585.937996,468.6799829,702.1455369
590.4571836,478.4283381,713.1784934
586.8938582,471.6948079,704.7753189
566.4604475,440.8688664,706.6326154
563.7383988,435.010309,700.3155311
569.4619148,434.3757549,704.0977579
561.4530125,426.150946,696.8120369
565.7637979,433.3849346,711.1830773
566.1896004,420.7485827,709.2587586
563.8590073,429.663204,701.1938806
564.8844463,435.7144239,697.4476905
568.711766,431.6368,714.4292472
559.5897039,424.5146693,693.4504654
565.3446016,427.3798633,697.5584348
563.2130378,426.9378202,696.7651637
565.277021,430.7752552,692.8367276
570.0004962,431.9393318,694.9478964
562.9708948,430.3955527,697.4377114
566.2434738,434.4726634,698.5601026
50.31981903,-159.3753422,246.2487777
53.35316507,-140.0919191,244.4348407
54.15227409,-156.3249547,238.4281805
45.5356119,-159.9466855,242.049393
54.00399871,-141.2203487,230.4523523
52.34647477,-149.2580489,227.3796357
53.13469262,-147.8018775,255.2027563
52.86321329,-159.359157,244.799211
51.38871973,-153.0102902,241.5926253
53.78798871,-156.4497609,260.6222898
53.8688796,-149.2381842,244.8885635
56.66415496,-142.157415,245.9484251
57.21394599,-136.6294989,249.5852754
49.05965437,-155.3538427,249.4280131
55.56016065,-156.3087031,251.0637183
53.65917152,-128.830741,247.1770278
556.649432,439.8923851,672.6435151
558.1460947,431.6490432,677.7354469
553.3512251,437.7216185,675.4663485
556.7988928,436.4140357,672.7320824
554.8422068,443.1032406,679.6465217
557.6009922,442.7547507,679.2844115
555.2728742,435.4611385,680.8607579
557.5482008,438.9804235,676.5536516
557.6990268,436.4110886,682.3747319
556.9418372,432.7488119,678.725938
554.7812088,438.1861991,673.9872638
554.6673772,434.3718381,679.5495936
556.1502673,440.0780957,678.3837345
556.3866932,439.6872771,674.0411359
554.2846568,431.0361565,683.5756861
559.3985407,446.2907117,685.9079748
453.0580203,339.6387856,559.9824333
452.9418474,335.0902749,563.3477202
452.6778579,330.2527012,566.7351699
451.4365208,328.4921088,571.5681978
454.6734427,331.3861263,571.508527
452.3444725,341.4253081,569.8082446
451.6640334,337.7424213,560.5151941
452.5035412,334.3372061,565.9658324
453.6078266,338.0675032,568.2541459
454.2054731,341.9512571,576.2231205
452.6574927,332.3768793,568.980448
455.8875451,339.5302724,563.9903837
455.0059501,335.4386467,571.3958073
452.9266361,336.9404553,577.6767784
453.7850763,335.9721724,565.4159658
453.0299271,334.3508951,567.3653844
307.0104341,184.076625,427.2671307
305.3529016,172.3367204,420.6963799
306.6670212,185.900195,436.7160351
307.654891,176.1314276,426.2945688
309.2303432,189.1218501,434.8780626
305.9222334,178.889098,431.558639
308.1979556,181.7735931,425.0348491
309.2353933,180.7760083,438.8402965
304.5361799,172.8160957,429.900952
306.8594163,180.9041499,427.803453
310.3151674,178.7900761,434.6439343
309.0349216,181.2946656,435.1556485
307.9038616,189.4218058,428.582464
309.8559323,180.9637355,428.7080755
307.9400765,179.8464666,429.6553934
307.7682178,190.4785701,423.7333686
313.8015606,190.1098301,432.2278228
309.7622111,191.1009189,427.4895418
314.0778449,199.5695458,429.6257154
310.2064426,186.2398334,432.6795101
316.229667,196.1406891,425.6767693
310.5662886,200.1819886,424.9698756
315.3073031,193.752484,430.9875437
312.4746955,189.2814173,425.1638366
