"MEAN","CI_L","CI_U"
480.135184906951,373.594882964519,598.876693275527
479.144142652048,376.525024175656,593.287284139319
475.850168493355,364.74965602066,593.059689095714
479.049533288719,377.947830009872,597.670438539201
474.398788165035,377.088723877862,578.963749689288
480.313056273747,378.067611827886,586.505170944902
476.936176767968,365.580081214414,584.929549492563
475.619889834103,368.188811273734,589.986141441792
477.175305738649,365.890887828185,586.771539731738
479.525101761651,372.144826473392,597.522088559166
478.761064386568,379.478241166034,589.928547032714
477.021216258083,372.319342257375,580.745489068953
475.92283767103,372.772625219365,583.658539388516
476.772723270512,368.134335893761,583.611799819205
478.357703858964,367.762491637031,584.938816459558
478.487629764675,375.33326103474,591.955620802348
480.463526754221,376.562362629404,598.06133613868
479.123474592475,375.615409142695,588.634426459865
476.649103947805,365.639850466226,587.490140572053
476.985395543619,377.802717090518,586.384977708466
477.807675047034,372.024544975452,583.770070867175
479.768484039088,370.100356831139,589.741898403608
477.239253847989,368.532952972527,594.844001324613
480.034542721424,379.955364352805,586.992006879623
480.575059949239,377.806915098849,590.884020607453
477.148478071956,370.080718570682,584.50372156045
477.752735885644,374.649408094903,574.486924962465
476.258878426271,378.90956984148,580.009072303527
476.615171321861,371.897984039778,584.577040101506
480.655962420032,372.463313171657,588.628584965443
479.692867621412,378.101227441631,589.255795706399
480.27476423984,372.612596630853,595.813789909296
478.338975064813,369.408530316624,594.194696510199
478.282379610401,371.176672309064,597.117357275917
479.986941780162,378.411903652208,593.341712754845
478.451785101396,369.505091213324,585.593100767107
481.79299947032,378.287979241743,589.116144967795
480.75245326166,370.614509411463,591.10325926778
477.700698494682,369.107330527107,584.52061724525
473.871528965411,375.202360155956,574.898232152213
474.746678790598,369.342567451405,580.201008549177
479.319580977156,371.01546440696,588.889476907639
475.262916276329,372.859535408882,581.193491794577
476.365295972308,375.278931842835,595.522808735796
476.901835074072,373.078412127066,590.407379992097
481.416689099621,371.764049738467,597.654371992159
480.298887670721,376.392949963418,591.953005760042
478.613966019585,376.790339888139,584.415843433279
478.046560201176,362.896139524933,588.335164172914
479.188088539586,375.591259548019,596.885507944346
477.172138151573,374.265657816658,586.461484913247
477.046725986285,372.194731851494,576.952215911109
476.594028046544,378.813491295302,580.013407106662
477.602184350161,373.448198793795,585.893259384268
476.338365077736,371.788877372218,583.096848624409
476.909071046822,370.819329030016,589.929765371632
479.235431475255,375.102332799053,591.768530497047
477.432352053001,380.194407029144,582.708037350704
476.972082995823,371.536066963393,582.704189087606
476.143311345618,371.646717983256,586.620266514939
475.569338039812,376.045506622812,584.641002691386
477.506348643614,369.972212055647,595.377831993414
480.642275458382,378.978105252291,589.558930101696
477.030614505802,365.350030564864,586.369434346669
479.545827191936,369.215793163846,588.919352794821
480.490492330988,376.829841207055,591.617044419139
476.633367065171,368.334120944605,585.953004841372
477.98671663549,377.462883875802,583.643508569669
480.375411337952,378.15127094488,580.875665735046
474.8335984743,367.988734054137,588.435618645725
479.015068433676,371.330341144875,593.986584639497
480.417852507085,373.278325740339,587.35789231866
475.445760887548,375.131278956438,585.448983867012
477.439660608184,367.453565730078,583.322252584372
477.275161549752,373.838780487717,593.887324828171
478.246069795114,371.492127280357,589.988589419664
475.590870736675,372.65322603779,587.436215219972
476.60928446565,366.977111983638,579.798416876847
478.658727171314,376.922260752827,581.259755834774
478.333436131045,370.076613392415,590.998673671376
478.233661230511,374.737447286171,586.645732206793
478.888539774342,375.511186234265,593.963765599745
479.098796098677,369.769068325471,589.480246318261
478.981348575183,365.61011066592,591.375480623557
480.545814083116,382.98916569761,595.48351907513
477.099209570623,371.460164489047,587.557793963901
478.547566387737,370.981734246378,589.02962736937
477.377186680016,364.446976929253,587.862071629678
477.893380976026,373.886424606702,584.56320711161
480.293636884741,375.152284424792,586.006099287234
474.907283719831,363.60001387533,591.712121562996
478.787669644812,373.496212635832,581.766243515036
480.744830746101,379.781929358627,591.418062336447
476.735739529599,367.85503748215,589.478584739412
476.174477725795,367.79143299626,583.566313626824
476.527565011896,380.793221480842,584.985632263443
476.863051514505,378.066831580152,590.28411519421
479.913566975107,373.690297663518,587.727006958477
475.70315668059,369.508826504275,582.124101600257
478.224916494287,378.296585998164,589.745097585554
473.832248142221,370.839189028138,580.709890870095
477.153704681375,365.476055621811,584.972419276038
477.5771195437,373.409636754842,582.237854019554
477.874857186103,370.025539105217,584.967030038449
478.048058279474,380.013414322043,584.483116385924
477.09008842827,374.177750046085,587.697606654251
481.310227893445,375.87256299444,589.287971281597
