"MEAN","CI_L","CI_U"
234.28012411205,180.632505360761,292.895671540512
267.106423726279,213.770709520801,326.653328315606
316.060863923789,256.761379805131,384.382217901374
235.55585671149,179.15362491773,297.527833776149
249.305761359962,199.296647040064,304.766605148218
236.261135183925,182.351061341567,295.595262948793
239.444267932256,187.283406540744,296.067528845272
207.767070888035,150.919312469483,268.513630328284
267.863906868579,218.372404245504,322.650044164122
254.74384393594,200.557380190642,313.333852219645
253.15591485551,203.136743434623,308.127374288369
233.771340349721,180.828579183232,292.037157705168
224.377462380667,168.752749358949,285.110493206267
255.001061797769,204.982518157332,309.761640386479
236.826278750894,182.88985419109,295.055445986529
233.485305415626,179.701057742669,291.837158676644
222.40951285775,165.832574796368,283.023107453858
228.353131440525,171.34826115976,290.312917967658
250.552574579852,198.343913815156,307.709879347323
229.14529001663,175.239476444395,288.265755176053
262.753997730269,209.693983390121,320.222538555007
228.553031671234,175.012355737487,286.264604222107
239.959435924112,185.113148880522,298.828805336333
230.169957999289,176.495525841024,288.416659450198
308.581877514992,242.902403278771,380.074569245135
215.750474260293,158.663416273815,276.133013147567
234.692263691142,179.868747563048,293.267476617566
329.300173628061,265.969203319,399.642310519181
279.373979795971,226.67552870856,337.700573856904
246.465428061801,191.857608637739,305.529119381568
247.803360697183,196.7336189386,304.215533429628
245.349951924849,193.230924702201,303.30632273148
249.234913308545,194.871070046123,308.678644186499
274.519764107159,219.193514491885,335.506400892781
243.813922529509,192.300736772818,299.901882265596
288.600768020049,237.066484909294,346.142074181441
267.80048052223,213.689884568921,327.061506227429
232.454520459763,177.591963998427,291.985962108432
266.058272896357,211.299800958298,326.113107559699
241.969324962016,188.668806052206,299.828030278798
231.974827577876,179.858127379522,288.244063124791
348.22951883177,286.922507025077,419.393155561076
320.715161166979,259.102461599569,390.329056033862
318.818684298021,256.365396991061,388.291395800222
