"MEAN","CI_L","CI_U"
440.59036495117,332.333958320933,547.023014974957
443.270602650026,338.710768198809,542.022294111827
441.687334919325,340.90615707889,542.825240097005
440.091329252492,340.298095994516,539.334071459251
440.741230329233,340.332426688483,553.580192115903
440.68824041783,342.36545290029,536.508527497743
440.501256624674,339.701597138641,544.702473133898
440.724405002174,339.970054526451,542.688267116506
441.58238035221,336.152758047111,543.514286805488
443.569842110306,338.590240205668,548.596677168432
442.028729467068,346.399968364086,545.114547778421
441.010768731667,337.78575984503,549.054900889095
441.238586965664,332.114712762017,545.222694752828
440.940862658542,342.833237818023,541.905337900926
440.920984039873,341.922028109665,541.24006840373
442.174498127651,342.403453366465,540.201511683146
442.692832536054,339.827815854824,546.517182380114
440.221009843213,340.33618523571,542.769702633631
442.002739125861,340.374200546465,543.631770908901
440.611060040437,337.993282304415,541.915730633914
442.200939341591,344.81953768886,534.391482164994
443.073160403801,339.0575185931,544.40389999475
441.174213224189,340.085153469246,540.181682056296
440.144663417405,341.199590385989,545.545474428228
444.110245377795,342.609782000065,548.245382962727
439.984968101984,332.499033636635,542.059144783217
441.538902658779,337.287013135214,547.427713960474
440.088911209153,339.103889851819,548.297166031313
438.201046539822,335.96173420055,535.526301141746
440.630168009919,326.724383357926,553.812327563671
440.855680015732,338.197844390988,539.235936059816
441.869188252089,335.960671600878,553.180357364887
442.626128786982,339.394673610221,545.183823366035
440.824620509206,334.890808647146,543.934612430387
441.963706352427,338.831925060203,540.194570682429
442.042604452043,342.250824156549,540.642705990524
442.411877785085,343.776550626845,555.712075994427
439.825459918472,334.563788835161,542.934048978429
441.824673865599,341.160100369237,542.624584714856
438.081258715735,328.414395605956,538.517643673437
441.927909576553,347.250421349962,534.90671012872
440.674942183724,341.628745527262,543.811174457401
444.564086504498,336.950518709001,535.580455651463
440.802800292278,334.761013993565,541.385075861209
440.426081186314,339.809880416666,541.81188158822
444.576039683396,349.556589864275,544.042648724589
444.075510073627,337.127588203349,552.240617237644
444.069429419925,341.674164111516,542.7048801577
439.204484310447,339.331902664725,547.252981616589
444.100992002006,345.08529304902,548.30231427994
439.906353837819,334.993359206465,537.678584961728
439.969970918511,340.422278948968,548.429049959778
442.158792129128,333.373593964242,550.213676435651
440.720090503694,338.770671718374,545.474791177518
442.89053445508,341.860717872868,551.895725197482
439.692858905752,332.389125770344,547.407578506568
438.49104257108,337.322500696468,547.298253472161
441.352102953029,344.586304690984,540.751188519054
439.806591971475,335.813221690097,542.237440474759
441.1930355626,340.579177333357,547.260493886251
441.219051692419,343.040691401112,545.083353538831
439.621464698314,340.878422923779,542.476256135709
437.529039866886,331.329759639451,533.597707940104
438.977306061155,332.961279854172,541.281497088921
439.872340881047,341.506269696583,537.812704557039
441.326364222751,336.750308602739,546.012061472864
441.127590864553,338.660368971596,537.740256080014
442.446626527362,340.802351088232,542.685377062752
440.330552439117,338.536078240566,548.905613377041
444.094266525203,349.365617577902,542.704443629999
441.668277825626,331.63261438195,548.293619494246
442.837648444338,342.870262650829,545.9083982389
441.415806467173,339.53206732408,544.647752012837
440.785602217405,343.593391528585,535.641557261634
442.086989530663,342.897288311756,541.881772457889
440.501608253073,333.164066186555,546.609969674266
440.691037458148,339.271408353778,542.608775600798
440.792373427958,338.728107726602,544.687323562864
441.770233514381,342.995652244544,552.470819003322
444.053754361785,336.740866868862,539.379061103726
441.824477123987,336.891626635796,544.26721259276
441.948431726619,335.830811569387,548.72582230207
441.432879435768,336.154905285955,538.301625699992
439.434795708025,339.939765878787,537.415834218258
442.610167900754,348.080692572942,544.812424950877
440.459584009027,346.952919950899,543.689123755972
440.153307550869,343.378063249602,534.966030638857
440.898024487983,339.174870320076,548.443288466123
440.435212802946,340.394911160725,534.406868975491
441.011691707531,336.140064741542,539.836342949753
440.934745880244,335.671064922023,551.516788440561
443.841541927405,347.423233904889,549.164335592161
441.77198952644,333.900730678627,541.232983755096
442.604598502176,332.430746101995,550.096964744325
442.214493658837,328.879444733322,542.286232472582
441.437750767089,335.439901608053,548.386443487061
439.67164075518,338.300634593978,543.069136048347
441.712893413617,337.939262098089,537.509403014795
441.813062948881,339.074305157548,541.272451521121
442.127847900407,343.190870821698,548.525281450922
440.479643674576,340.834011737728,548.14315525787
441.634327246992,343.176057530023,547.338803876
443.713201065724,344.87850434638,543.141291760975
443.947499191005,339.361541186248,544.043767721597
439.81795673425,328.319035247333,543.675013588439
441.79340688165,339.839035558986,543.151175726023
437.787562671741,330.672091638436,538.850135770895
438.698351958364,335.302459889988,538.363832523311
442.491758604584,340.780550472395,540.645789190597
440.83960794616,343.426542298267,543.054807761467
440.111043963303,335.983093088424,540.225632162375
444.196213673825,337.773042011717,545.999996025274
444.640095177933,347.195833968106,551.299823385797
441.217330953024,342.630109507016,543.02811863457
441.674658200895,341.938477206218,538.882997396592
441.684338083798,338.848985659647,544.958767830714
444.806709027697,342.139846677834,551.70098670478
442.005790512248,344.421265770453,545.481579096455
439.988073484611,340.647471197326,545.187205654309
440.185883869107,334.096993285555,535.188880203591
445.974250528871,341.724457978818,556.621552559076
439.714406293981,336.24759269071,536.991692238872
440.836019340951,334.554586996536,544.979951006447
441.712351305153,337.286319955856,540.148262237499
440.350279940275,335.076881856539,545.009813177825
443.826290442292,336.990091686471,551.234167880709
442.367339022782,332.523123891742,545.686404551514
440.65937914991,337.782524428039,544.645299418072
441.387180423985,337.584504495631,545.011931365773
440.7402243111,341.789199524106,545.02760475019
439.346355818281,338.081478462229,541.059588715371
440.708509898523,337.367590679082,543.696825290418
441.005462160894,336.290685769239,547.056397856548
440.55150431325,339.184538589718,538.83883655749
441.283933217255,339.747123924963,547.538427674307
443.061282997316,339.951229087492,541.232760169083
440.059261292185,337.636783190017,541.488126331576
442.10061797039,332.502474429628,546.47674348893
439.016011617508,340.223228648535,543.339641636493
440.096007826042,346.035179611021,540.198030970186
442.289695444517,340.780592798335,541.292870196817
438.713352976412,331.972549714914,542.645705670858
441.088492017748,341.76404458884,546.818733420051
442.973128971192,342.572986019336,545.240327931321
