"MEAN","CI_L","CI_U"
491.262734632867,386.809313773566,598.150105159424
487.441247968483,387.418154490126,598.342175336038
488.623925705076,384.610218056708,603.908233410342
488.48671604649,387.727618583325,597.608713037345
486.400955871422,385.752801084916,599.43825279897
486.768657620662,391.168267957683,585.303035658876
484.701020738846,376.918564977963,588.780396490955
487.490752811927,385.689361754868,593.334449447583
490.036464074966,388.098690373396,594.84162914083
487.077174213305,381.232517106489,595.728799350332
489.68349063472,384.679003771169,597.576070071181
486.17391460127,385.171302808319,590.271656592202
486.382283172739,372.865162947276,596.783423957844
487.293424822721,390.593592689641,590.47370322
484.038657166339,378.616614478619,593.829427330075
485.526796330701,376.853440655243,595.64555810659
485.959048032621,375.377600953823,588.622508876169
487.0725034085,382.922926553753,593.401295836002
487.45694977005,377.556645216972,596.598538448859
488.796294903403,383.240914210031,593.011403986754
485.91723330084,378.560521008914,602.798746416684
489.954481416701,391.936320150392,597.003895681731
485.330856809547,383.769733479118,591.475380032615
485.291480381443,379.107169843517,591.7763976276
486.968350556423,388.790799046709,596.369333468128
485.92219975939,381.511925499904,590.014336418539
485.901778287893,385.821566613666,598.273113144632
487.073066355212,383.656510766462,593.023822557822
486.003729830065,386.886595567545,589.875217235901
484.548928886948,372.341705608976,588.093772938871
488.910363327121,389.458388652512,601.917943782749
485.879209590111,378.837491451641,599.097546164384
486.433022755374,379.325892837539,594.668114693813
485.606402931835,386.605965977235,588.010599444527
490.319030266276,390.72083684581,602.832781585647
487.360195793443,384.8367256455,588.880777778002
486.136972787161,383.186700139646,596.587546803469
488.58074451949,384.891379328848,600.089220481772
489.706695646668,387.352722728209,602.017322104868
484.805008971161,380.728065928679,587.780031564297
488.672191356132,379.878030546918,603.047434458949
487.99298540468,381.907324295398,595.908308045341
489.216894901876,382.744174051674,600.115355785101
489.071325733249,388.088135743477,600.660719730465
484.749912800549,387.179957807788,587.108207601623
485.674188044674,387.766339079855,599.115055844227
485.852799281118,377.613016442621,602.287836054057
487.939445162035,378.176074680417,588.722522849132
486.546831859799,380.725587129379,601.634504399716
485.960864167471,378.824826525623,596.486310388826
484.006110247107,377.659098543622,594.011010076604
485.920389983377,381.476605909774,599.51446478338
487.922584679855,388.003782692617,590.275223061811
488.759202739339,386.537702113214,594.705840303439
487.093456018113,385.245907089433,593.341737499879
