"MEAN","CI_L","CI_U"
486.777707174117,386.343276101407,597.625411416885
486.599845472771,380.376014957709,597.5686367001
485.674064251119,385.496049250102,598.902247114968
488.585427648394,381.907710000297,595.803062304787
490.296955095506,379.06601954531,597.939091952914
485.515176083505,383.754826004621,595.855339067504
489.66736459989,384.064281701623,598.880167377945
486.569924268823,386.306517346197,592.483918074446
488.32073518059,387.501118988375,597.080835068123
486.591996938829,383.972432574774,601.569809438323
485.917944623844,387.848643341537,595.892130284862
487.847165699133,387.77313122585,593.700515026092
486.564610227516,371.480983240557,595.487122988439
484.629326853986,380.414530469919,596.429717446452
484.156592088386,383.308782424605,587.973098799597
485.933377030984,383.450356525483,585.68346069922
488.669061157278,388.510792930146,593.306517108415
488.884811989925,390.273404148162,598.412831590551
489.753150389922,382.718524031732,605.253481773646
487.317108983585,381.362260950697,594.766178277327
485.821352823543,379.78651561709,597.772553431089
489.132735465736,382.631260447279,608.80921165437
489.746787641501,384.476593037734,596.921288525499
490.40865216344,385.716775791213,600.931184834892
489.023316129529,375.587953965498,600.119801253394
487.338883123949,382.097644701237,600.561106923989
487.280322475278,383.131673995776,591.823526137559
488.755997234731,387.821323593756,598.713800800468
486.410758982874,384.399841872543,600.391322532197
485.802139768627,379.200912985562,595.55862183678
488.304594765063,388.157970360646,600.035018768147
486.600605390394,377.708833712327,606.470487221316
488.267993699832,372.176255868429,599.441014056561
487.615313327616,380.770348657837,599.997459909709
490.81741564902,384.911525920733,602.39696609168
486.605077601885,382.649124851015,596.79166769736
487.426823405259,380.547769703105,605.048248033921
487.351498935563,382.284268611254,602.236013948104
485.28581691056,383.079479724682,590.480925973214
485.754466009724,384.986458970022,590.487450939771
488.968524007848,379.181304572597,609.010838031084
486.681221950674,378.58953568232,596.57807216733
486.924104695366,385.465530016742,597.332906239079
487.369626541735,380.981903370524,604.358930398215
490.183712753993,386.239839509429,601.167817381957
489.068558256539,389.405680920445,591.395321111909
485.957086974278,385.678711167987,589.374937759419
486.675116269091,379.221042506449,591.587223117599
488.344129851527,379.375735760011,594.083563730454
486.475594858305,384.105792916541,599.41480501276
485.795305937648,375.543299011548,602.057684341848
486.350661027326,380.644048631372,604.861129383036
486.027133048251,383.687888372573,591.919003689906
488.502656826849,386.081333358722,603.752527336736
489.589942922359,385.253194769352,601.283793773879
484.530409866036,384.858242027714,588.852123327122
484.479287396197,390.448847303071,593.537690712661
490.828015166933,387.365260323227,592.300742948061
487.551414477492,389.558525159178,594.396698444292
484.596495963575,378.284076965442,588.112860392999
487.976866515892,386.680070074212,599.999184475416
489.10843656753,384.564734277713,595.529200899403
485.180229118465,380.986967472569,589.050537468465
487.62718878335,385.249960045851,593.821440919042
488.560960256167,385.403968806954,600.651960762439
489.579200746945,382.666867121037,592.86697760857
487.584913590393,373.667225709501,592.640162691622
488.320655993686,379.117796217799,598.566623657275
484.781024230153,372.314981529891,601.74119689697
488.693175050731,380.897690355902,592.567072656928
489.641523014661,385.530621527767,598.027555683918
489.176219071187,392.361425188637,593.313997268352
485.946980045466,384.672374216531,597.418829466008
489.899822827308,391.866127909771,593.652562247535
490.316346549982,382.734029971265,599.909444098111
488.242042032861,383.229194038748,596.110419741434
491.427677438157,392.088691508222,599.825467148331
485.651124641415,384.712842447957,595.822878513377
486.677771135069,387.751827545976,594.394840252016
489.116754254923,378.226126815147,598.859089721876
487.359899861405,381.771403797632,596.072419681536
487.055011549116,381.001840594791,603.822035281811
488.723001658731,383.869068903512,602.866479838644
485.963628802179,378.885170515869,592.136792655539
487.10381200943,385.953020488036,591.869908582989
486.009879099983,378.432703975288,595.719871215594
487.075684468822,369.439580050224,604.566938267892
488.729926156026,382.849218371749,596.172593388216
486.179953017914,378.787028031155,594.820484622937
488.061821624589,387.656541994243,597.028490646893
486.690611894633,381.501301857265,598.719883294839
488.641055392794,384.252174561575,602.050785872655
