id,cgender,cage,ceducation,cincome,cincomefromfarming,clandarea
6954002510,Male,Over 70,High school diploma,None,0,1 to 100 acres
6954000142,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,1 to 100 acres
6952091365,Male,30-50,Some college but no 4-year degree,"$100,000 - $249,999",1%-25%,100 to 500 acres
6950969532,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",25%-50%,100 to 500 acres
6950966877,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres
6950963846,Female,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,1 to 100 acres
6949522020,Male,Over 70,Some college but no 4-year degree,,75%-100%,"1,000 acres or more"
6949520595,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,"500 to 1,000 acres"
6949519165,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,100 to 500 acres
6949517026,Female,Over 70,Some college but no 4-year degree,,,
6949515466,Male,50-70,High school diploma,"$1 -$24,999",25%-50%,100 to 500 acres
6949513982,Male,Over 70,Graduate degree,None,0,1 to 100 acres
6949512250,Male,50-70,Graduate degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres"
6949510004,Male,50-70,"B.A., B.S., or equivalent",,75%-100%,"500 to 1,000 acres"
6949508507,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,"500 to 1,000 acres"
6949506509,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6949504595,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 to 500 acres
6949502871,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6949501136,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6949498386,Male,30-50,Some college but no 4-year degree,"$1 -$24,999",50%-75%,1 to 100 acres
6949496064,Male,Over 70,High school diploma,"$25,000 - $99,999",25%-50%,100 to 500 acres
6949493789,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres"
6949491780,Male,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,
6949489833,Male,Over 70,Some college but no 4-year degree,"$25,000 - $99,999",75%-100%,"500 to 1,000 acres"
6949488002,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6949485959,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6949478309,Male,Over 70,High school diploma,,50%-75%,"500 to 1,000 acres"
6949476839,,,,,1%-25%,100 to 500 acres
6949474644,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres
6949471920,Male,Over 70,High school diploma,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6949467324,Male,Over 70,Some college but no 4-year degree,None,75%-100%,"500 to 1,000 acres"
6949465030,,,,,,"500 to 1,000 acres"
6949463084,Male,50-70,High school diploma,"$1 -$24,999",1%-25%,1 to 100 acres
6949461204,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6949458706,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",1%-25%,100 to 500 acres
6949455558,Male,Over 70,High school diploma,,75%-100%,
6949418183,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",1%-25%,1 to 100 acres
6949416279,,,,,50%-75%,100 to 500 acres
6949408889,Female,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6949405911,Male,Over 70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres
6949403352,,,,,75%-100%,
6949399112,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,"1,000 acres or more"
6949394536,Female,Over 70,Graduate degree,"$1 -$24,999",1%-25%,1 to 100 acres
6949392066,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6949389471,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,"500 to 1,000 acres"
6949385903,Female,50-70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres
6948985749,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,100 to 500 acres
6948796897,,,,,0,100 to 500 acres
6948796210,Male,Over 70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,100 to 500 acres
6948795512,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",75%-100%,100 to 500 acres
6948794673,Male,50-70,"B.A., B.S., or equivalent","$1,000,000 and over",75%-100%,100 to 500 acres
6948793617,Male,Over 70,"B.A., B.S., or equivalent",,,1 to 100 acres
6948792859,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6948790989,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6948790357,,,,,25%-50%,100 to 500 acres
6948788893,Male,Over 70,Graduate degree,None,1%-25%,100 to 500 acres
6948788159,Female,Over 70,High school diploma,"$1 -$24,999",1%-25%,100 to 500 acres
6948756355,Male,Over 70,,,75%-100%,100 to 500 acres
6948754791,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,100 to 500 acres
6948752656,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,"500 to 1,000 acres"
6948751048,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6948748993,Male,Over 70,Graduate degree,"$25,000 - $99,999",25%-50%,100 to 500 acres
6948747287,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres
6948745823,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6948744309,Male,Over 70,High school diploma,"$100,000 - $249,999",75%-100%,100 to 500 acres
6948742656,Male,50-70,High school diploma,"$25,000 - $99,999",0,100 to 500 acres
6948731395,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",25%-50%,100 to 500 acres
6948722483,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 to 500 acres
6948718920,Male,50-70,High school diploma,"$1 -$24,999",75%-100%,100 to 500 acres
6948716744,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,100 to 500 acres
6948714093,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",,100 to 500 acres
6948712233,Male,50-70,High school diploma,None,75%-100%,"500 to 1,000 acres"
6948710186,Male,,,,,100 to 500 acres
6948708312,Male,50-70,Graduate degree,"$1 -$24,999",25%-50%,100 to 500 acres
6948706493,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",25%-50%,100 to 500 acres
6948691653,Male,50-70,High school diploma,"$250,000 - $499,999",50%-75%,100 to 500 acres
6948681806,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,100 to 500 acres
6948655563,,,,,50%-75%,I do not own any land
6948647714,Male,50-70,High school diploma,"$250,000 - $499,999",75%-100%,"500 to 1,000 acres"
6948511119,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 to 500 acres
6948510157,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,100 to 500 acres
6948509307,,,,,75%-100%,
6948508205,Male,Under 30,Graduate degree,"$1,000,000 and over",75%-100%,100 to 500 acres
6948507689,,,,,75%-100%,"500 to 1,000 acres"
6948506700,Male,50-70,High school diploma,"$1 -$24,999",1%-25%,100 to 500 acres
6948504619,Female,50-70,Graduate degree,"$25,000 - $99,999",1%-25%,100 to 500 acres
6948503888,Male,,,,75%-100%,
6948502762,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,1 to 100 acres
6948501935,Male,Over 70,Some college but no 4-year degree,"$25,000 - $99,999",50%-75%,100 to 500 acres
6948500862,Male,50-70,Graduate degree,"$25,000 - $99,999",50%-75%,100 to 500 acres
6948500040,Male,Over 70,High school diploma,"$25,000 - $99,999",1%-25%,100 to 500 acres
6948499253,Male,Over 70,Graduate degree,"$1 -$24,999",1%-25%,"500 to 1,000 acres"
6948498376,Male,30-50,High school diploma,"$500,000 to $999,999",1%-25%,100 to 500 acres
6948497545,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,100 to 500 acres
6948497011,Male,Over 70,,None,0,"1,000 acres or more"
6948495759,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",50%-75%,1 to 100 acres
6948494256,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",1%-25%,"1,000 acres or more"
6948493327,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",25%-50%,100 to 500 acres
6948492232,Male,Over 70,,"$25,000 - $99,999",75%-100%,100 to 500 acres
6948461651,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6948085949,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"1,000 acres or more"
6948084829,Male,Over 70,High school diploma,"$100,000 - $249,999",75%-100%,"1,000 acres or more"
6948083536,Male,50-70,"B.A., B.S., or equivalent","$25,000 - $99,999",75%-100%,100 to 500 acres
6948082295,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,1 to 100 acres
6948080508,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,100 to 500 acres
6948077266,Male,50-70,High school diploma,"$1,000,000 and over",50%-75%,"500 to 1,000 acres"
6948076027,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,100 to 500 acres
6948074916,Male,Over 70,Some college but no 4-year degree,None,0,1 to 100 acres
6948071691,Male,50-70,Graduate degree,"$25,000 - $99,999",1%-25%,100 to 500 acres
6948070295,Male,50-70,High school diploma,"$100,000 - $249,999",50%-75%,
6948068890,Male,Over 70,Graduate degree,"$1 -$24,999",25%-50%,1 to 100 acres
6948067454,Male,50-70,High school diploma,"$100,000 - $249,999",75%-100%,"1,000 acres or more"
6948065388,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres"
6948063980,Male,Over 70,High school diploma,"$250,000 - $499,999",75%-100%,100 to 500 acres
6948061858,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,1 to 100 acres
6948059293,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",25%-50%,100 to 500 acres
6948057874,Male,Over 70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,100 to 500 acres
6948056254,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres
6948054705,,,,,,100 to 500 acres
6948052325,Male,50-70,"B.A., B.S., or equivalent","$1 -$24,999",25%-50%,100 to 500 acres
6948020508,Male,50-70,Some college but no 4-year degree,"$100,000 - $249,999",75%-100%,"1,000 acres or more"
6948018409,Male,50-70,Some college but no 4-year degree,,75%-100%,100 to 500 acres
