gender,age,landarea,0
1.0,1.0,2.0,0.29850746268656714
1.0,1.0,5.0,0.29850746268656714
1.0,2.0,1.0,1.791044776119403
1.0,2.0,2.0,3.582089552238806
1.0,2.0,4.0,1.791044776119403
1.0,3.0,1.0,9.552238805970148
1.0,3.0,2.0,35.52238805970149
1.0,3.0,3.0,13.134328358208956
1.0,3.0,4.0,5.074626865671642
1.0,3.0,5.0,1.1940298507462686
1.0,4.0,1.0,3.582089552238806
1.0,4.0,2.0,18.208955223880597
1.0,4.0,3.0,3.582089552238806
1.0,4.0,4.0,2.388059701492537
2.0,2.0,1.0,7.6923076923076925
2.0,2.0,2.0,7.6923076923076925
2.0,2.0,4.0,3.8461538461538463
2.0,3.0,1.0,11.538461538461538
2.0,3.0,2.0,42.30769230769231
2.0,3.0,3.0,7.6923076923076925
2.0,4.0,1.0,7.6923076923076925
2.0,4.0,2.0,11.538461538461538
