Categories,Parameters,Desciption,dollar_per_unit_or_vist
Site preparation (SP),SP_TreeRMV_each,"Tree removal - up to 12"" diameter",350
,SP_Clear_sqy,Clear and grub brush,1.5
,SP_TreeProt_m,Tree protection - temp. fence,9.84
,SP_Topsoil_sqy_m,"Topsoil - 6"" depth, salvage on site",29.5275
Site Formation (SF),SF_Exc_sqy_m,Excavation - deep zone- 8' depth,4.1
,SF_Exc_mash_sqy_m,Excavation - marsh zone,1
,SF_Grad_sqy,Grading,1.5
,SF_Haul_sqy_m,Hauling off-site - 5' depth,3.281
Struture Componets(SC),SC_Inlet_each,Inlet structure,2000
,SC_Outlet_each,Outlet structure,3500
Site Restoration(SR),SR_Sod_sqy,Sod - above vegetative bench,4.5
,SR_Soil_sqy,Soil preparation,25
,SR_Seed_sqy,Seeding - vegetative bench,0.5
,SR_Plant_sqy,Planting,30
,SR_Mulch_sqy,Mulch,2
annual_operation_maintenance(AOM),AOM_Debris_visit,Debris removal,100
,AOM_Invasiv_visit,Remove invasive plants,500
,AOM_Replant_plant,Replant wetland vegetation,10
,AOM_Repair_sqy,Repair erosion,75
,AOM_SedR_cubicy,Sediment removal and disposal,10
,AOM_Mow_visit,Mow,150
,AOM_Gate_visit,Gate / valve operation,125
,AOM_Inspection_visit,Inspection,125
