County_resident,Region,area1,area2,area3,area4
Anoka,Northeast,1,0,0,0
Sherburne,Northeast,0.055555556,0.259259259,0.388888889,0.296296296
Todd,Northeast,0.28952381,0.527619048,0.106666667,0.053333333
Washington,Northeast,0.487804878,0.487804878,0.024390244,0
Otter Tail,Northwest,0.172862454,0.464684015,0.213754647,0.146840149
Blue Earth,Southcentral,0.161538462,0.344230769,0.244230769,0.25
Brown,Southcentral,0.09375,0.513020833,0.2890625,0.080729167
Carver,Southcentral,0.11,0.445,0.155,0.29
Faribault,Southcentral,0.105785124,0.370247934,0.347107438,0.161983471
Freeborn,Southcentral,0.041493776,0.377593361,0.319502075,0.261410788
Le Sueur,Southcentral,0.102272727,0.448051948,0.206168831,0.243506494
Nicollet,Southcentral,0.130864198,0.461728395,0.30617284,0.098765432
Rice,Southcentral,0.191449814,0.351301115,0.260223048,0.197026022
Sibley,Southcentral,0.130434783,0.391304348,0.252964427,0.225296443
Steele,Southcentral,0.107246377,0.342028986,0.252173913,0.298550725
Waseca,Southcentral,0.184701493,0.337686567,0.240671642,0.236940299
Watonwan,Southcentral,0.086065574,0.225409836,0.344262295,0.344262295
Dakota,Southeast,0.143564356,0.306930693,0.326732673,0.148514851
Goodhue,Southeast,0.145971564,0.446445498,0.236966825,0.170616114
Wabasha,Southeast,0.294117647,0.382352941,0.260504202,0
Cottonwood,Southwest,0.115079365,0.579365079,0.218253968,0.05952381
Jackson,Southwest,0.063636364,0.368181818,0.4,0.168181818
Lincoln,Southwest,0.18815331,0.317073171,0.31010453,0.18466899
Lyon,Southwest,0.061425061,0.358722359,0.346437346,0.233415233
Martin,Southwest,0.126465145,0.337446021,0.220234423,0.312769895
Murray,Southwest,0.065292096,0.223367698,0.381443299,0.288659794
Nobles,Southwest,0.065759637,0.394557823,0.371882086,0.167800454
Pipestone,Southwest,0.176190476,0.328571429,0.338095238,0.09047619
Redwood,Southwest,0.055710306,0.328690808,0.420612813,0.194986072
Yellow Medicine,Southwest,0.27826087,0.295652174,0.27826087,0.139130435
Big Stone,Westcentral,0.042253521,0.230046948,0.323943662,0.403755869
Chippewa,Westcentral,0.038216561,0.184713376,0.382165605,0.394904459
Douglas,Westcentral,0.143274854,0.385964912,0.286549708,0.157894737
Grant,Westcentral,0.037790698,0.186046512,0.345930233,0.421511628
Hennepin,Westcentral,0.538461538,0.461538462,0,0
Kandiyohi,Westcentral,0.136363636,0.295454545,0.34375,0.196022727
Lac Qui Parle,Westcentral,0.221428571,0.564285714,0.107142857,0.071428571
McLeod,Westcentral,0.107551487,0.375286041,0.324942792,0.19221968
Meeker,Westcentral,0.21942446,0.395683453,0.208633094,0.169064748
Pope,Westcentral,0.114285714,0.314285714,0.331428571,0.188571429
Renville,Westcentral,0.125806452,0.212903226,0.332258065,0.329032258
Stevens,Westcentral,0.02970297,0.232673267,0.25990099,0.477722772
Swift,Westcentral,0.093567251,0.251461988,0.34502924,0.350877193
Traverse,Westcentral,0.102362205,0.173228346,0.157480315,0.566929134
