County_resident,Region,All farms,"   Less than $100,000","   $100,001-$250,000","  $250,001 - $500,000","  $500,001 - $1,000,000","$1,000,001 - $2,000,000","Over $2,000,000"
Anoka,Northeast,4,2,2,,,,
Sherburne,Northeast,54,6,7,11,14,16,
Todd,Northeast,525,112,163,129,84,32,
Washington,Northeast,41,11,17,12,,,
Otter Tail,Northwest,538,109,147,128,108,36,10
Blue Earth,Southcentral,520,39,93,138,146,74,30
Brown,Southcentral,384,51,85,57,105,73,13
Carver,Southcentral,200,7,34,40,58,38,23
Faribault,Southcentral,605,58,68,199,191,68,21
Freeborn,Southcentral,241,25,30,62,70,44,10
Le Sueur,Southcentral,616,50,120,138,177,79,52
Nicollet,Southcentral,405,26,95,122,86,69,
Rice,Southcentral,1076,133,208,240,248,142,105
Sibley,Southcentral,506,39,101,130,135,80,21
Steele,Southcentral,345,22,58,82,104,61,18
Waseca,Southcentral,536,32,101,145,145,66,47
Watonwan,Southcentral,244,17,18,43,82,66,18
Dakota,Southeast,202,24,32,40,45,23,38
Goodhue,Southeast,1055,92,160,234,285,189,95
Wabasha,Southeast,238,14,34,56,77,38,19
Cottonwood,Southwest,252,10,48,69,93,25,
Jackson,Southwest,440,27,64,158,129,37,25
Lincoln,Southwest,287,11,36,79,99,40,22
Lyon,Southwest,407,23,75,101,119,60,29
Martin,Southwest,1621,109,263,350,445,284,170
Murray,Southwest,291,12,27,70,118,50,14
Nobles,Southwest,441,9,66,135,137,72,22
Pipestone,Southwest,210,11,31,56,59,27,26
Redwood,Southwest,359,10,56,116,127,36,14
Yellow Medicine,Southwest,115,12,29,36,27,11,
Big Stone,Westcentral,213,7,43,66,60,35,2
Chippewa,Westcentral,157,7,17,53,38,30,12
Douglas,Westcentral,342,38,80,122,70,25,
Grant,Westcentral,344,10,48,95,116,50,25
Hennepin,Westcentral,13,2,8,2,1,,
Kandiyohi,Westcentral,352,19,49,121,116,41,
Lac Qui Parle,Westcentral,140,4,24,34,50,28,
McLeod,Westcentral,437,27,71,102,146,64,27
Meeker,Westcentral,278,37,73,54,47,49,18
Pope,Westcentral,175,16,22,65,44,27,
Renville,Westcentral,310,30,26,67,71,91,25
Stevens,Westcentral,404,15,50,95,116,92,36
Swift,Westcentral,171,12,23,46,45,35,10
Traverse,Westcentral,127,11,9,28,36,12,31
