County_resident,Region,income1,income23,income4,income5,income6,income7
Anoka,Northeast,0.0,0.5,0.5,0.0,0.0,0.0
Sherburne,Northeast,0.0,0.1111111111111111,0.12962962962962962,0.2037037037037037,0.25925925925925924,0.2962962962962963
Todd,Northeast,0.00952380952380949,0.21333333333333335,0.31047619047619046,0.24571428571428572,0.16,0.06095238095238095
Washington,Northeast,0.024390243902439046,0.2682926829268293,0.4146341463414634,0.2926829268292683,0.0,0.0
Otter Tail,Northwest,0.0,0.20260223048327136,0.2732342007434944,0.2379182156133829,0.20074349442379183,0.08550185873605948
Blue Earth,Southcentral,0.0,0.075,0.17884615384615385,0.2653846153846154,0.28076923076923077,0.2
Brown,Southcentral,0.0,0.1328125,0.22135416666666666,0.1484375,0.2734375,0.22395833333333334
Carver,Southcentral,0.0,0.035,0.17,0.2,0.29,0.305
Faribault,Southcentral,0.0,0.09586776859504133,0.11239669421487604,0.32892561983471075,0.315702479338843,0.14710743801652892
Freeborn,Southcentral,0.0,0.1037344398340249,0.12448132780082988,0.2572614107883817,0.29045643153526973,0.22406639004149378
Le Sueur,Southcentral,0.0,0.08116883116883117,0.19480519480519481,0.22402597402597402,0.28733766233766234,0.21266233766233766
Nicollet,Southcentral,0.017283950617283828,0.06419753086419754,0.2345679012345679,0.3012345679012346,0.2123456790123457,0.17037037037037037
Rice,Southcentral,0.0,0.12360594795539033,0.19330855018587362,0.22304832713754646,0.23048327137546468,0.2295539033457249
Sibley,Southcentral,0.0,0.07707509881422925,0.19960474308300397,0.25691699604743085,0.26679841897233203,0.19960474308300397
Steele,Southcentral,1.1102230246251565e-16,0.06376811594202898,0.1681159420289855,0.23768115942028986,0.30144927536231886,0.2289855072463768
Waseca,Southcentral,0.0,0.05970149253731343,0.1884328358208955,0.27052238805970147,0.27052238805970147,0.21082089552238806
Watonwan,Southcentral,0.0,0.06967213114754098,0.07377049180327869,0.1762295081967213,0.3360655737704918,0.3442622950819672
Dakota,Southeast,0.0,0.1188118811881188,0.15841584158415842,0.19801980198019803,0.22277227722772278,0.30198019801980197
Goodhue,Southeast,0.0,0.08720379146919431,0.15165876777251186,0.22180094786729856,0.27014218009478674,0.26919431279620853
Wabasha,Southeast,0.0,0.058823529411764705,0.14285714285714285,0.23529411764705882,0.3235294117647059,0.23949579831932774
Cottonwood,Southwest,0.02777777777777779,0.03968253968253968,0.19047619047619047,0.27380952380952384,0.36904761904761907,0.0992063492063492
Jackson,Southwest,0.0,0.06136363636363636,0.14545454545454545,0.35909090909090907,0.29318181818181815,0.1409090909090909
Lincoln,Southwest,0.0,0.03832752613240418,0.1254355400696864,0.27526132404181186,0.34494773519163763,0.21602787456445993
Lyon,Southwest,1.1102230246251565e-16,0.056511056511056514,0.18427518427518427,0.24815724815724816,0.29238329238329236,0.21867321867321868
Martin,Southwest,0.0,0.06724244293645898,0.16224552745219,0.215916101172116,0.2745219000616903,0.28007402837754475
Murray,Southwest,0.0,0.041237113402061855,0.09278350515463918,0.24054982817869416,0.4054982817869416,0.21993127147766323
Nobles,Southwest,0.0,0.02040816326530612,0.14965986394557823,0.30612244897959184,0.31065759637188206,0.21315192743764172
Pipestone,Southwest,0.0,0.05238095238095238,0.14761904761904762,0.26666666666666666,0.28095238095238095,0.2523809523809524
Redwood,Southwest,0.0,0.027855153203342618,0.15598885793871867,0.3231197771587744,0.35376044568245124,0.1392757660167131
Yellow Medicine,Southwest,0.0,0.10434782608695652,0.25217391304347825,0.3130434782608696,0.23478260869565218,0.09565217391304348
Big Stone,Westcentral,0.0,0.03286384976525822,0.20187793427230047,0.30985915492957744,0.28169014084507044,0.17370892018779344
Chippewa,Westcentral,0.0,0.044585987261146494,0.10828025477707007,0.3375796178343949,0.24203821656050956,0.267515923566879
Douglas,Westcentral,0.020467836257309968,0.1111111111111111,0.23391812865497075,0.3567251461988304,0.2046783625730994,0.07309941520467836
Grant,Westcentral,0.0,0.029069767441860465,0.13953488372093023,0.2761627906976744,0.3372093023255814,0.2180232558139535
Hennepin,Westcentral,0.0,0.15384615384615385,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.0
Kandiyohi,Westcentral,0.017045454545454586,0.05397727272727273,0.13920454545454544,0.34375,0.32954545454545453,0.11647727272727272
Lac Qui Parle,Westcentral,0.0,0.02857142857142857,0.17142857142857143,0.24285714285714285,0.35714285714285715,0.2
McLeod,Westcentral,1.1102230246251565e-16,0.06178489702517163,0.16247139588100687,0.2334096109839817,0.3340961098398169,0.20823798627002288
Meeker,Westcentral,0.0,0.13309352517985612,0.26258992805755393,0.19424460431654678,0.16906474820143885,0.24100719424460432
Pope,Westcentral,0.005714285714285783,0.09142857142857143,0.12571428571428572,0.37142857142857144,0.25142857142857145,0.15428571428571428
Renville,Westcentral,0.0,0.0967741935483871,0.08387096774193549,0.2161290322580645,0.22903225806451613,0.3741935483870968
Stevens,Westcentral,0.0,0.03712871287128713,0.12376237623762376,0.23514851485148514,0.2871287128712871,0.31683168316831684
Swift,Westcentral,0.0,0.07017543859649122,0.13450292397660818,0.26900584795321636,0.2631578947368421,0.2631578947368421
Traverse,Westcentral,0.0,0.08661417322834646,0.07086614173228346,0.2204724409448819,0.28346456692913385,0.33858267716535434
