County_resident,taxcost,cashrent,crp2018,implakes,dflall
Jackson,428.0,195.0,202.0,81.0,0.47950727600000004
Renville,459.0,217.0,219.0,0.0,0.537740966
Hennepin,860.0,76.0,76.0,1071.0,0.666003954
Watonwan,417.0,215.0,213.0,700.0,0.5474074489999999
Yellow Medicine,425.0,183.0,183.0,977.0,0.5482342889999999
Brown,394.0,207.0,197.0,2004.0,0.473061071
Blue Earth,478.0,215.0,232.0,5253.0,0.597152583
Cottonwood,415.0,184.0,202.0,1242.0,0.48762491799999996
Todd,503.0,66.0,63.0,0.0,0.47458725399999996
Le Sueur,579.0,228.0,222.0,5867.0,0.5040713029999999
Douglas,459.0,119.0,129.0,10017.0,0.47751278700000005
Hennepin,860.0,97.0,111.0,1071.0,0.666003954
Swift,404.0,150.0,174.0,1837.0,0.5994114229999999
Redwood,423.0,197.0,187.0,54.0,0.476013148
Otter Tail,476.0,110.0,106.0,7871.0,0.46280460799999995
Grant,504.0,150.0,164.0,6178.0,0.563708026
Faribault,445.0,209.0,219.0,199.0,0.490212387
Stevens,336.0,150.0,164.0,1911.0,0.5561905970000001
Murray,464.0,225.0,177.0,0.0,0.5033792979999999
Waseca,468.0,224.0,216.0,284.0,0.510246648
Lyon,385.0,202.0,183.0,1492.0,0.513802024
Blue Earth,478.0,209.0,219.0,5253.0,0.597152583
Sibley,546.0,237.0,226.0,3302.0,0.45252079
Freeborn,448.0,216.0,217.0,2003.0,0.5851084010000001
Lincoln,474.0,175.0,171.0,6257.0,0.52325088
Kandiyohi,437.0,229.0,214.0,9834.0,0.515466703
Carver,858.0,197.0,189.0,5422.0,0.428145138
Le Sueur,579.0,215.0,232.0,5867.0,0.5040713029999999
Lac Qui Parle,433.0,167.0,170.0,4.0,0.588319113
Douglas,459.0,141.0,143.0,10017.0,0.47751278700000005
Traverse,415.0,150.0,170.0,0.0,0.592261355
Hennepin,860.0,131.0,131.0,1071.0,0.666003954
Carver,858.0,35.0,35.0,5422.0,0.428145138
Faribault,445.0,195.0,206.0,199.0,0.490212387
Dakota,866.0,200.0,191.0,833.0,0.54005066
Rice,638.0,220.0,250.0,600.0,0.577500197
McLeod,508.0,209.0,223.0,0.0,0.455309006
Nicollet,482.0,223.0,215.0,0.0,0.6016706270000001
Chippewa,427.0,199.0,190.0,5668.0,0.5758889079999999
Grant,504.0,193.0,168.0,6178.0,0.563708026
Dakota,866.0,203.0,202.0,833.0,0.54005066
Martin,417.0,234.0,222.0,2503.0,0.43147554299999996
Rice,638.0,226.0,214.0,600.0,0.577500197
Goodhue,629.0,220.0,250.0,0.0,0.492542992
Pope,444.0,141.0,143.0,21030.0,0.552550845
Douglas,459.0,193.0,168.0,10017.0,0.47751278700000005
Meeker,556.0,179.0,175.0,0.0,0.477630757
Hennepin,860.0,119.0,129.0,1071.0,0.666003954
Pipestone,454.0,202.0,180.0,0.0,0.400032592
Otter Tail,476.0,75.0,75.0,7871.0,0.46280460799999995
Hennepin,860.0,167.0,170.0,1071.0,0.666003954
Nicollet,482.0,,,0.0,0.6016706270000001
Nobles,416.0,191.0,189.0,0.0,0.489543568
Wabasha,531.0,186.0,186.0,0.0,0.491844746
Le Sueur,579.0,226.0,214.0,5867.0,0.5040713029999999
Dakota,866.0,167.0,170.0,833.0,0.54005066
Steele,478.0,214.0,219.0,0.0,0.5123308879999999
Blue Earth,478.0,215.0,213.0,5253.0,0.597152583
McLeod,508.0,217.0,219.0,0.0,0.455309006
Hennepin,860.0,32.0,32.0,1071.0,0.666003954
Dakota,866.0,178.0,178.0,833.0,0.54005066
Martin,417.0,,,2503.0,0.43147554299999996
Hennepin,860.0,62.0,62.0,1071.0,0.666003954
Big Stone,439.0,137.0,163.0,17858.0,0.568376068
,,,,,
Otter Tail,476.0,134.0,137.0,7871.0,0.46280460799999995
Washington,842.0,114.0,114.0,0.0,0.544188186
Renville,459.0,209.0,223.0,0.0,0.537740966
Renville,459.0,183.0,183.0,0.0,0.537740966
Yellow Medicine,425.0,167.0,170.0,977.0,0.5482342889999999
Hennepin,860.0,,,1071.0,0.666003954
Renville,459.0,,,0.0,0.537740966
Douglas,459.0,150.0,164.0,10017.0,0.47751278700000005
Anoka,885.0,231.0,194.0,0.0,0.511866524
Sherburne,820.0,33.0,33.0,0.0,0.40858106299999997
Anoka,885.0,57.0,57.0,0.0,0.511866524
Hennepin,860.0,197.0,189.0,1071.0,0.666003954
