County,Region,dflall,taxcost,income1,income23,income4,income5,income6,income7,area1,area2,area3,area4,implakes
Jackson,Southwest,0.479507276,428,0,0.061363636,0.145454545,0.359090909,0.293181818,0.140909091,0.063636364,0.368181818,0.4,0.168181818,81
Renville,Westcentral,0.537740966,459,0,0.096774194,0.083870968,0.216129032,0.229032258,0.374193548,0.125806452,0.212903226,0.332258065,0.329032258,0
Hennepin,Westcentral,0.666003954,860,0,0.153846154,0.615384615,0.153846154,0.076923077,0,0.117835031,0.364289994,0.257239864,0.26003595,1071
Watonwan,Southcentral,0.547407449,417,0,0.069672131,0.073770492,0.176229508,0.336065574,0.344262295,0.086065574,0.225409836,0.344262295,0.344262295,700
Yellow Medicine,Southwest,0.548234289,425,0,0.104347826,0.252173913,0.313043478,0.234782609,0.095652174,0.27826087,0.295652174,0.27826087,0.139130435,977
Brown,Southcentral,0.473061071,394,0,0.1328125,0.221354167,0.1484375,0.2734375,0.223958333,0.09375,0.513020833,0.2890625,0.080729167,2004
Blue Earth,Southcentral,0.597152583,478,0,0.075,0.178846154,0.265384615,0.280769231,0.2,0.161538462,0.344230769,0.244230769,0.25,5253
Cottonwood,Southwest,0.487624918,415,0.027777778,0.03968254,0.19047619,0.273809524,0.369047619,0.099206349,0.115079365,0.579365079,0.218253968,0.05952381,1242
Todd,Northeast,0.474587254,503,0.00952381,0.213333333,0.31047619,0.245714286,0.16,0.060952381,0.28952381,0.527619048,0.106666667,0.053333333,0
Le Sueur,Southcentral,0.504071303,579,0,0.081168831,0.194805195,0.224025974,0.287337662,0.212662338,0.102272727,0.448051948,0.206168831,0.243506494,5867
Douglas,Westcentral,0.477512787,459,0.020467836,0.111111111,0.233918129,0.356725146,0.204678363,0.073099415,0.143274854,0.385964912,0.286549708,0.157894737,10017
Swift,Westcentral,0.599411423,404,0,0.070175439,0.134502924,0.269005848,0.263157895,0.263157895,0.093567251,0.251461988,0.34502924,0.350877193,1837
Redwood,Southwest,0.476013148,423,0,0.027855153,0.155988858,0.323119777,0.353760446,0.139275766,0.055710306,0.328690808,0.420612813,0.194986072,54
Otter Tail,Northwest,0.462804608,476,0,0.20260223,0.273234201,0.237918216,0.200743494,0.085501859,0.172862454,0.464684015,0.213754647,0.146840149,7871
Grant,Westcentral,0.563708026,504,0,0.029069767,0.139534884,0.276162791,0.337209302,0.218023256,0.037790698,0.186046512,0.345930233,0.421511628,6178
Faribault,Southcentral,0.490212387,445,0,0.095867769,0.112396694,0.32892562,0.315702479,0.147107438,0.105785124,0.370247934,0.347107438,0.161983471,199
Stevens,Westcentral,0.556190597,336,0,0.037128713,0.123762376,0.235148515,0.287128713,0.316831683,0.02970297,0.232673267,0.25990099,0.477722772,1911
Murray,Southwest,0.503379298,464,0,0.041237113,0.092783505,0.240549828,0.405498282,0.219931271,0.065292096,0.223367698,0.381443299,0.288659794,0
