id,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,work2017,countyresident
6967500969,Male,50-70,Some college degree,"$500,000 - $999,999",,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Jackson
6966018516,Male,30-50,"B.A., B.S., or equivalent","$25,000 - $99,999",50%-75%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Renville
6954002510,Male,Over 70,High school diploma,None,0,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Wheat,,Hennepin
6954000142,Male,50-70,High school diploma,"$500,000 - $999,999",75%-100%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Watonwan
6952091365,Male,30-50,Some college degree,"$100,000 - $249,999",1%-25%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Yellow Medicine
6950969532,Male,50-70,Some college degree,"$25,000 - $99,999",25%-50%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Brown
6950966877,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Watonwan
6950963846,Female,50-70,Some college degree,"$1 -$24,999",1%-25%,1 - 100 acres,"No, majority of my land is not currently used for crop production.",Conservation Reserve Program (CRP),Full-time off-farm work,Blue Earth
6949522020,Male,Over 70,Some college degree,,75%-100%,"More than 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Cottonwood
6949520595,Male,50-70,Some college degree,"$250,000 - $499,999",50%-75%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Blue Earth
6949519165,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Todd
6949517026,Female,Over 70,Some college degree,,,,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean(All No-till),Retired,Le Sueur
6949515466,Male,50-70,High school diploma,"$1 -$24,999",25%-50%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Douglas
6949513982,Male,Over 70,Graduate degree,None,0,1 - 100 acres,"No, majority of my land is not currently used for crop production.",Other (please specify),Retired,Hennepin
6949512250,Male,50-70,Graduate degree,"$100,000 - $249,999",75%-100%,"500 - 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Swift
6949510004,Male,50-70,"B.A., B.S., or equivalent",,75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Redwood
6949508507,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Otter Tail
6949506509,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Grant
6949504595,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Faribault
6949502871,Male,50-70,"B.A., B.S., or equivalent","$500,000 - $999,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Stevens
6949501136,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time off-farm work,Murray
6949498386,Male,30-50,Some college degree,"$1 -$24,999",50%-75%,1 - 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Part-time farm work on land owned by me or rented from others,Murray
6949496064,Male,Over 70,High school diploma,"$25,000 - $99,999",25%-50%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Blue Earth
6949493789,Male,50-70,Some college degree,"$100,000 - $249,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,Douglas
6949491780,Male,50-70,Some college degree,"$1 -$24,999",1%-25%,,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Watonwan
6949489833,Male,Over 70,Some college degree,"$25,000 - $99,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Other (please specify),Full-time farm work on land owned by me or rented from others,Waseca
6949488002,Male,50-70,Some college degree,"$500,000 - $999,999",75%-100%,"500 - 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,Brown
6949485959,Male,50-70,Some college degree,"$100,000 - $249,999",75%-100%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.",Other (please specify),Retired,Blue Earth
6949478309,Male,Over 70,High school diploma,,50%-75%,"500 - 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired,Lyon
6949476839,,,,,1%-25%,100 - 500 acres,"Yes, and I am in charge of a day to day farm operation.",Other (please specify),Part-time farm work on land owned by me or rented from others,Blue Earth
6949474644,Male,Over 70,High school diploma,"$25,000 - $99,999",50%-75%,100 - 500 acres,"Yes, and someone else is in charge of a day to day farm operation.","Corn/Corn/Bean(Minimum-till corn, No-till bean)",Part-time farm work on land owned by me or rented from others,Sibley
