County_resident,Region,County,Less than 100 acres,100 to 500 acres,500 to 1000 acres,Above 1000 acres
Anoka,Northeast,Anoka,,,,
Sherburne,Northeast,Sherburne,,,,
Todd,Northeast,Todd,,,,
Washington,Northeast,Washington,,,,
Otter Tail,Northwest,Otter Tail,,,,
Blue Earth,Southcentral,Blue Earth,,,,
Brown,Southcentral,Brown,,,,
Carver,Southcentral,Carver,,,,
Faribault,Southcentral,Faribault,,,,
Freeborn,Southcentral,Freeborn,,,,
Le Sueur,Southcentral,Le Sueur,,,,
Nicollet,Southcentral,Nicollet,,,,
Rice,Southcentral,Rice,,,,
Sibley,Southcentral,Sibley,,,,
Steele,Southcentral,Steele,,,,
Waseca,Southcentral,Waseca,,,,
Watonwan,Southcentral,Watonwan,,,,
Dakota,Southeast,Dakota,,,,
Goodhue,Southeast,Goodhue,,,,
Wabasha,Southeast,Wabasha,,,,
Cottonwood,Southwest,Cottonwood,,,,
Jackson,Southwest,Jackson,,,,
Lincoln,Southwest,Lincoln,,,,
Lyon,Southwest,Lyon,,,,
Martin,Southwest,Martin,,,,
Murray,Southwest,Murray,,,,
Nobles,Southwest,Nobles,,,,
Pipestone,Southwest,Pipestone,,,,
Redwood,Southwest,Redwood,,,,
Yellow Medicine,Southwest,Yellow Medicine,,,,
Big Stone,Westcentral,Big Stone,,,,
Chippewa,Westcentral,Chippewa,,,,
Douglas,Westcentral,Douglas,,,,
Grant,Westcentral,Grant,,,,
Hennepin,Westcentral,Hennepin,,,,
Kandiyohi,Westcentral,Kandiyohi,,,,
Lac Qui Parle,Westcentral,Lac Qui Parle,,,,
McLeod,Westcentral,McLeod,,,,
Meeker,Westcentral,Meeker,,,,
Pope,Westcentral,Pope,,,,
Renville,Westcentral,Renville,,,,
Stevens,Westcentral,Stevens,,,,
Swift,Westcentral,Swift,,,,
Traverse,Westcentral,Traverse,,,,
