Subbasin,CountyID,County,Area_acre,Inter_acre,WLD,CC,NM,ASC_obs
296,2,Blue Earth,35285,1931,239.44426790000,54.76895783000,69.75173792000,19.76263974000
299,2,Blue Earth,6174,16,239.44426790000,54.76895783000,69.75173792000,19.76263974000
300,2,Blue Earth,30351,26200,239.44426790000,54.76895783000,69.75173792000,19.76263974000
301,2,Blue Earth,13929,13921,239.44426790000,54.76895783000,69.75173792000,19.76263974000
302,2,Blue Earth,10284,10278,239.44426790000,54.76895783000,69.75173792000,19.76263974000
303,2,Blue Earth,37783,9969,239.44426790000,54.76895783000,69.75173792000,19.76263974000
304,2,Blue Earth,31038,14838,239.44426790000,54.76895783000,69.75173792000,19.76263974000
305,2,Blue Earth,23536,9199,239.44426790000,54.76895783000,69.75173792000,19.76263974000
306,2,Blue Earth,11402,9685,239.44426790000,54.76895783000,69.75173792000,19.76263974000
307,2,Blue Earth,25356,16163,239.44426790000,54.76895783000,69.75173792000,19.76263974000
309,2,Blue Earth,26753,7147,239.44426790000,54.76895783000,69.75173792000,19.76263974000
388,2,Blue Earth,15295,7271,239.44426790000,54.76895783000,69.75173792000,19.76263974000
389,2,Blue Earth,13591,4369,239.44426790000,54.76895783000,69.75173792000,19.76263974000
390,2,Blue Earth,10335,4675,239.44426790000,54.76895783000,69.75173792000,19.76263974000
391,2,Blue Earth,14824,14816,239.44426790000,54.76895783000,69.75173792000,19.76263974000
392,2,Blue Earth,20246,7784,239.44426790000,54.76895783000,69.75173792000,19.76263974000
393,2,Blue Earth,29148,29131,239.44426790000,54.76895783000,69.75173792000,19.76263974000
394,2,Blue Earth,12892,12884,239.44426790000,54.76895783000,69.75173792000,19.76263974000
416,2,Blue Earth,13089,349,239.44426790000,54.76895783000,69.75173792000,19.76263974000
417,2,Blue Earth,10260,578,239.44426790000,54.76895783000,69.75173792000,19.76263974000
418,2,Blue Earth,25809,776,239.44426790000,54.76895783000,69.75173792000,19.76263974000
419,2,Blue Earth,12459,11750,239.44426790000,54.76895783000,69.75173792000,19.76263974000
423,2,Blue Earth,27978,16982,239.44426790000,54.76895783000,69.75173792000,19.76263974000
424,2,Blue Earth,12054,12047,239.44426790000,54.76895783000,69.75173792000,19.76263974000
425,2,Blue Earth,16881,16872,239.44426790000,54.76895783000,69.75173792000,19.76263974000
431,2,Blue Earth,34783,2325,239.44426790000,54.76895783000,69.75173792000,19.76263974000
432,2,Blue Earth,10435,9919,239.44426790000,54.76895783000,69.75173792000,19.76263974000
433,2,Blue Earth,30427,2791,239.44426790000,54.76895783000,69.75173792000,19.76263974000
434,2,Blue Earth,27092,720,239.44426790000,54.76895783000,69.75173792000,19.76263974000
435,2,Blue Earth,15666,14705,239.44426790000,54.76895783000,69.75173792000,19.76263974000
438,2,Blue Earth,26673,8282,239.44426790000,54.76895783000,69.75173792000,19.76263974000
439,2,Blue Earth,20978,20964,239.44426790000,54.76895783000,69.75173792000,19.76263974000
440,2,Blue Earth,21971,21957,239.44426790000,54.76895783000,69.75173792000,19.76263974000
443,2,Blue Earth,23684,8219,239.44426790000,54.76895783000,69.75173792000,19.76263974000
448,2,Blue Earth,20758,1631,239.44426790000,54.76895783000,69.75173792000,19.76263974000
449,2,Blue Earth,16447,1337,239.44426790000,54.76895783000,69.75173792000,19.76263974000
450,2,Blue Earth,26299,26180,239.44426790000,54.76895783000,69.75173792000,19.76263974000
451,2,Blue Earth,17373,11490,239.44426790000,54.76895783000,69.75173792000,19.76263974000
452,2,Blue Earth,23644,23630,239.44426790000,54.76895783000,69.75173792000,19.76263974000
455,2,Blue Earth,25423,1394,239.44426790000,54.76895783000,69.75173792000,19.76263974000
456,2,Blue Earth,22373,22056,239.44426790000,54.76895783000,69.75173792000,19.76263974000
457,2,Blue Earth,12530,9754,239.44426790000,54.76895783000,69.75173792000,19.76263974000
458,2,Blue Earth,14315,14305,239.44426790000,54.76895783000,69.75173792000,19.76263974000
459,2,Blue Earth,27622,27604,239.44426790000,54.76895783000,69.75173792000,19.76263974000
281,3,Brown,12726,6559,236.26113520000,51.59050599000,66.51367963000,16.54197999000
282,3,Brown,21303,5267,236.26113520000,51.59050599000,66.51367963000,16.54197999000
283,3,Brown,28506,21523,236.26113520000,51.59050599000,66.51367963000,16.54197999000
284,3,Brown,26963,21287,236.26113520000,51.59050599000,66.51367963000,16.54197999000
288,3,Brown,14152,52,236.26113520000,51.59050599000,66.51367963000,16.54197999000
290,3,Brown,30728,12411,236.26113520000,51.59050599000,66.51367963000,16.54197999000
291,3,Brown,12945,1,236.26113520000,51.59050599000,66.51367963000,16.54197999000
292,3,Brown,15578,1858,236.26113520000,51.59050599000,66.51367963000,16.54197999000
293,3,Brown,34933,17411,236.26113520000,51.59050599000,66.51367963000,16.54197999000
294,3,Brown,16781,9665,236.26113520000,51.59050599000,66.51367963000,16.54197999000
295,3,Brown,21297,21289,236.26113520000,51.59050599000,66.51367963000,16.54197999000
296,3,Brown,35285,33339,236.26113520000,51.59050599000,66.51367963000,16.54197999000
300,3,Brown,30351,4009,236.26113520000,51.59050599000,66.51367963000,16.54197999000
303,3,Brown,37783,27796,236.26113520000,51.59050599000,66.51367963000,16.54197999000
304,3,Brown,31038,2611,236.26113520000,51.59050599000,66.51367963000,16.54197999000
335,3,Brown,35290,19264,236.26113520000,51.59050599000,66.51367963000,16.54197999000
336,3,Brown,16582,6291,236.26113520000,51.59050599000,66.51367963000,16.54197999000
337,3,Brown,29984,7596,236.26113520000,51.59050599000,66.51367963000,16.54197999000
338,3,Brown,38897,38889,236.26113520000,51.59050599000,66.51367963000,16.54197999000
344,3,Brown,11986,3829,236.26113520000,51.59050599000,66.51367963000,16.54197999000
345,3,Brown,23285,13851,236.26113520000,51.59050599000,66.51367963000,16.54197999000
346,3,Brown,37526,23454,236.26113520000,51.59050599000,66.51367963000,16.54197999000
347,3,Brown,31692,31681,236.26113520000,51.59050599000,66.51367963000,16.54197999000
348,3,Brown,29948,29894,236.26113520000,51.59050599000,66.51367963000,16.54197999000
402,3,Brown,15970,4825,236.26113520000,51.59050599000,66.51367963000,16.54197999000
420,3,Brown,33192,24111,236.26113520000,51.59050599000,66.51367963000,16.54197999000
422,3,Brown,18400,6952,236.26113520000,51.59050599000,66.51367963000,16.54197999000
423,3,Brown,27978,9,236.26113520000,51.59050599000,66.51367963000,16.54197999000
293,6,Cottonwood,34933,17518,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
294,6,Cottonwood,16781,7113,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
326,6,Cottonwood,33168,12753,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
328,6,Cottonwood,23587,6235,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
329,6,Cottonwood,29142,25271,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
330,6,Cottonwood,29109,28840,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
331,6,Cottonwood,22306,22307,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
332,6,Cottonwood,17992,17404,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
333,6,Cottonwood,11841,4918,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
334,6,Cottonwood,26274,25983,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
335,6,Cottonwood,35290,16022,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
336,6,Cottonwood,16582,1960,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
384,6,Cottonwood,34076,566,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
395,6,Cottonwood,29883,29879,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
396,6,Cottonwood,7847,7845,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
397,6,Cottonwood,15466,14520,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
399,6,Cottonwood,13241,503,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
400,6,Cottonwood,19390,19387,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
401,6,Cottonwood,13154,7776,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
402,6,Cottonwood,15970,557,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
403,6,Cottonwood,16284,4334,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
407,6,Cottonwood,33431,26495,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
408,6,Cottonwood,26971,12957,207.76707090000,23.00413877000,38.06653536000,-11.97742078000
352,9,Faribault,15356,3,233.48530540000,48.75917288000,63.73888813000,13.76978380000
354,9,Faribault,19756,11980,233.48530540000,48.75917288000,63.73888813000,13.76978380000
