Index,County,State,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre,GW,Buffer,Unnamed: 0,original,weight
0,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,1,16605,818.534,1.94,0.96,0,818.534,0.04929462532040175
1,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,1,16605,15786.4,1.94,0.96,1,15786.4,0.950705374679598
2,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,2,22660,1178.77,1.94,0.96,2,1178.77,0.0556454837404649
3,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,2,22660,20004.8,1.94,0.96,3,20004.8,0.9443545162595351
4,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,3,17993,17993.0,1.94,0.96,4,17993.0,1.0
5,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,4,22965,7764.48,1.94,0.96,5,7764.48,0.3381038268165425
6,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,4,22965,15200.3,1.94,0.96,6,15200.3,0.6618961731834575
7,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,5,21318,376.37,1.94,0.96,7,376.37,0.017654975333132882
8,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,5,21318,20941.7,1.94,0.96,8,20941.7,0.9823450246668672
9,Marshall,South Dakota,297.0179558000001,112.5086517,127.2381645,77.37496276,6,18128,1143.15,1.94,0.96,9,1143.15,0.06306147273073305
10,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,6,18128,16984.4,1.94,0.96,10,16984.4,0.9369385272692669
11,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,7,16329,16328.7,1.94,0.96,11,16328.7,1.0
12,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,8,17186,17186.1,1.94,0.96,12,17186.1,1.0
13,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,9,16168,16167.7,1.94,0.96,13,16167.7,1.0
14,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,10,11617,11617.1,1.94,0.96,14,11617.1,1.0
15,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,11,15581,15581.1,1.94,0.96,15,15581.1,1.0
16,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,12,14362,14362.4,1.94,0.96,16,14362.4,1.0
17,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,13,13238,13237.7,1.94,0.96,17,13237.7,1.0
18,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,14,15011,15011.1,1.94,0.96,18,15011.1,1.0
19,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,15,9466,9465.61,1.94,0.96,19,9465.61,1.0
20,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,16,12176,12175.6,1.94,0.96,20,12175.6,1.0
21,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,17,22005,22004.5,1.94,0.96,21,22004.5,1.0
22,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,18,14153,593.409,1.76,1.82,22,593.409,0.041929004546055464
23,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,18,14153,1125.6,1.76,1.82,23,1125.6,0.07953247678589306
24,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,18,14153,12433.7,1.94,0.96,24,12433.7,0.8785385186680514
25,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,19,21201,10201.2,1.76,1.82,25,10201.2,0.4811727914644328
26,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,19,21201,10999.5,1.76,1.82,26,10999.5,0.5188272085355672
27,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,20,33136,11535.4,1.76,1.82,27,11535.4,0.348124988682935
28,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,20,33136,21600.4,1.76,1.82,28,21600.4,0.6518750113170649
29,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,21,17865,17865.0,1.76,1.82,29,17865.0,1.0
30,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,22,9545,0.358599,1.76,1.82,30,0.358599,3.7570017311546396e-05
31,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,22,9545,9544.46,1.94,0.96,31,9544.46,0.9999624299826886
32,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,23,7129,7128.53,1.94,0.96,32,7128.53,1.0
33,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,24,17073,17073.3,1.76,1.82,33,17073.3,1.0
34,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,25,11670,11670.2,1.76,1.82,34,11670.2,1.0
35,Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,26,72498,2841.65,1.76,1.82,35,2841.65,0.03919608608807571
36,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,26,72498,4462.86,1.94,0.96,36,4462.86,0.06155812459628369
37,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,26,72498,25548.7,1.94,0.96,37,25548.7,0.35240407672951274
38,Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,26,72498,39645.1,1.76,1.82,38,39645.1,0.5468417125861279
39,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,27,16852,16851.6,1.94,0.96,39,16851.6,1.0
40,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,28,26372,26371.9,1.94,0.96,40,26371.9,1.0
41,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,29,19278,19278.0,1.94,0.96,41,19278.0,1.0
42,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,30,23647,387.019,1.94,0.96,42,387.019,0.01636650268687144
43,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,30,23647,23260.0,1.94,0.96,43,23260.0,0.9836334973131284
44,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,31,21938,5335.48,1.94,0.96,44,5335.48,0.2432107679572316
45,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,31,21938,16602.2,1.94,0.96,45,16602.2,0.7567892320427685
46,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,32,16263,3004.46,1.94,0.96,46,3004.46,0.18474023498508285
47,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,32,16263,13258.7,1.94,0.96,47,13258.7,0.8152597650149171
48,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,33,20129,8417.05,1.94,0.96,48,8417.05,0.41816474609447774
49,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,33,20129,11711.5,1.94,0.96,49,11711.5,0.5818352539055223
50,Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,34,19259,4480.59,1.94,0.96,50,4480.59,0.2326468558646547
51,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,34,19259,14778.6,1.94,0.96,51,14778.6,0.7673531441353452
52,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,35,23162,91.445,1.94,0.96,52,91.445,0.0039481219921987405
53,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,35,23162,23070.2,1.94,0.96,53,23070.2,0.9960518780078012
54,Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,36,20753,430.815,1.94,0.96,54,430.815,0.020759252374907337
55,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,36,20753,20322.1,1.94,0.96,55,20322.1,0.9792407476250928
56,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,37,14943,14943.1,1.94,0.96,56,14943.1,1.0
57,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,38,19547,19546.9,1.94,0.96,57,19546.9,1.0
58,Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,39,10376,10375.8,1.94,0.96,58,10375.8,1.0
59,Lac qui Parle,Minnesota,215.75047430000004,31.10794552,46.10084389,-3.950041518,40,15743,59.8753,1.76,1.82,59,59.8753,0.003803265079883189
