County_resident,Region,County
Sherburne,Northeast,Sherburne
Washington,Northeast,Washington
Anoka,Northeast,Anoka
Todd,Northeast,Todd
Otter Tail,Northwest,Otter Tail
Brown,Southcentral,Brown
Blue Earth,Southcentral,Blue Earth
Watonwan,Southcentral,Watonwan
Le Sueur,Southcentral,Le Sueur
Faribault,Southcentral,Faribault
Freeborn,Southcentral,Freeborn
Sibley,Southcentral,Sibley
Carver,Southcentral,Carver
Rice,Southcentral,Rice
Nicollet,Southcentral,Nicollet
Steele,Southcentral,Steele
Waseca,Southcentral,Waseca
Wabasha,Southeast,Wabasha
Goodhue,Southeast,Goodhue
Dakota,Southeast,Dakota
Lincoln,Southwest,Lincoln
Murray,Southwest,Murray
Lyon,Southwest,Lyon
Cottonwood,Southwest,Cottonwood
Jackson,Southwest,Jackson
Nobles,Southwest,Nobles
Martin,Southwest,Martin
Pipestone,Southwest,Pipestone
Yellow Medicine,Southwest,Yellow Medicine
Redwood,Southwest,Redwood
Kandiyohi,Westcentral,Kandiyohi
McLeod,Westcentral,McLeod
Chippewa,Westcentral,Chippewa
Lac Qui Parle,Westcentral,Lac Qui Parle
Meeker,Westcentral,Meeker
Pope,Westcentral,Pope
Grant,Westcentral,Grant
Hennepin,Westcentral,Hennepin
Big Stone,Westcentral,Big Stone
Renville,Westcentral,Renville
Traverse,Westcentral,Traverse
Stevens,Westcentral,Stevens
Douglas,Westcentral,Douglas
Swift,Westcentral,Swift
