Subbasin,,index,original,weight
18,0,405,594,0.345348837
18,1,691,1126,0.654651163
19,0,406,11065,0.521245525
19,1,692,10163,0.478754475
20,0,407,21708,0.654367878
20,1,693,11466,0.345632122
21,0,408,17886,1
22,0,409,0,
24,0,410,17094,1
25,0,411,11682,1
26,0,412,39694,0.933186007
26,1,694,2842,0.066813993
40,0,413,90,0.6
40,1,512,60,0.4
41,0,414,27500,0.907620714
41,1,634,2799,0.092379286
42,0,415,25213,1
43,0,416,12538,1
44,0,417,14436,1
51,0,513,4955,1
55,0,514,3936,1
56,0,515,1774,1
57,0,516,451,1
58,0,517,19299,1
59,0,518,13354,1
60,0,519,7950,1
61,0,418,12356,0.456244
61,1,520,14726,0.543756
62,0,521,31331,1
63,0,419,31709,0.98149008
63,1,654,598,0.01850992
64,0,420,3059,0.123014437
64,1,655,21808,0.876985563
65,0,421,23038,0.587764058
65,1,522,14207,0.362460455
65,2,656,1951,0.049775487
66,0,523,23296,1
67,0,438,7083,0.56841345
67,1,657,5378,0.43158655
68,0,439,22808,0.572073541
68,1,524,10186,0.255486719
68,2,658,6875,0.17243974
69,0,559,36711,1
70,0,560,16361,1
71,0,561,13946,1
72,0,484,4947,0.267781747
72,1,562,13527,0.732218253
73,0,469,15712,0.409828369
73,1,485,1171,0.030544108
73,2,563,21455,0.559627524
74,0,470,2874,0.223918972
74,1,486,9933,0.773899494
74,2,564,28,0.002181535
75,0,565,15960,1
76,0,487,5177,0.290761022
76,1,566,12628,0.709238978
77,0,471,22,0.000809746
77,1,488,27147,0.999190254
78,0,489,32814,1
79,0,490,21246,0.595442953
79,1,635,14435,0.404557047
80,0,636,42173,1
81,0,422,714,0.023929218
81,1,637,29124,0.976070782
82,0,638,14034,1
83,0,639,22602,1
84,0,640,25878,1
85,0,423,81,0.006010686
85,1,641,13018,0.966013654
85,2,659,377,0.02797566
86,0,424,14612,0.587181033
86,1,642,5572,0.223909986
86,2,660,4701,0.188908981
87,0,643,12284,0.807998421
87,1,661,2919,0.192001579
88,0,644,3805,0.463233504
88,1,662,4409,0.536766496
89,0,645,28997,1
90,0,646,10310,0.321815401
90,1,663,21727,0.678184599
91,0,664,12855,1
92,0,665,23944,1
93,0,156,6210,1
94,0,157,22672,0.981684347
94,1,695,423,0.018315653
95,0,158,9,1
96,0,159,0,
97,0,160,13325,0.807086614
97,1,696,3185,0.192913386
98,0,697,17237,1
99,0,161,25,0.008877841
99,1,698,2791,0.991122159
100,0,699,18159,1
101,0,162,1299,0.056414488
101,1,700,21727,0.943585512
102,0,525,1829,0.130857838
102,1,701,12148,0.869142162
103,0,526,7210,0.442629996
103,1,702,9079,0.557370004
104,0,527,537,0.790868925
104,1,703,142,0.209131075
105,0,528,326,1
106,0,529,6060,1
107,0,530,3690,1
108,0,531,8341,1
109,0,532,10873,1
110,0,533,11615,1
113,0,534,15488,0.894587882
113,1,704,1825,0.105412118
114,0,535,18875,0.594039152
114,1,705,12899,0.405960848
115,0,536,27659,1
116,0,537,31910,1
117,0,538,10521,1
118,0,539,15281,0.43164228
118,1,706,20121,0.56835772
119,0,540,15570,1
120,0,541,26824,1
121,0,542,20494,1
122,0,543,24846,0.987519873
122,1,707,314,0.012480127
123,0,544,10924,1
124,0,545,34515,1
125,0,440,3,0.000119318
125,1,546,25140,0.999880682
126,0,708,27881,1
127,0,709,22112,1
128,0,547,10249,0.701890152
128,1,710,4353,0.298109848
129,0,441,9451,0.36120772
129,1,548,11942,0.456411236
129,2,711,4772,0.182381043
130,0,442,23,0.000663398
130,1,549,5269,0.151975772
130,2,712,29378,0.847360831
131,0,443,19661,0.731136812
131,1,550,818,0.030419099
131,2,713,6412,0.238444089
132,0,444,21574,1
133,0,714,14755,1
134,0,445,8195,0.391431028
134,1,594,3955,0.188909056
134,2,715,8786,0.419659916
135,0,163,15813,1
136,0,164,29276,1
137,0,165,27303,1
138,0,166,15563,0.931916168
138,1,716,1137,0.068083832
139,0,167,14419,0.640076353
139,1,182,8108,0.359923647
140,0,168,7000,0.186856014
140,1,183,206,0.005498906
140,2,717,30256,0.80764508
141,0,169,892,0.064103485
141,1,184,10998,0.790370104
141,2,718,2025,0.14552641
142,0,170,23768,1
143,0,171,17952,1
144,0,172,11094,0.73861518
144,1,185,3926,0.26138482
145,0,173,4956,0.217693051
145,1,186,17810,0.782306949
146,0,719,11281,1
147,0,187,372,0.036650246
147,1,720,9778,0.963349754
148,0,721,26530,1
149,0,188,950,0.057561803
149,1,722,15554,0.942438197
150,0,723,18305,1
151,0,189,18771,1
152,0,190,12835,0.435143748
152,1,724,16661,0.564856252
153,0,191,24100,0.935704302
153,1,725,1656,0.064295698
154,0,192,1127,0.080356506
154,1,726,12898,0.919643494
155,0,595,1,4.88E-05
155,1,727,20511,0.999951248
156,0,494,21371,1
157,0,495,27518,1
158,0,496,17523,1
159,0,446,8700,0.368129311
159,1,497,14933,0.631870689
160,0,447,19604,0.559842362
160,1,498,15413,0.440157638
161,0,499,23683,1
162,0,500,20223,1
163,0,448,214,0.006665836
163,1,501,20198,0.629142786
163,2,596,11692,0.364191378
164,0,449,6547,0.637736217
164,1,597,3719,0.362263783
