Subbasin,CountyID,County,Area_acre,Inter_acre,WLD,CC,NM,ASC_obs,Subbasin,original,weight
18,1,Big Stone,14153,594,231.9748276,47.26910078,62.24772744,12.28486201,18,594,0.345348837
18,35,Traverse,14153,1126,234.6922637,50.2330625,64.98666567,15.08944262,18,1126,0.654651163
19,1,Big Stone,21201,11065,231.9748276,47.26910078,62.24772744,12.28486201,19,11065,0.521245525
19,35,Traverse,21201,10163,234.6922637,50.2330625,64.98666567,15.08944262,19,10163,0.478754475
20,1,Big Stone,33136,21708,231.9748276,47.26910078,62.24772744,12.28486201,20,21708,0.654367878
20,35,Traverse,33136,11466,234.6922637,50.2330625,64.98666567,15.08944262,20,11466,0.345632122
21,1,Big Stone,17865,17886,231.9748276,47.26910078,62.24772744,12.28486201,21,17886,1
22,1,Big Stone,9545,0,231.9748276,47.26910078,62.24772744,12.28486201,22,0,1
24,1,Big Stone,17073,17094,231.9748276,47.26910078,62.24772744,12.28486201,24,17094,1
25,1,Big Stone,11670,11682,231.9748276,47.26910078,62.24772744,12.28486201,25,11682,1
26,1,Big Stone,72498,39694,231.9748276,47.26910078,62.24772744,12.28486201,26,39694,0.933186007
26,35,Traverse,72498,2842,234.6922637,50.2330625,64.98666567,15.08944262,26,2842,0.066813993
40,1,Big Stone,15743,90,231.9748276,47.26910078,62.24772744,12.28486201,40,90,0.6
40,15,Lac qui Parle,15743,60,215.7504743,31.10794552,46.10084389,-3.950041518,40,60,0.4
41,1,Big Stone,30274,27500,231.9748276,47.26910078,62.24772744,12.28486201,41,27500,0.907620714
41,33,Stevens,30274,2799,222.4095129,37.91125157,52.66306618,2.746698187,41,2799,0.092379286
42,1,Big Stone,25190,25213,231.9748276,47.26910078,62.24772744,12.28486201,42,25213,1
43,1,Big Stone,12526,12538,231.9748276,47.26910078,62.24772744,12.28486201,43,12538,1
44,1,Big Stone,14423,14436,231.9748276,47.26910078,62.24772744,12.28486201,44,14436,1
51,15,Lac qui Parle,26605,4955,215.7504743,31.10794552,46.10084389,-3.950041518,51,4955,1
55,15,Lac qui Parle,14911,3936,215.7504743,31.10794552,46.10084389,-3.950041518,55,3936,1
56,15,Lac qui Parle,31420,1774,215.7504743,31.10794552,46.10084389,-3.950041518,56,1774,1
57,15,Lac qui Parle,11014,451,215.7504743,31.10794552,46.10084389,-3.950041518,57,451,1
58,15,Lac qui Parle,21022,19299,215.7504743,31.10794552,46.10084389,-3.950041518,58,19299,1
59,15,Lac qui Parle,13343,13354,215.7504743,31.10794552,46.10084389,-3.950041518,59,13354,1
