Subbasin,Area_acre,inter_acre,WLD,CC,MN,ASC_obs,County,State
1,16605,15786.4,297.0179558,112.5086517,127.2381645,77.37496276,Marshall,South Dakota
1,16605,818.534,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
2,22660,1178.77,297.0179558,112.5086517,127.2381645,77.37496276,Marshall,South Dakota
2,22660,20004.8,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
3,17993,17993,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
4,22965,15200.3,297.0179558,112.5086517,127.2381645,77.37496276,Marshall,South Dakota
4,22965,7764.48,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
5,21318,376.37,297.0179558,112.5086517,127.2381645,77.37496276,Marshall,South Dakota
5,21318,20941.7,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
6,18128,1143.15,297.0179558,112.5086517,127.2381645,77.37496276,Marshall,South Dakota
6,18128,16984.4,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
7,16329,16328.7,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
8,17186,17186.1,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
9,16168,16167.7,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
10,11617,11617.1,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
11,15581,15581.1,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
12,14362,14362.4,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
13,13238,13237.7,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
14,15011,15011.1,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
15,9466,9465.61,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
16,12176,12175.6,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
17,22005,22004.5,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
18,14153,593.409,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
18,14153,12433.7,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
18,14153,1125.6,234.6922637,50.2330625,64.98666567,15.08944262,Traverse,Minnesota
19,21201,10999.5,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
19,21201,10201.2,234.6922637,50.2330625,64.98666567,15.08944262,Traverse,Minnesota
20,33136,21600.4,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
20,33136,11535.4,234.6922637,50.2330625,64.98666567,15.08944262,Traverse,Minnesota
21,17865,17865,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
22,9545,0.358599,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
22,9545,9544.46,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
23,7129,7128.53,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
24,17073,17073.3,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
25,11670,11670.2,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
26,72498,39645.1,231.9748276,47.26910078,62.24772744,12.28486201,Big Stone,Minnesota
26,72498,4462.86,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
26,72498,25548.7,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
26,72498,2841.65,234.6922637,50.2330625,64.98666567,15.08944262,Traverse,Minnesota
27,16852,16851.6,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
28,26372,26371.9,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
29,19278,19278,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
30,23647,387.019,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
30,23647,23260,257.8732369,73.44428009,88.10155317,38.14451039,Roberts,South Dakota
31,21938,16602.2,236.8262788,52.14586221,67.11797534,17.2225039,Grant,South Dakota
