"MEAN","CI_L","CI_U"
6737.93780460181,980.300863046337,9315.42426688352
2899.95289616801,1033.28620411645,10962.0339978593
2864.10509077777,997.080232003531,13141.6723753397
3226.37330440262,988.048365381142,9006.53127064514
10207.8748366839,1004.89324163267,9060.86858625055
2328.65540356632,1002.35832806559,6849.30023435703
3435.76251952048,1010.1491082297,10721.2909774945
2761.31193504303,1019.16305303714,7450.30210324766
4007.69818583834,991.755964819519,10228.9221423623
3945.48448304953,1011.1463037394,9316.00876913882
2626.27527111746,977.655490577081,8121.52585702133
2638.7863387872,1018.26346885641,9212.81248871089
3165.12004615305,996.351975785582,9566.00972698932
2593.17737371209,1015.59121261068,7687.28235561807
3827.44614326521,1007.27072852807,12224.3971532831
2487.78730705991,997.544394818199,7559.34590504478
2115.63154926489,582.998262884526,5720.1266291762
2220.71881222799,593.487290576394,5379.60633305719
1937.11163043084,595.856920702985,5648.62024890816
1568.17014919816,600.935916520467,5223.48601378887
1741.89558831036,587.177109487538,5416.07997766357
1642.38708881027,587.283640631709,5833.81084779119
2050.26198931743,592.051834320405,6644.91480447992
1900.28819071116,568.263436372888,6415.74763109736
2096.84094841616,624.618412503698,5628.65342970236
1824.76282527859,586.411725538654,6251.2934217755
2750.0136144463,563.22522619602,6627.08539808825
1784.00118799481,632.726910293345,5149.5927488365
2180.72041578816,573.249396783969,5417.82761524619
1921.89081234333,581.007529976849,5655.13200495224
1662.98590229083,572.676191464495,5766.64558180252
1870.33080428637,590.132000230271,8428.53616527223
1803.18837553602,235.363666843044,4057.45427433596
1571.08080265752,287.024734378224,5944.93685353865
1581.99429580614,238.769628505359,3566.14515698828
2415.93457857277,214.285729269465,4464.09369867672
1571.37452692263,263.578225023889,5321.74835079236
5253.52170033467,254.540224873075,6910.02354687753
1823.03209493084,233.347602804703,5593.67748168994
1335.34400287508,237.928541953992,4429.58221336899
3236.39012801153,269.245233582078,3499.83755299147
1434.37989786639,228.450086081773,4692.14390656667
1910.06984194165,260.028840479372,5323.25386770696
1990.34410136864,241.168265988958,5736.99972540622
1401.20308584866,259.944232404405,4669.9388445822
1730.92200930587,256.347071278349,6067.64167150707
2023.67865066295,212.270927825582,4177.36695246877
17974.2823066132,262.964177308028,4384.30023058457
1649.45452426224,300.173515033656,4440.80660750315
1427.02058755378,344.205155906969,4783.95907444625
1488.66878376753,321.608715631471,4723.54760932261
1307.04577415738,311.053952992301,4476.31796212977
1241.67277567573,328.189990810666,4290.152176451
1144.32084377262,290.365723353667,4287.33606719082
2128.29222749985,300.651891594854,5088.37419090942
1213.11510906728,301.540636050141,3473.36876154918
1226.12771151242,298.428269339769,4242.28807826715
1946.55308044558,318.059369863921,4415.970360395
1287.0465875611,326.992605314206,4050.59998691491
2062.30341887245,342.34534303514,7216.82955697723
1155.78642582746,313.608687809824,3397.27743959468
1239.45256388571,335.280147396673,3599.03265461876
1469.73191911981,309.068189391696,5036.99219400962
1255.96623076803,311.993342187641,4475.76355634763
-2397.77393572009,-6859.78974038385,-544.762659793303
-2372.13088861623,-10277.2431607815,-538.311123835905
-2298.80464709301,-6255.40839122312,-585.54218212959
-4083.90731543456,-7737.3272377961,-499.352667708862
-2372.04124330304,-8562.83043299523,-528.569111596981
-2536.68381122388,-7287.70200093783,-469.474431896755
-2180.39315151083,-7625.0456669228,-497.403963276142
-2389.03058536015,-7832.07566572025,-512.313778175602
-3238.93756125034,-8430.46547394233,-492.038524939829
-2222.55538788328,-6840.83152260697,-547.073397738519
-3196.93790119536,-7281.92298483118,-521.362668961994
-2945.93985862884,-6757.89920142759,-578.830780127781
-2544.50070355944,-8888.08733421489,-582.761691501804
-2227.93960921978,-7691.04584522834,-502.590500544039
-2336.57266494962,-7300.33798619759,-458.503413918718
-2583.00766985739,-8385.54050720531,-510.348301746273
2100.78542915989,621.851154893083,6157.50403267511
1677.46880620521,625.330240894598,5195.62031247623
2062.26596490261,636.689683955009,7132.55648145006
1828.99216552104,597.991138058818,5083.25012232266
2022.09360001522,603.192373301041,7406.45346989662
2343.84774379642,632.436265771125,5346.00780633552
2217.69166125616,603.025748245716,7734.62755824801
2600.9587315212,546.696262330241,6150.14284212189
2721.85216751446,623.438199005983,7086.35258026511
1722.16292859955,618.934603700186,6184.77677401884
2188.13198877673,602.922587619792,6679.7285761246
2042.26099104366,633.931111733851,6455.77190192018
1895.86279761075,608.734314471107,4096.05843532439
1652.17126767108,570.853079176973,5985.87337147828
2286.09592300919,599.218773487546,6985.80002594706
1882.45161337292,603.807273357392,5473.4820692521
-2897.49065361658,-8313.42303175314,-528.689006668037
-3955.87007402739,-6989.10528304505,-488.430518117893
-2495.36242417812,-9286.45479638456,-492.922464792243
-2555.92190225269,-7769.00197995346,-504.042305841186
-4592.71823691974,-8492.92295679731,-500.717727150809
-2815.17780487445,-8964.32978223521,-484.458896178758
-36224.4036658858,-7201.6346562864,-491.405657916218
-3338.1734619548,-6735.53423315569,-455.351675419674
-2482.6173671063,-7678.2907138781,-479.478942010079
-2679.29360782386,-8073.7784127065,-394.197508865542
-3093.62149726143,-6609.17493287775,-448.574519670108
-2168.379523231,-6537.0613319725,-519.455254053313
-2268.77960662244,-6566.11689746053,-374.360665210142
-4929.52095041834,-7902.57338847138,-436.321415526303
-5162.30853896182,-7650.67822454668,-491.81706363128
-2890.48482652148,-5043.22610080314,-463.991059150122
1624.59065563183,493.299825937311,5449.38922799493
1930.70230737436,458.538788342544,8184.22487081888
1443.06871322352,423.81632163018,4240.31240074882
2895.03585239107,416.438495063083,6899.06266049111
59489.3724667346,439.029832106806,5731.41246403321
2607.88955205234,461.990462549808,5537.4018369795
1550.24246042776,442.036306591255,5974.34905263079
1942.51476707491,417.008042927447,4610.44614332056
1979.10570969165,414.014443087011,7190.72335481839
1982.62719282811,448.341203581607,7070.89904165578
1546.20962071895,425.504220354229,4999.05965633412
1804.69707841729,446.721636661641,5417.39230059898
1713.36102811514,471.752861196006,4993.01652294201
1646.85640832261,437.419957266041,4583.39728283242
2396.05836525365,447.981658515791,6181.33990998761
1732.8092742298,451.71851777323,5759.7073822019
3155.85534033488,1276.52119907774,9698.22139726211
3128.31254474096,1236.70000440507,9157.58556561757
11986.2894101986,1211.85551218642,11105.8018267883
3537.02803420829,1284.99004271585,8495.3020653182
3201.54682285897,1287.44237172677,9521.65051982536
3304.87238010754,1248.53968692202,10255.4275987451
