"MEAN","CI_L","CI_U"
269.098699369345,190.185748116819,376.010198119688
266.44231082996,178.148389747038,371.480130005085
265.643484685486,179.22205095252,371.150838595323
267.019319387974,181.779860640642,358.643410323244
267.505793598193,180.66423228402,365.072350850361
269.650153100484,180.436751798328,369.598394580923
270.134662795505,185.452582915463,370.030233942231
267.281688362654,175.812651364299,372.010044576764
266.611812073234,179.863353994192,362.819763061455
269.543694529212,186.032980413774,373.833588409942
265.847935998097,178.172128536495,366.28561642529
269.56950478456,179.675689024274,364.633813259842
267.748289979582,179.097150976262,370.504000913267
269.570490551299,182.034883533895,364.952918070596
270.403191099646,181.152349005738,366.105310619723
266.904435354697,181.010449358313,365.084666328393
268.97109566336,182.668234749126,364.054706712049
266.177857951191,178.9378971187,365.743884616346
267.318857907138,180.564621290978,366.304755585831
269.248521191386,190.0781339582,362.038525597419
266.373669917521,181.322922076107,360.106534564755
268.180413785463,183.631684582254,368.510057893921
269.81696478596,182.653504602266,367.341769933663
266.860069224493,183.090269185721,360.153539120508
269.806039354483,183.320562086601,375.134149340003
265.196612661768,179.779560223591,359.562401186132
268.649193699374,183.772566678273,363.650514777538
268.124648739658,182.472376512341,365.28046250856
269.056337694638,176.371733321753,374.417198711218
269.618029563839,183.521582711065,371.653282086163
269.032798148288,186.184127167163,368.648658204115
267.149790697791,174.210802344198,365.723217053455
266.783482660259,182.172119338043,364.067789563539
265.179451214239,174.936267048345,364.350432208775
270.60944300496,183.449652095105,366.641452765546
268.93984334766,183.781949871978,366.602269099361
267.517384914645,185.891957631666,369.200107019557
268.002189618263,182.955520736192,369.906962309641
267.632862559673,182.772204733057,363.685641988465
267.784118819035,184.505068822438,362.771133330231
269.23039504584,182.202609784223,367.013647652786
269.356786321817,186.750875900256,363.125503484029
268.220293681621,181.842421433305,365.697297491913
270.608234484841,181.526543284993,374.512379596515
267.325124725311,181.364953574279,365.925774526424
263.625404384764,179.795539540761,358.246888456647
267.631072990832,182.523629592726,368.635894729208
266.935909271787,186.919636621348,370.363261139606
269.268408619755,180.984309551095,358.976112874189
267.918213669052,183.010483950581,364.833371103911
267.577423962744,182.209161929252,363.02167956264
266.025903902104,179.739344427823,366.368285637031
266.650922403694,187.701240778012,356.011368694437
265.794712080674,183.093808211435,359.104516221419
267.757338445383,183.438474696346,360.906894703246
266.204067042001,178.564481545952,364.060800575307
269.546311222339,176.513602199681,370.498059759424
266.462248618002,181.389472658114,365.195851686263
267.216091939209,176.180113700624,365.873919243534
267.247308116737,180.92325929006,367.786386168553
267.244922185066,178.802724781603,357.901261889158
268.066746072559,183.058714020295,368.059772793664
269.202670662,184.261251865499,365.620010582016
269.625174124815,183.343741398053,364.391059839084
266.523101503638,186.00038503946,368.223390790205
268.320624664463,178.466461239891,363.766535047265
265.551740095134,181.918781330152,365.499176988568
268.847311051669,185.425857622333,371.185702906456
269.963160742969,181.402769550056,368.904217719652
270.330374139132,186.513388241069,369.651017669005
269.239161839964,183.87467890505,367.101190719381
268.1340732874,183.364378616938,371.874567007342
265.915091249022,185.985080491957,362.720519537735
266.186344833762,179.166143202229,359.704969657255
268.597763891803,175.773015736299,366.549079248334
