"MEAN","CI_L","CI_U"
5153.52101040429,2131.15046096502,17826.9397337287
5374.01837706004,2181.79032244351,19097.7983767036
44009.8746746012,2144.832713896,18547.398881266
8793.91090180558,2173.45533079218,23799.0599024261
5786.38068713294,2114.05367535092,14929.8402843964
5558.21626660156,2172.50518746786,15082.3019849286
5557.50189406884,2208.19019403764,18698.2487095928
4976.78600521248,2168.77934501036,17863.1586401603
9261.4064318557,2200.85437165051,23533.9530296764
4845.94769530997,2143.90876588478,15909.3975429824
6183.33074963142,2161.73583626616,14798.6726751784
5713.32528572657,2213.64268309056,22760.3472905662
5311.12446300735,2156.0164925636,17622.1521187815
5225.74279915254,2164.89203319036,16428.8894086341
9982.81788574434,2181.25070518985,12746.0947515463
6918.61029628847,2150.76632834739,24968.6485160545
4577.65994661095,1735.0789904623,12353.9047547016
5321.95525094682,1691.31921816328,17816.4526836676
4918.56266130929,1669.55318315791,19299.1303938207
4345.68866344387,1785.97815873034,15402.2072075686
5297.7026766401,1692.51831372627,15835.7119230652
4280.30491377628,1788.51019727393,13766.1717998532
9872.3376627831,1808.0552636166,21363.2306665147
6249.94157921972,1729.51251393325,14605.1758661271
4364.12229716492,1788.01202390481,13956.2163153835
6146.99906410709,1737.06950368405,14536.1489968359
9282.29029533729,1765.32075198922,13863.278675433
5182.38814770254,1775.47724349253,16022.2153282051
4282.89385206589,1757.33550588084,14219.26736916
4875.45782881494,1804.90258939652,15253.8358529707
4642.37802026762,1675.56329810287,20803.0161407717
5496.20104068262,1738.91228305038,15875.2254082399
4589.63975474168,1457.29473548832,13836.4191455026
4126.20930335,1480.82243517085,9975.00089235424
4922.75419148938,1469.37053620295,12120.3551421146
3922.40156105628,1508.45600685207,10947.4017847111
3895.53896453969,1473.29145576108,13184.6791963819
38305.6355637107,1518.29897897513,13811.6047918962
4267.4491758554,1479.06181642199,13879.0066928112
5763.36705637559,1458.38806373694,13523.2554886136
4287.36327933963,1511.68676058946,15731.9502407177
4175.1451360955,1483.87357313583,16491.7772647814
4357.63437211607,1488.45041661427,10824.0388313668
5098.99112745362,1419.4430146224,17848.7493104766
4695.43980010925,1501.83448736806,19790.564275472
6780.51986843693,1535.32690518429,14750.0485351325
5393.20953472618,1454.66725937342,13890.0485132625
4807.9007971946,1494.11750330374,14232.6671600902
4074.14596248322,1483.06800612609,12654.842216733
3879.32835138202,1568.95702633454,11468.0715742555
4896.56060297347,1510.03062112371,15426.7837954102
4451.37767740045,1479.45193591809,12065.9128352621
4118.26549137611,1525.20739082444,14726.0614255884
3824.40686789056,1522.24760632476,10747.1823941003
6559.49276615345,1488.69689282803,13918.6744555324
3687.88198493,1466.40083297552,10742.3830166706
3548.41823256296,1543.78661799034,11285.4929858246
3807.96050232112,1520.997289759,10582.4096711981
3929.02950709186,1556.11546355789,11486.4607878358
5703.35084908427,1512.00149883224,13099.1754480978
4111.80171143511,1549.83158796149,15301.0610365855
4111.9266848305,1494.39839687868,10753.3461418352
4960.84588531233,1500.55879746825,18532.8892567654
4089.07860576163,1523.66513396803,14046.8048732478
533.421642943013,-2449.88303868073,4034.1501235813
295.114614181173,-2075.76941122233,4098.87834197541
268.071236452908,-2372.05953665653,4125.22279745588
476.081928904781,-3650.83552296142,3657.81210471787
351.431124824306,-1875.69773268685,5078.81828127898
232.562538074053,-3062.73220841784,4795.45569437077
875.810101689984,-1911.12263907555,7064.9662823494
208.289534070039,-3602.57499597846,4242.61443806749
281.943859886531,-3142.82199656082,3044.07729470684
338.867773464854,-3616.52995000529,4061.91859502357
441.416803809542,-2454.72628134839,3935.48859170762
-437.004677545796,-3956.25134858194,4192.72996309632
37.5991037316205,-3525.19234841411,4169.3621184186
788.022565055474,-2414.91275137171,4352.01942876985
-658.304986931261,-3010.9009844321,4240.01261253491
416.716876826752,-2769.66361509989,3978.27836336176
9454.23401918544,1738.56655985454,15618.9218235177
5244.77096252598,1780.30217434689,15891.9402498845
4938.85239064361,1843.08883884801,15589.2392838409
5311.57082620327,1826.98487162374,15573.1690806005
4310.55172628044,1815.64022509806,12982.8197016283
7340.57264133869,1803.08719155282,12570.9651142704
4445.8060751283,1838.41631542031,14363.8538989979
6951.57631499937,1820.6777727599,21263.970024986
4557.93507788523,1779.41088497223,12134.0588021696
4333.29906229145,1793.13458921536,11598.9429778302
4500.25309499162,1809.0603463326,14556.7740564257
5179.38442533168,1836.9340177804,18521.4947258738
4565.07518712911,1804.5787918052,13585.1881631546
12827.1267134737,1783.4228958064,15042.8431883911
4334.30458826524,1790.20973071804,14010.7609074111
4856.46258614506,1812.54232725663,16821.3379479888
381.256015716096,-2697.35210598448,4521.11618170873
1797.74814826534,-2757.76331269722,5349.60599019676
-463.407551433841,-3562.64784850517,3545.49212502087
-257.878766164296,-2693.16723399159,4991.34441275162
623.216721146387,-2556.60291224991,5211.21776242929
779.267296618616,-2568.05508816469,4817.02860580714
1234.86158433901,-2524.20427199129,3876.50385542792
288.34121729993,-3101.08961439819,3796.44425837914
124.05301066182,-2188.58916878502,4350.94912706644
133.399568649634,-2353.60783179357,4354.35586614869
1057.8284202701,-3415.90743174686,4662.31390276928
723.63392999823,-3459.18583224577,5055.81573695921
589.204855460411,-2417.42863404234,4154.9331615424
277.503508613332,-2696.63799723297,3866.9214798699
2576.17016921496,-2374.8511365934,4126.24568840768
4734.28637813908,-2480.29118163521,4343.50378982637
4958.18061117814,1640.36921496601,11866.3003013807
4231.55186185294,1619.29176215355,14660.4473214645
4961.49867455645,1666.53341591534,18273.7915920484
4522.03823451019,1642.30616357574,14486.024035785
4216.64456249547,1694.92931753976,15498.7917467882
4760.45405654936,1620.26434278975,17917.9963667031
8086.87236730201,1746.09874004315,15985.1337580601
6366.7085621379,1677.07112310979,21302.1726002773
4071.68246173516,1660.57893944949,13657.5846626803
5361.15550447717,1675.8540661863,15464.7122347002
7059.958534781,1617.35673144,17244.6327198862
4863.10527769668,1678.81863992011,16799.2362649181
4956.86983015568,1644.99024289655,14850.8356113263
4710.61311649011,1624.30710649324,15625.4909811102
4464.84576490517,1615.46540782101,12813.4898388016
4882.48399657201,1673.7731975988,12840.4608378185
5683.04454133442,2412.25750643982,21026.0611131167
10548.8710596311,2502.98514091076,17919.481237931
6762.68424929049,2470.33064322001,18038.5782776619
5656.36468387485,2394.87516578131,15527.5540414773
6825.14386409631,2560.98448984851,20018.5556152018
13808.9071586443,2492.61654408317,21878.8669480159
6002.07907230595,2465.35187601448,15231.2996812988
7717.37583615888,2480.54953564353,17835.5776112175
5635.1234828079,2517.45759088425,19911.029715116
6675.30616057456,2453.61197235854,22781.1617573711
7935.36168538603,2479.68739121097,20428.1632244973
7877.25280811337,2552.07070936644,17130.9122141063
5741.28638109243,2484.78249839761,19618.3448195011
6213.05917177778,2388.44449956184,21608.5400745836
6631.43065620399,2399.4571168081,17095.8693925052
6074.6195772432,2448.74449374666,20226.3524090417
4470.2197539455,1605.46390821106,20218.0813127068
4197.31139378968,1654.79334824296,12775.409211785
4711.63479034437,1620.21032740353,12928.363394313
4005.70038719902,1663.54393973059,14871.1326499625
6101.23436536254,1658.48946217213,14971.8307242871
4550.09028813609,1646.10175052305,17085.3276161661
4045.36274776871,1620.75847319539,13671.6023402579
5025.64844885756,1641.91977395465,11902.8955660303
4140.27198655831,1647.69307513245,10446.032131449
4392.22465751688,1674.67574811534,12093.9196578953
3900.66976609091,1678.04873796494,11142.7784524699
4649.34946989242,1727.96124174523,15630.0074593838
4125.73900612063,1693.11275017469,11751.8894518702
4747.02891615128,1642.06275508029,12571.3599823421
3948.76784986813,1649.29408394352,15734.2786364757
4007.92087325591,1611.89318609963,11738.3107752231
7419.98181251925,1540.62285160507,12342.1673691132
4766.72059849582,1570.75818850624,17419.5762377672
4425.31387860023,1549.84668807748,15190.3667267848
4810.03257340058,1582.56817001566,12662.7681286979
4096.91346219535,1571.72048210438,16033.7205018421
15321.6666872124,1505.4957540346,14554.51075287
4399.72758774212,1561.11668906107,11060.1873717649
4187.79432858844,1565.45937531687,14463.6193942485
7850.90094227938,1584.68196183519,12477.3046428994
6192.96949377006,1465.92864467631,14369.6991498676
5731.29640166396,1550.62838249622,14659.4676019195
4523.32383201528,1564.7107845973,11319.2779508681
9934.72277865888,1562.86351459515,17071.2503664786
3817.34495854711,1550.62460238901,12855.811356422
4341.59069613393,1559.80199568771,12294.8941447603
5239.04778942821,1569.05961210675,15694.8388745378
8450.46913983915,3715.14203507681,30612.4995170364
9310.11236652706,3789.78740320388,30042.7725581262
8869.91611837336,3762.16545915159,28059.9589681328
10784.1989033967,3777.1929632171,33477.7488444371
9574.83642773638,3796.32905878223,31544.7684668893
16792.4774984167,3847.20363658221,41982.1018152395
15105.2424152073,3684.46207059972,37960.9486932145
8600.55320151928,3853.65377721106,24440.9645230293
9596.16274704442,3825.86297134727,23446.4205242471
23381.0662905975,3776.21186255268,33346.2114329739
10459.6188700991,3885.75598781718,31428.0377945389
8494.7076023928,3853.29657378869,31094.6176352215
8522.02829939388,3828.91876912528,30105.9671577221
9179.38885502572,3802.09190261588,30444.6386905574
10053.9920879789,3717.22533735741,36208.7240733827
9136.55758571588,3792.08599586596,27967.7812412564
3849.12514297306,1639.9237908955,11881.3498256591
7887.07025291487,1680.10488419216,14051.2809406408
4896.21789971438,1693.9375082862,12650.7819395859
3958.40793297432,1628.3050279653,11890.39349767
5493.3539346597,1708.99253248305,13585.0730251144
7616.24472629854,1682.21741782845,20328.2303965647
5758.80641500345,1687.62472730268,11480.1532053192
3784.43315954435,1653.86437923273,11236.2448496066
4157.70624701403,1674.64702724572,14987.1090493322
4313.13058688229,1655.57551622185,14490.4599475584
11741.5264809641,1612.28258911953,15337.5284547416
4197.272524753,1641.06196625251,14612.1937133911
4593.15239885909,1641.64534849116,14647.2842296449
3956.20289338224,1674.55656737562,11699.4101954147
4900.92928763941,1621.63027931183,15680.1927452863
7847.81753492148,1674.82904807879,15348.8599513134
4483.45198345057,1594.50738495693,12130.4489533813
3933.81874664052,1612.14536875976,11987.5449899169
4405.70882907551,1503.6115555886,16483.7452752237
4797.72873395585,1492.80770972323,13099.5336362446
4062.05522345332,1626.26364311306,12214.0943384141
5403.8058173444,1544.48737689646,10177.2071603776
5496.83628529459,1614.53194292274,14124.676824838
4383.85359425064,1642.12830797048,15338.0284210766
4757.33169342118,1561.85869622238,14238.5258890305
4234.63188522134,1625.65975895866,13060.0987170031
6200.31117303677,1560.26743832596,13077.9321414813
3815.69305589548,1577.68188699363,12374.2312501165
14866.0728187556,1617.9263756457,16121.9381324694
7165.57292616861,1566.37465321251,12228.0375398438
4288.10009854628,1539.07373677947,12913.6252409454
4263.59754526318,1601.42371083096,12217.1690743988
1050.76625085792,-1088.09219409848,5234.62504931189
913.677962946662,-1270.57721135477,6209.6174689462
479.467063815643,-951.612123525101,6163.09601288648
1745.90526653008,-1176.02121800967,4791.16550874299
1296.44397042665,-767.813195651829,6368.46207444069
1225.85656258885,-1088.86210017177,6021.73078724366
1347.62278505796,-1327.33812728702,6798.7692699316
1804.94239707556,-1208.54769330266,6839.33321822773
850.36626597574,-1245.53724488355,4712.84581115788
1309.60741591336,-929.154844811399,6406.5096024612
1201.53027034003,-1640.78475590457,6528.68816612275
1638.43165144287,-1109.45621379656,5566.32608082998
1052.00636521248,-1260.08848456151,5784.92905039905
1225.21163509372,-1773.51262623979,5829.23820730227
1602.51577675089,-1330.35720920129,5249.33402572681
1213.6758696929,-781.047314761629,5173.15529953716
7020.01011249234,2670.06972338682,23032.3167211373
6544.93519531631,2789.54628972355,19837.3210996207
6242.82021416162,2723.57665303874,19445.6417510617
8556.92478002207,2829.28882000586,21102.8210937749
12120.8604136112,2789.35345096117,25029.7580059181
6982.41890249562,2794.03703227794,24774.2629069315
8435.27227114287,2734.10849471168,22777.2760791774
7451.32164689029,2788.57942730476,25688.3507926449
20041.6520824695,2789.09041308957,23489.5486221889
31109.3924232885,2785.50129311265,19328.8686761729
6030.08927819481,2786.04128512867,18339.6346967782
7952.36681214008,2831.19264731475,25138.4378374544
7914.96943796044,2809.96836798683,29570.6725884508
8473.26236290185,2748.74127429723,20198.8848882814
7130.62677688242,2774.35454483365,21004.1597503971
6331.25437136964,2790.40030327952,21826.1519614491
6181.23654716477,2208.48126929153,17065.8447635909
5924.05045842932,2147.34190824608,20810.7204167865
6288.95397015761,2185.54505114137,17785.6941271042
7775.0887035261,2246.92760978049,15512.6430212992
6078.93473402885,2225.54254334086,18659.8757165124
5575.66686197332,2234.97236184441,17800.0428708099
5143.92982252119,2178.62660580732,16390.3452554945
6281.4487426876,2265.28937197279,18292.6797720659
5159.85454065873,2258.92681058838,16121.9018076479
9372.48192905773,2183.41233478237,17288.0055656572
5814.35050962538,2229.34192102172,24278.8168176006
11778.6525195663,2212.91877802814,19413.0684993616
6349.5840309782,2152.7590584156,17325.5146323547
9088.77000416972,2221.57733107256,15064.9071113406
5062.60510261535,2229.59686481635,16510.4435750005
5708.45725420413,2198.77794433435,20388.6516029217
3915.81234543201,1453.98592165188,10567.557049449
16968.8214793785,1382.94877158003,14729.1089907432
4441.93802460104,1465.48328213363,12753.1373740118
5511.95615983983,1523.13949624797,13500.339035008
8239.75998081736,1516.50838695029,11829.4377349262
3810.64182409662,1439.35273780558,10643.7272366055
5008.5793606922,1510.54380566084,13958.8647614633
4341.45678708709,1478.79555109022,13121.2835727311
3720.10014458267,1441.33051121481,11111.4194954959
4005.78429366087,1458.67984552234,9853.52820751401
4124.01706941128,1462.33063561186,11704.4128916729
4766.79639965523,1454.7525452915,13108.7293007482
4236.13274676166,1426.5620403853,9952.22262477941
4327.60776371424,1469.85472631687,18325.5131840375
6400.60198410655,1467.09257950817,13654.6692303267
4040.64862208041,1464.15734663055,15137.796774289
4199.93940018042,1834.49819305766,13590.0264074241
4008.62185151463,1767.521461476,12299.7338363087
7179.66255270194,1825.48067732944,17202.1863895085
4669.47120497899,1819.63817790328,16440.2832144414
5875.19435620982,1754.89402187142,14797.33142442
5204.93793022519,1745.5520100214,15416.0072920387
7768.67711489683,1750.17466491164,16073.1403871256
23167.425418986,1818.6307487692,21075.5783269664
4360.97590783708,1828.20260164631,14330.1321644881
4563.18307672252,1860.985974471,13494.6347230797
5802.79413760367,1774.39366819477,15591.0422431814
23024.6543851465,1757.86362329919,18203.7313170806
4998.18669219131,1740.85327768724,14961.6439591984
12906.3024805543,1786.32534583198,14965.3642698064
4325.95677181015,1748.26755203065,13798.7823323859
4181.90294192709,1770.98838879006,13156.3069743096
5417.38172587884,1209.07378788487,10062.8328192122
3975.19275726523,1270.44592525986,10804.282834844
3410.79378131851,1205.38885060785,12072.3177214328
4229.40964700788,1238.27593278331,12067.5159172463
3840.87946325891,1269.77932949933,13365.6563613887
4130.17653557123,1207.15635977082,15267.4194828852
3872.22482470433,1300.93482268209,11969.7045683
3203.79373095099,1243.19014343247,9205.54962120656
3365.32582658946,1259.9411746833,9356.20254757323
3532.94180969724,1229.72278324907,10059.1686169125
3342.94006266871,1241.55565238515,9150.19286864923
3914.07860878264,1269.82580252856,11021.9925719539
3096.45657794041,1281.19567288127,9790.17448043226
3825.2191049855,1221.64281605185,12486.2010931276
5301.56761622161,1169.68323147567,14657.9904137328
3450.47264303679,1245.28888272227,11291.7423705471
6545.81190777507,1856.02991890752,17943.1710752181
4832.76768025264,1768.18949712835,13849.6246115637
4675.56553551725,1823.82074800903,16007.9291166188
4913.06897305588,1845.71141259702,14265.9853361866
4925.57726328446,1834.17996924421,17297.5902185142
5358.83450030986,1769.02262047202,16398.8771739685
4192.02957859381,1845.02203445494,13806.2140721025
5448.87320051342,1863.98159035573,15158.449929041
