Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.472856    ,   .114602    ,  -4.12607    ,   .369009E-04,  -.697472    ,  -.248240    
PAY     ,   .145732E-02,   .254889E-03,   5.71748    ,   .108114E-07,   .957750E-03,   .195690E-02
COVERCRO,   .413693E-01,   .804293E-01,   .514356    ,   .607003    ,  -.116269    ,   .199008    
NM      ,  -.632532E-01,   .869515E-01,  -.727454    ,   .466948    ,  -.233675    ,   .107169    
ASC     ,  -.464544    ,   .278985    ,  -1.66512    ,   .958888E-01,  -1.01135    ,   .822571E-01
DEMS18  ,   .468800    ,   .860681E-01,   5.44685    ,   .512690E-07,   .300110    ,   .637491    
COSTTAX ,  -.848467E-03,   .382095E-03,  -2.22057    ,   .263803E-01,  -.159736E-02,  -.995752E-04
INCFARM1,   .344073    ,   .209495    ,   1.64239    ,   .100508    ,  -.665291E-01,   .754676    
INCFARM2,   .579604    ,   .211745    ,   2.73727    ,   .619507E-02,   .164592    ,   .994617    
INCFARM4,   .414105    ,   .211427    ,   1.95862    ,   .501579E-01,  -.285209E-03,   .828495    
INCFARM5,   .456224    ,   .216146    ,   2.11072    ,   .347960E-01,   .325862E-01,   .879863    
INCFARM6,   1.55298    ,   .337958    ,   4.59520    ,   .432336E-05,   .890599    ,   2.21537    
FARMSI1 ,  -.494709E-01,   .122094    ,  -.405188    ,   .685339    ,  -.288770    ,   .189828    
FARMSI2 ,   .129274    ,   .118637    ,   1.08966    ,   .275862    ,  -.103250    ,   .361797    
FARMSI3 ,  -.150288    ,   .156030    ,  -.963198    ,   .335448    ,  -.456102    ,   .155526    
FSCAWARE,   .181018    ,   .138321    ,   1.30868    ,   .190641    ,  -.900854E-01,   .452122    
FSCPAST ,   .350661    ,   .134001    ,   2.61684    ,   .887475E-02,   .880226E-01,   .613299    
FSCAPP  ,   1.40554    ,   .238017    ,   5.90523    ,   .000000    ,   .939039    ,   1.87205    
FSCRESP ,   .686049    ,   .296222    ,   2.31599    ,   .205586E-01,   .105464    ,   1.26663    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.72574    ,   .190082    ,  -9.07896    ,   .000000    ,  -2.09830    ,  -1.35319    
PAY     ,   .881997E-02,   .787176E-03,   11.2046    ,   .000000    ,   .727713E-02,   .103628E-01
COVERCRO,  -.424600    ,   .132474    ,  -3.20517    ,   .134982E-02,  -.684244    ,  -.164957    
NM      ,  -.374595    ,   .120744    ,  -3.10238    ,   .191969E-02,  -.611250    ,  -.137941    
ASC     ,  -1.16310    ,   .359148    ,  -3.23851    ,   .120157E-02,  -1.86702    ,  -.459186    
DEMS18  ,   .802582    ,   .106995    ,   7.50108    ,   .000000    ,   .592874    ,   1.01229    
COSTTAX ,  -.136779E-02,   .460259E-03,  -2.97178    ,   .296076E-02,  -.226988E-02,  -.465699E-03
INCFARM1,   1.11624    ,   .289721    ,   3.85281    ,   .116769E-03,   .548397    ,   1.68408    
INCFARM2,   1.06187    ,   .296589    ,   3.58026    ,   .343250E-03,   .480562    ,   1.64317    
INCFARM4,   .829697    ,   .298157    ,   2.78275    ,   .539000E-02,   .245320    ,   1.41407    
INCFARM5,   .865957    ,   .306120    ,   2.82882    ,   .467206E-02,   .265973    ,   1.46594    
INCFARM6,   2.93365    ,   .459602    ,   6.38304    ,   .000000    ,   2.03285    ,   3.83446    
FARMSI1 ,  -.357535    ,   .163354    ,  -2.18872    ,   .286170E-01,  -.677702    ,  -.373684E-01
FARMSI2 ,   .233065    ,   .146307    ,   1.59298    ,   .111164    ,  -.536923E-01,   .519822    
FARMSI3 ,  -.492465    ,   .183449    ,  -2.68447    ,   .726445E-02,  -.852019    ,  -.132911    
FSCAWARE,   .495417    ,   .176193    ,   2.81178    ,   .492678E-02,   .150085    ,   .840750    
FSCPAST ,   .618206    ,   .166094    ,   3.72202    ,   .197637E-03,   .292667    ,   .943744    
FSCAPP  ,   1.19397    ,   .284018    ,   4.20384    ,   .262419E-04,   .637302    ,   1.75063    
FSCRESP ,   .592596    ,   .377460    ,   1.56996    ,   .116425    ,  -.147212    ,   1.33241    
WETL:LAK,   .000000    ,   .000000    ,   .100000E+11,   .116425    ,   .000000    ,   .000000    
PAY :LAK,  -.397824E-03,   .784462E-04,  -5.07130    ,   .395117E-06,  -.551576E-03,  -.244072E-03
COVE:LAK,   .112724    ,   .266970E-01,   4.22235    ,   .241772E-04,   .603988E-01,   .165049    
NM  :LAK,   .000000    ,   .000000    ,   .100000E+11,   .241772E-04,   .000000    ,   .000000    
QsWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .241772E-04,   .000000    ,   .000000    
QsPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .241772E-04,   .000000    ,   .000000    
QsCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .241772E-04,   .000000    ,   .000000    
QsNM    ,   .000000    ,   .000000    ,   .100000E+11,   .241772E-04,   .000000    ,   .000000    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.472856    ,   .114602    ,  -4.12607    ,   .369009E-04,  -.697472    ,  -.248240    
PAY     ,   .145732E-02,   .254889E-03,   5.71748    ,   .108114E-07,   .957750E-03,   .195690E-02
COVERCRO,   .413693E-01,   .804293E-01,   .514356    ,   .607003    ,  -.116269    ,   .199008    
NM      ,  -.632532E-01,   .869515E-01,  -.727454    ,   .466948    ,  -.233675    ,   .107169    
ASC     ,  -.464544    ,   .278985    ,  -1.66512    ,   .958888E-01,  -1.01135    ,   .822571E-01
DEMS18  ,   .468800    ,   .860681E-01,   5.44685    ,   .512690E-07,   .300110    ,   .637491    
COSTTAX ,  -.848467E-03,   .382095E-03,  -2.22057    ,   .263803E-01,  -.159736E-02,  -.995752E-04
INCFARM1,   .344073    ,   .209495    ,   1.64239    ,   .100508    ,  -.665291E-01,   .754676    
INCFARM2,   .579604    ,   .211745    ,   2.73727    ,   .619507E-02,   .164592    ,   .994617    
INCFARM4,   .414105    ,   .211427    ,   1.95862    ,   .501579E-01,  -.285209E-03,   .828495    
INCFARM5,   .456224    ,   .216146    ,   2.11072    ,   .347960E-01,   .325862E-01,   .879863    
INCFARM6,   1.55298    ,   .337958    ,   4.59520    ,   .432336E-05,   .890599    ,   2.21537    
FARMSI1 ,  -.494709E-01,   .122094    ,  -.405188    ,   .685339    ,  -.288770    ,   .189828    
FARMSI2 ,   .129274    ,   .118637    ,   1.08966    ,   .275862    ,  -.103250    ,   .361797    
FARMSI3 ,  -.150288    ,   .156030    ,  -.963198    ,   .335448    ,  -.456102    ,   .155526    
FSCAWARE,   .181018    ,   .138321    ,   1.30868    ,   .190641    ,  -.900854E-01,   .452122    
FSCPAST ,   .350661    ,   .134001    ,   2.61684    ,   .887475E-02,   .880226E-01,   .613299    
FSCAPP  ,   1.40554    ,   .238017    ,   5.90523    ,   .000000    ,   .939039    ,   1.87205    
FSCRESP ,   .686049    ,   .296222    ,   2.31599    ,   .205586E-01,   .105464    ,   1.26663    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.62191    ,   .170775    ,  -9.49735    ,   .000000    ,  -1.95663    ,  -1.28720    
PAY     ,   .805178E-02,   .690223E-03,   11.6655    ,   .000000    ,   .669897E-02,   .940460E-02
COVERCRO,  -.436167    ,   .134111    ,  -3.25229    ,   .114480E-02,  -.699020    ,  -.173315    
NM      ,  -.374996    ,   .109723    ,  -3.41767    ,   .631594E-03,  -.590048    ,  -.159943    
ASC     ,  -1.27298    ,   .346324    ,  -3.67569    ,   .237209E-03,  -1.95176    ,  -.594196    
DEMS18  ,   .784321    ,   .104868    ,   7.47910    ,   .000000    ,   .578783    ,   .989860    
COSTTAX ,  -.109737E-02,   .429261E-03,  -2.55642    ,   .105757E-01,  -.193870E-02,  -.256033E-03
INCFARM1,   1.11796    ,   .282729    ,   3.95418    ,   .767979E-04,   .563822    ,   1.67210    
INCFARM2,   1.10246    ,   .289422    ,   3.80917    ,   .139433E-03,   .535202    ,   1.66972    
INCFARM4,   .868927    ,   .289394    ,   3.00258    ,   .267704E-02,   .301726    ,   1.43613    
