Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.463488    ,   .113577    ,  -4.08083    ,   .448748E-04,  -.686094    ,  -.240881    
PAY     ,   .144057E-02,   .252576E-03,   5.70349    ,   .117377E-07,   .945527E-03,   .193561E-02
COVERCRO,   .459615E-01,   .797390E-01,   .576400    ,   .564345    ,  -.110324    ,   .202247    
NM      ,  -.650770E-01,   .862155E-01,  -.754818    ,   .450358    ,  -.234056    ,   .103902    
ASC     ,  -1.55504    ,   .484698    ,  -3.20826    ,   .133541E-02,  -2.50503    ,  -.605046    
DEMS18  ,   .449050    ,   .862639E-01,   5.20553    ,   .193439E-06,   .279976    ,   .618124    
COSTTAX ,  -.665749E-03,   .383121E-03,  -1.73770    ,   .822637E-01,  -.141665E-02,   .851540E-04
INCFARM1,   .188377    ,   .204983    ,   .918986    ,   .358103    ,  -.213383    ,   .590136    
INCFARM2,   .329264    ,   .222709    ,   1.47845    ,   .139287    ,  -.107237    ,   .765765    
INCFARM3,   .217708    ,   .206609    ,   1.05372    ,   .292011    ,  -.187238    ,   .622655    
INCFARM4,   .995972    ,   .321065    ,   3.10209    ,   .192160E-02,   .366697    ,   1.62525    
INCFARM5,   .266310    ,   .210388    ,   1.26581    ,   .205583    ,  -.146043    ,   .678663    
INCFARM6,   .294760    ,   .208692    ,   1.41241    ,   .157828    ,  -.114270    ,   .703790    
FARMSI1 ,   1.05601    ,   .292635    ,   3.60862    ,   .307830E-03,   .482454    ,   1.62956    
FARMSI2 ,   1.21801    ,   .286711    ,   4.24822    ,   .215473E-04,   .656070    ,   1.77996    
FARMSI3 ,   1.06594    ,   .306237    ,   3.48076    ,   .499990E-03,   .465725    ,   1.66615    
FARMSI4 ,   1.09363    ,   .275685    ,   3.96696    ,   .727960E-04,   .553298    ,   1.63396    
CRP     ,   .986378E-03,   .121932E-02,   .808959    ,   .418539    ,  -.140344E-02,   .337620E-02
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.486174    ,   .229662    ,  -2.11691    ,   .342678E-01,  -.936304    ,  -.360439E-01
PAY     ,   .241628E-02,   .341288E-03,   7.07988    ,   .000000    ,   .174737E-02,   .308519E-02
COVERCRO,   .202259    ,   .174173    ,   1.16125    ,   .245540    ,  -.139115    ,   .543632    
NM      ,   .113374    ,   .153149    ,   .740288    ,   .459125    ,  -.186792    ,   .413541    
ASC     ,  -2.11471    ,   1.16195    ,  -1.81997    ,   .687631E-01,  -4.39209    ,   .162662    
DEMS18  ,   .747221    ,   .204783    ,   3.64884    ,   .263423E-03,   .345854    ,   1.14859    
COSTTAX ,  -.190597E-02,   .897480E-03,  -2.12369    ,   .336958E-01,  -.366500E-02,  -.146944E-03
INCFARM1,   .914567    ,   .455232    ,   2.00902    ,   .445355E-01,   .223297E-01,   1.80680    
INCFARM2,   .271703    ,   .496377    ,   .547371    ,   .584124    ,  -.701179    ,   1.24458    
INCFARM3,   .587206    ,   .459602    ,   1.27764    ,   .201376    ,  -.313597    ,   1.48801    
INCFARM4,   2.27951    ,   .754547    ,   3.02103    ,   .251916E-02,   .800624    ,   3.75839    
INCFARM5,   .317350    ,   .468092    ,   .677964    ,   .497795    ,  -.600095    ,   1.23479    
INCFARM6,   .546060    ,   .460885    ,   1.18481    ,   .236094    ,  -.357258    ,   1.44938    
FARMSI1 ,   1.42281    ,   .729412    ,   1.95062    ,   .511022E-01,  -.681522E-02,   2.85243    
FARMSI2 ,   1.80986    ,   .716612    ,   2.52558    ,   .115507E-01,   .405329    ,   3.21440    
FARMSI3 ,   1.57180    ,   .755572    ,   2.08027    ,   .375004E-01,   .909031E-01,   3.05269    
FARMSI4 ,   1.83817    ,   .693318    ,   2.65126    ,   .801917E-02,   .479289    ,   3.19705    
CRP     ,  -.497549E-03,   .290829E-02,  -.171080    ,   .864161    ,  -.619769E-02,   .520259E-02
WETL:LAK,   .000000    ,   .000000    ,   .100000E+11,   .864161    ,   .000000    ,   .000000    
WETL:INC,   .000000    ,   .000000    ,   .100000E+11,   .864161    ,   .000000    ,   .000000    
PAY :LAK,   .000000    ,   .000000    ,   .100000E+11,   .864161    ,   .000000    ,   .000000    
PAY :INC,   .000000    ,   .000000    ,   .100000E+11,   .864161    ,   .000000    ,   .000000    
COVE:LAK,   .506262E-01,   .317417E-01,   1.59494    ,   .110726    ,  -.115865E-01,   .112839    
COVE:INC,   .000000    ,   .000000    ,   .100000E+11,   .110726    ,   .000000    ,   .000000    
NM  :LAK,   .000000    ,   .000000    ,   .100000E+11,   .110726    ,   .000000    ,   .000000    
NM  :INC,   .000000    ,   .000000    ,   .100000E+11,   .110726    ,   .000000    ,   .000000    
NsWETLAN,   2.76210    ,   .275970    ,   10.0087    ,   .000000    ,   2.22120    ,   3.30299    
CsPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .000000    ,   .000000    ,   .000000    
NsCOVERC,   1.40834    ,   .203267    ,   6.92854    ,   .000000    ,   1.00995    ,   1.80674    
NsNM    ,   .978565E-01,   .312391    ,   .313250    ,   .754091    ,  -.514419    ,   .710132    
PAY :WET,   .000000    ,   .000000    ,   .100000E+11,   .754091    ,   .000000    ,   .000000    
COVE:WET,  -.884521    ,   .167335    ,  -5.28593    ,   .125065E-06,  -1.21249    ,  -.556551    
COVE:PAY,   .000000    ,   .000000    ,   .100000E+11,   .125065E-06,   .000000    ,   .000000    
NM  :WET,  -1.13622    ,   .154607    ,  -7.34911    ,   .000000    ,  -1.43925    ,  -.833200    
NM  :PAY,   .000000    ,   .000000    ,   .100000E+11,   .000000    ,   .000000    ,   .000000    
NM  :COV,  -.878281    ,   .177970    ,  -4.93499    ,   .801544E-06,  -1.22710    ,  -.529466    
sdWETLAN,   2.76210    ,   .275970    ,   10.0087    ,   .000000    ,   2.22120    ,   3.30299    
sdPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .000000    ,   .000000    ,   .000000    
