respondentid,choice1.,choice2.,choice3.,choice4.,choice5.,choice6.,choice7.,choice8,countyresident,countyland,scenicconcern,scenicmoderate,scenicmajor,nutrientconcern,nutrientmoderate,nutrientmajor,habitatconcern,habitatmoderate,habitatmajor,sedimentconcern,sedimentmoderate,sedimentmajor,recreationconcern,recreationmoderate,recreationmajor,valknowconservation,valundueblame,valwaterimportant,vallandregulate,valwaterproblem,valpaymentimportant,valtogether,valstaff,valsteward,valinfluence,pollutionobs,familiar25,otherswetland,otherscovercrop,othersnm,pastcrp,pastfcp,pastmci,pastoneseason,pastlongterm,pastgcdt,pastgcsv,nowcrp,noweqip,nowfcsv,nowcsp,practicegd,practicemintill,practicerb,practicerp,obssediment,obsnutrients,obsodor,obstrash,obslackfish,obsunsafeswim,obscolor,obsunsafedrink,opwetlandfamiliar,opwetlandcostr,opwetlandcontrol,opwetlandequipment,opwetlandcostm,opwetlandhabitat,opwetlandsoil,opcovercropfamiliar,opcovercroprp,opcovercroptimep,opcovercroptimeh,opcovercroprs,opcovercropis,opcovercropln,opnmfamiliar,opnmrs,opnmrl,opnmis,opnmrf,opnmcost,opwetlandopen,opwetlandrestored,opcovercropopen,opcovercropplant,opnmopen,acfish,acswim,acexplore,ackayak,achunt,achike,acbike,acpicnic,achorseride,acgooffroading,sptlandowners,sptfarmmanager,sptrenters,sptgovstaff,sptmrbboard,infonrcs,infofsa,infoces,infomedial,infospecialists,infosfdealer,infomdealer,infoneighborfriends,infoscdc,infovai,infoprivateconsultants,infonpo,infomedian,preferfielddemo,preferinternet,prefercountymeeting,prefertelevision,prefermagazines,preferradio,preferprinted,prefervisual,preferonfarmconsul,prefertradeshows,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,work2017,COM,GCON,SMET,ETHIC,NCOM,ADV,AgResp,WATER,AgVal,LoSte,LoResp,NM_DIS,WLD_DIS,CC_DIS,OPEN,FAMIL,WLD_ADV,CC_ADV,NM_ADV
6967500969,V,V,C,C,V,C,V,C,Jackson,Jackson,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,4,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,3,3,4,4,3,2,4,4,1,1,1,5,1,3,2,3,3,4,4,3,3,1,1,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,1.153046304,-0.276929338,1.058233406,1.087222112,0.310391224,0.022774141,-0.106300696,0.073567184,0.176805808,0.333571122,0.072746638,0.169054291,-0.121606436,-1.063762975,0.059318565,0.239600778,-0.158186357,-0.362355528,-0.064256725
6966018516,V,V,C,C,V,V,V,C,Renville,Renville,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,4,5,5,2,3,4,4,4,4,4,2,3,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,5,5,5,5,2,2,4,3,3,3,5,5,3,4,2,2,3,4,3,2,3,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,Male,30-50,"B.A., B.S., or equivalent","$25,000 - $99,999",50%-75%,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-1.35277602,-0.212638999,-1.511237739,-1.135257159,-0.246198019,-0.011161421,0.045829672,-0.015563453,0.104755079,0.153753839,-0.111840742,-0.588980787,1.528225151,-0.106491187,-0.243496646,0.000472844,-1.181192637,0.544476113,0.230407828
6954002510,V,V,C,V,C,V,V,V,Hennepin,Mille Lacs,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,4,4,4,4,2,4,4,4,4,4,4,4,4,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,5,5,4,3,3,4,4,5,4,4,4,1,3,3,3,2,5,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Male,Over 70,High school diploma,None,0,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Wheat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502043409,1.464390737,0.883586618,0.520643871,-0.043573043,-0.183699812,-0.095150052,-0.157880995
6954000142,V,C,V,V,V,C,V,C,Watonwan,Watonwan,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,5,5,4,4,5,5,5,3,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,3,3,4,4,4,4,2,3,2,4,4,4,3,3,3,3,3,3,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,0.451530112,-0.251437205,0.621105324,0.257823351,-0.198950502,-0.022745824,-0.140798753,0.177177278,0.896167552,0.378367365,0.07257903,0.276757699,-0.03817966,-0.469870381,0.091387102,-0.029250477,0.351085904,0.204966412,0.043452937
6952091365,V,V,V,V,V,V,V,V,Yellow Medicine,Yellow Medicine,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,4,5,4,1,1,3,4,4,4,3,2,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,5,3,1,3,2,2,5,3,4,3,3,3,2,3,1,3,3,1,3,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Male,30-50,Some college but no 4-year degree,"$100,000 - $249,999",1%-25%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-1.610249544,-0.298864088,-1.679928171,-1.680780678,-0.187118239,0.000649777,-0.222707324,-0.278302598,-0.145023059,0.083891074,-0.112065441,0.019140743,0.060902367,0.208355328,-0.520382114,-0.016711539,-1.009629883,-0.416485398,-0.686150353
6950969532,C,C,C,C,C,C,C,C,Brown,Brown,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,4,4,4,4,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",25%-50%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,0.185287495,-0.208242454,0.081482037,0.138376239,-0.151278188,0.000270656,0.253008815,0.022187796,0.057998834,-0.127714281,0.072816907,0.257586467,0.505855177,0.026213657,0.796667755,-0.139155375,0.096043918,0.017108491,-0.06519221
6950966877,C,V,V,V,V,V,V,V,Watonwan,Watonwan,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,5,4,3,4,3,4,4,4,4,3,2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,2,2,4,4,2,3,3,4,4,4,4,4,2,2,5,5,2,1,3,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,0.648664506,-0.28236101,0.695225569,0.959261171,-0.171748993,-0.018092606,-0.191374743,0.02331111,0.021127654,-0.024450823,-0.112070078,-0.712848873,-0.785181696,0.218443681,-0.471375951,0.167589746,0.605232838,0.257167808,0.536947443
6950963846,V,V,V,V,V,V,V,V,Blue Earth,Blue Earth,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,3,5,3,4,4,4,4,4,3,1,NA,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,2,2,2,4,4,2,2,3,3,4,4,3,1,3,3,4,4,3,1,2,1,3,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,Female,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,1 to 100 acres,"No, majority of my land is not currently used for crop production.",Conservation Reserve Program (CRP),Full-time off-farm work,1.303332838,-0.213459664,1.021768506,1.402867549,0.381244981,0.01108957,NA,NA,NA,NA,NA,0.284694528,-1.264241421,-0.152533678,-0.519064928,0.020858391,0.721800979,0.206059583,0.217890455
6949522020,,,,,,,,,Cottonwood,Cottonwood,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,1,3,3,3,5,3,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,1,1,3,3,5,5,2,3,1,3,3,3,3,3,3,2,3,1,2,3,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,Over 70,Some college but no 4-year degree,,75%-100%,"1,000 acres or more","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-1.726515491,-0.29264088,-1.798734681,-1.490329357,0.14244262,0.018395406,-0.218036449,-0.381647502,-0.886507985,0.43689266,0.07257911,0.317402747,1.630088739,0.968666921,0.171782078,0.032226581,-2.184155174,-1.046911859,-0.744259598
6949520595,C,C,C,C,C,C,V,C,Blue Earth,Blue Earth,1,3,1,1,3,2,1,1,1,1,1,1,1,1,1,4,5,4,2,2,1,3,4,4,3,2,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,3,3,2,2,2,2,2,2,3,3,4,4,3,1,3,3,3,3,3,2,3,1,3,3,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others,-1.643149279,-0.265701533,-1.445306535,-1.243300133,0.343770608,0.035767605,-0.192741381,-0.229080021,-0.502000516,0.032459422,0.072541281,0.347529428,-0.787331427,-0.166564393,0.21393973,-0.296618021,-0.894844141,-0.040988056,-0.149576291
