respondentid,"choice1","choice2","choice3","choice4","choice5","choice6","choice7",choice8,countyresident,countyland,scenicconcern,scenicmoderate,scenicmajor,nutrientconcern,nutrientmoderate,nutrientmajor,habitatconcern,habitatmoderate,habitatmajor,sedimentconcern,sedimentmoderate,sedimentmajor,recreationconcern,recreationmoderate,recreationmajor,valknowconservation,valundueblame,valwaterimportant,vallandregulate,valwaterproblem,valpaymentimportant,valtogether,valstaff,valsteward,valinfluence,pollutionobs,familiar25,otherswetland,otherscovercrop,othersnm,pastcrp,pastfcp,pastmci,pastoneseason,pastlongterm,pastgcdt,pastgcsv,nowcrp,noweqip,nowfcsv,nowcsp,practicegd,practicemintill,practicerb,practicerp,obssediment,obsnutrients,obsodor,obstrash,obslackfish,obsunsafeswim,obscolor,obsunsafedrink,opwetlandfamiliar,opwetlandcostr,opwetlandcontrol,opwetlandequipment,opwetlandcostm,opwetlandhabitat,opwetlandsoil,opcovercropfamiliar,opcovercroprp,opcovercroptimep,opcovercroptimeh,opcovercroprs,opcovercropis,opcovercropln,opnmfamiliar,opnmrs,opnmrl,opnmis,opnmrf,opnmcost,opwetlandopen,opwetlandrestored,opcovercropopen,opcovercropplant,opnmopen,acfish,acswim,acexplore,ackayak,achunt,achike,acbike,acpicnic,achorseride,acgooffroading,sptlandowners,sptfarmmanager,sptrenters,sptgovstaff,sptmrbboard,infonrcs,infofsa,infoces,infomedial,infospecialists,infosfdealer,infomdealer,infoneighborfriends,infoscdc,infovai,infoprivateconsultants,infonpo,infomedian,preferfielddemo,preferinternet,prefercountymeeting,prefertelevision,prefermagazines,preferradio,preferprinted,prefervisual,preferonfarmconsul,prefertradeshows,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,work2017
6967500969,V,V,C,C,V,C,V,C,Jackson,Jackson,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,4,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,3,3,4,4,3,2,4,4,1,1,1,5,1,3,2,3,3,4,4,3,3,1,1,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6966018516,V,V,C,C,V,V,V,C,Renville,Renville,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,4,5,5,2,3,4,4,4,4,4,2,3,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,5,5,5,5,2,2,4,3,3,3,5,5,3,4,2,2,3,4,3,2,3,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,Male,30-50,"B.A., B.S., or equivalent","$25,000 - $99,999",50%-75%,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6954002510,V,V,C,V,C,V,V,V,Hennepin,Mille Lacs,,,,,,,,,1,5,5,5,4,4,4,4,2,4,4,4,4,4,4,4,4,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,5,5,4,3,3,4,4,5,4,4,4,1,3,3,3,2,5,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Male,Over 70,High school diploma,None,0,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Wheat,
6954000142,V,C,V,V,V,C,V,C,Watonwan,Watonwan,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,5,5,4,4,5,5,5,3,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,3,3,4,4,4,4,2,3,2,4,4,4,3,3,3,3,3,3,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Male,50-70,High school diploma,"$500,000 to $999,999",75%-100%,1 to 100 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6952091365,V,V,V,V,V,V,V,V,Yellow Medicine,Yellow Medicine,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,4,5,4,1,1,3,4,4,4,3,2,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,5,3,1,3,2,2,5,3,4,3,3,3,2,3,1,3,3,1,3,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Male,30-50,Some college but no 4-year degree,"$100,000 - $249,999",1%-25%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6950969532,C,C,C,C,C,C,C,C,Brown,Brown,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,4,4,4,4,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Male,50-70,Some college but no 4-year degree,"$25,000 - $99,999",25%-50%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6950966877,C,V,V,V,V,V,V,V,Watonwan,Watonwan,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,5,4,3,4,3,4,4,4,4,3,2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,2,2,4,4,2,3,3,4,4,4,4,4,2,2,5,5,2,1,3,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,Male,50-70,"B.A., B.S., or equivalent","$100,000 - $249,999",50%-75%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6950963846,V,V,V,V,V,V,V,V,Blue Earth,Blue Earth,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,3,5,3,4,4,4,4,4,3,1,,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,2,2,2,4,4,2,2,3,3,4,4,3,1,3,3,4,4,3,1,2,1,3,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,Female,50-70,Some college but no 4-year degree,"$1 -$24,999",1%-25%,1 to 100 acres,"No, majority of my land is not currently used for crop production.",Conservation Reserve Program (CRP),Full-time off-farm work
6949522020,,,,,,,,,Cottonwood,Cottonwood,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,1,3,3,3,5,3,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,1,1,3,3,5,5,2,3,1,3,3,3,3,3,3,2,3,1,2,3,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,Over 70,Some college but no 4-year degree,,75%-100%,"1,000 acres or more","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949520595,C,C,C,C,C,C,V,C,Blue Earth,Blue Earth,1,3,1,1,3,2,1,1,1,1,1,1,1,1,1,4,5,4,2,2,1,3,4,4,3,2,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,3,3,2,2,2,2,2,2,3,3,4,4,3,1,3,3,3,3,3,2,3,1,3,3,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Male,50-70,Some college but no 4-year degree,"$250,000 - $499,999",50%-75%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949519165,C,C,C,C,C,C,C,V,Todd,Todd,2,2,3,2,2,3,2,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,4,4,3,4,2,3,3,3,4,4,3,2,2,2,4,4,3,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Male,Over 70,High school diploma,"$1 -$24,999",50%-75%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949517026,,,,,,,,,Le Sueur,Le Sueur,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,5,4,4,4,3,4,4,3,4,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,2,3,3,3,4,3,3,1,3,3,3,3,3,3,2,1,3,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,Female,Over 70,Some college but no 4-year degree,,,,"Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean(All No-till),Retired
6949515466,V,C,V,C,V,C,C,V,Douglas,Douglas,3,4,2,4,4,4,4,4,4,4,4,4,3,3,2,3,2,5,5,5,4,5,4,4,2,3,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,5,5,2,2,3,3,4,4,3,1,3,3,4,4,3,1,1,1,3,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Male,50-70,High school diploma,"$1 -$24,999",25%-50%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired
6949513982,V,V,V,V,V,V,V,V,Hennepin,Becker,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,3,4,2,5,5,5,4,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,3,3,4,2,2,5,5,2,2,2,2,4,4,2,1,2,2,4,4,3,3,1,1,2,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,Male,Over 70,Graduate degree,None,0,1 to 100 acres,"No, majority of my land is not currently used for crop production.",Other (please specify),Retired
6949512250,V,V,V,V,V,V,V,V,Swift,Swift,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,4,4,4,4,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3,3,3,3,4,4,3,1,2,2,4,4,3,3,2,2,4,3,3,3,1,1,3,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Male,50-70,Graduate degree,"$100,000 - $249,999",75%-100%,"500 to 1,000 acres","Yes, and someone else is in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Retired
6949510004,C,C,V,V,V,V,C,C,Redwood,Redwood,3,2,2,2,2,2,3,3,2,3,3,3,3,3,2,4,5,5,1,4,4,4,4,5,3,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,3,4,4,4,3,4,4,2,3,4,4,3,4,3,1,2,1,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Male,50-70,"B.A., B.S., or equivalent",,75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949508507,V,C,V,V,V,V,V,V,Otter Tail,Otter Tail,4,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,2,4,4,4,4,4,3,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,3,4,4,4,2,3,2,2,4,4,4,4,4,1,3,3,4,4,3,3,2,2,3,3,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,Male,Over 70,High school diploma,"$25,000 - $99,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949506509,V,V,V,C,V,V,V,V,Grant,Stevens,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,4,4,4,2,3,3,4,4,5,3,3,2,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,4,4,4,4,4,4,2,3,4,3,3,4,4,2,3,3,4,2,3,3,2,3,1,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Male,50-70,Some college but no 4-year degree,"$500,000 to $999,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949504595,V,C,V,C,V,V,C,C,Faribault,Faribault,2,4,4,4,3,4,3,1,1,3,3,2,1,2,2,4,4,4,2,4,4,4,4,4,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,3,4,4,3,3,4,2,4,4,4,3,4,3,1,3,3,3,3,3,1,3,2,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Male,50-70,"B.A., B.S., or equivalent","$250,000 - $499,999",75%-100%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949502871,V,V,V,V,V,V,V,V,Stevens,Stevens,3,5,5,4,4,4,3,4,5,3,3,3,3,4,5,5,5,5,4,4,2,4,4,5,2,1,2,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,4,4,3,5,2,3,2,4,4,5,4,2,3,2,2,4,4,5,1,3,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Male,50-70,"B.A., B.S., or equivalent","$500,000 to $999,999",75%-100%,"500 to 1,000 acres","Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time farm work on land owned by me or rented from others
6949501136,C,C,C,C,C,C,C,C,Murray,Murray,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,5,3,1,2,2,3,4,3,3,3,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,2,1,1,1,3,4,4,3,3,1,3,4,3,2,3,4,2,3,2,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Male,50-70,High school diploma,"$25,000 - $99,999",75%-100%,100 to 500 acres,"Yes, and I am in charge of a day to day farm operation.",Corn/Bean (All Conventional till),Full-time off-farm work
