"FA1","FA2","id"
77686.3889477413,-10098.4695164137,6967500969
-336178.489453972,43702.777314352,6966018516
NA,NA,6954002510
141249.308007112,-18362.4695551436,6954000142
-121379.430018908,15778.9807246593,6952091365
41700.380685376,-5420.52491201103,6950969532
-37630.3536714384,4891.6725619001,6950966877
NA,NA,6950963846
-315947.583920686,41073.37983277,6949522020
-69859.8213622898,9082.01674708518,6949520595
-4986.97534143566,648.387034184975,6949519165
95834.0300355082,-12457.9465376615,6949517026
270914.720395264,-35218.1712626867,6949515466
49436.193931437,-6426.34527281891,6949513982
76347.513211713,-9924.81311795388,6949512250
-7503.09072526318,975.039066784583,6949510004
7790.18407084438,-1012.67287955957,6949508507
44070.1228183543,-5728.45890397387,6949506509
-1083.28242819336,140.565104212793,6949504595
-219297.573084427,28508.5604819907,6949502871
-78505.122142555,10205.8661961128,6949501136
221278.73466135,-28766.3551070199,6949498386
NA,NA,6949496064
-374715.23968373,48711.9799582855,6949493789
-274355.730776631,35666.1983749975,6949491780
170689.547124959,-22189.8506618338,6949489833
11228.49100512,-1459.60681220153,6949488002
-9411.44452582832,1223.5372590701,6949485959
-255505.269654926,33215.6190825381,6949478309
NA,NA,6949476839
68605.8743104056,-8917.9607645343,6949474644
38751.9404485612,-5038.00343490236,6949471920
-289948.246410564,37692.9842981943,6949467324
-39975.4961115992,5197.02119817524,6949465030
NA,NA,6949463084
199880.570448198,-25985.3832656736,6949461204
67159.7671611803,-8730.93042961321,6949458706
-16122.9994453733,2095.70043978107,6949455558
NA,NA,6949418183
NA,NA,6949416279
-290058.224037092,37707.2323744741,6949408889
75573.0446603884,-9824.60229489859,6949405911
-124886.670427472,16235.1876212411,6949403352
NA,NA,6949399112
26102.9969680724,-3393.17330509531,6949394536
136971.565461628,-17806.2756012486,6949392066
153242.776904621,-19921.9310961149,6949389471
NA,NA,6949385903
70266.9576759121,-9134.65323707245,6948985749
NA,NA,6948796897
177878.139513469,-23124.2137403589,6948796210
121808.146496169,-15835.3254128814,6948795512
38818.8829437685,-5046.22281749978,6948794673
NA,NA,6948793617
-67995.810163505,8839.4857329144,6948792859
94575.3302963121,-12294.7285834955,6948790989
NA,NA,6948790357
97196.5595605401,-12635.6984124576,6948788893
32967.1057820142,-4285.41171304291,6948788159
15328.5581577924,-1992.29992721186,6948756355
NA,NA,6948754791
12757.3334994265,-1658.37000240786,6948752656
96184.0353274576,-12504.3554753656,6948751048
-82436.3249836967,10716.5701417615,6948748993
-220269.1205229,28634.8274612447,6948747287
45077.6944660197,-5859.71416027813,6948745823
114722.788230935,-14914.269412522,6948744309
-153845.583565508,19999.7661589639,6948742656
-48845.6880781662,6350.24461377414,6948731395
-100030.152325582,13004.3627544651,6948722483
NA,NA,6948718920
-114638.93203512,14902.8013656704,6948716744
80129.5417028089,-10416.3857781403,6948714093
62461.5957930639,-8120.38104697099,6948712233
25788.763560721,-3352.38686856388,6948710186
54244.9875991935,-7051.49579502167,6948708312
99926.525540412,-12990.0333716991,6948706493
24759.1943424741,-3218.04304550694,6948691653
