"FA1","FA2","id"
-10325.7570089277,4138.22729602661,6967500969
-66386.2935746056,26610.626283271,6966018516
NA,NA,6954002510
-148629.843661536,59578.7567216596,6954000142
-57405.9707048821,23013.5935325959,6952091365
-20569.7297484474,8245.99944088149,6950969532
183784.654896105,-73668.4438768402,6950966877
NA,NA,6950963846
-35872.1642638015,14379.7070589336,6949522020
-40962.1813024086,16418.7820247592,6949520595
-23902.806590617,9583.93578004721,6949519165
18897.2120113816,-7573.18111670738,6949517026
-181506.69724693,72757.6485904526,6949515466
-685.770608630523,275.015229409213,6949513982
1101.8335233273,-442.894362654635,6949512250
-148848.257751769,59667.2190074025,6949510004
44199.4026868192,-17718.0181984307,6949508507
-58413.1373389606,23414.8470963807,6949506509
107685.645346678,-43165.3299388303,6949504595
129772.829818056,-52019.7098886934,6949502871
-39961.308505531,16020.1713865671,6949501136
-26252.0163745338,10522.810623827,6949498386
NA,NA,6949496064
-16110.2948877814,6458.864227568,6949493789
65908.4915348551,-26417.7025074962,6949491780
-151154.658929963,60589.9723638926,6949489833
27268.5348215946,-10930.1841635862,6949488002
-249736.675158442,100107.728337759,6949485959
-56549.8012799549,22668.4436500334,6949478309
NA,NA,6949476839
-255608.380898652,102460.178684238,6949474644
59467.2130046111,-23837.2749901722,6949471920
205536.166283696,-82386.0564844316,6949467324
53786.8551599792,-21557.5723644665,6949465030
-95338.0190565764,38215.4141786667,6949463084
-25455.9445348547,10205.3393203858,6949461204
47666.1140380109,-19105.552650391,6949458706
-89852.2615668266,36019.9309515919,6949455558
NA,NA,6949418183
NA,NA,6949416279
-2094.17844870065,839.222717845696,6949408889
-28017.4992290125,11230.816196451,6949405911
-35538.0748479173,14246.1378996312,6949403352
NA,NA,6949399112
-163507.004881975,65544.1119707355,6949394536
-194564.451106869,77992.0918647412,6949392066
-145081.711389032,58156.7714228511,6949389471
NA,NA,6949385903
-206137.474162758,82632.2262175558,6948985749
NA,NA,6948796897
-169218.782503894,67831.7228806,6948796210
-81465.2584045081,32654.6951576181,6948795512
45562.7604767487,-18261.477522156,6948794673
NA,NA,6948793617
-87100.6517741088,34916.8383701283,6948792859
-109897.690583737,44053.4237243802,6948790989
NA,NA,6948790357
52198.0113352693,-20924.2467209448,6948788893
-140917.152214737,56488.3641142879,6948788159
-220361.253412982,88332.3393225535,6948756355
NA,NA,6948754791
-17742.9776371825,7112.00021797424,6948752656
-60823.8748522406,24383.0099089477,6948751048
-53420.0713273756,21413.5166207013,6948748993
177420.340799518,-71117.4379797547,6948747287
175569.68007378,-70377.4727108742,6948745823
-13938.665967597,5587.04125116278,6948744309
-33917.3997163447,13594.8104422466,6948742656
70471.2170327533,-28245.7181102333,6948731395
-150034.073359165,60142.984909791,6948722483
NA,NA,6948718920
-114963.222694698,46084.8221144308,6948716744
-20956.1508997001,8401.01020641832,6948714093
27299.732505971,-10941.5940680123,6948712233
-69032.4041181743,27674.1930042858,6948710186
-171463.433393331,68730.3305925011,6948708312
-202726.366420361,81263.799545296,6948706493
-78670.9902353905,31534.4370455523,6948691653
-71787.7002586743,28776.8425321714,6948681806
NA,NA,6948655563
-72492.0885700717,29060.169652974,6948647714
35294.251728641,-14145.9107244739,6948511119
-643416.008380031,257912.096622267,6948510157
NA,NA,6948509307
-87908.8667868439,35238.0726880082,6948508205
NA,NA,6948507689
-15886.6631416635,6368.68868434217,6948506700
277210.62670853,-111119.483028239,6948504619
-32356.6132362575,12970.6481104421,6948503888
-260201.968504199,104304.131916003,6948502762
-30400.0987707292,12187.6248026266,6948501935
138600.119387704,-55556.7730425925,6948500862
-204023.1011587,81782.6401384264,6948500040
55600.0837176611,-22287.598051689,6948499253
-48950.9564613329,19623.5551680794,6948498376
43622.8019212929,-17485.3346505978,6948497545
NA,NA,6948497011
-121717.779436348,48789.2133128138,6948495759
-55092.1860414853,22081.5303880564,6948494256
89536.7890060779,-35889.9403077942,6948493327
