Water body name,Water body description,Water body type,Year added to List,Basin,AUID,Use Class,County,Affected designated use,Pollutant or stressor
Albert Lea,Lake or Reservoir,Lake,2008,Cedar River,24-0014-00,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
Bancroft Creek (County Ditch 63),CD 63 to 270th St,Stream,2020,Cedar River,07080202-548,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Bancroft Creek (County Ditch 63),270th St to -93.366 43.695,Stream,2020,Cedar River,07080202-549,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Bancroft Creek (County Ditch 63),270th St to -93.366 43.695,Stream,2020,Cedar River,07080202-549,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
Bancroft Creek (County Ditch 63),-93.366 43.695 to Fountain Lk,Stream,2020,Cedar River,07080202-550,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
Bancroft Creek (County Ditch 63),-93.366 43.695 to Fountain Lk,Stream,2012,Cedar River,07080202-550,"2Bg, 3C",Freeborn,Aquatic Recreation,Escherichia coli (E.coli)
Bear,Lake or Reservoir,Lake,2018,Cedar River,24-0028-00,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
Cedar River,Rose Cr to Woodbury Cr,Stream,1998,Cedar River,07080201-501,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Rose Cr to Woodbury Cr,Stream,2012,Cedar River,07080201-501,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Cedar River,Rose Cr to Woodbury Cr,Stream,2012,Cedar River,07080201-501,"2Bg, 3C",Mower,Aquatic Life,Fish bioassessments
Cedar River,Rose Cr to Woodbury Cr,Stream,2002,Cedar River,07080201-501,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Cedar River,Rose Cr to Woodbury Cr,Stream,1994,Cedar River,07080201-501,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Cedar River,Roberts Cr to Upper Austin Dam,Stream,1998,Cedar River,07080201-502,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Roberts Cr to Upper Austin Dam,Stream,2002,Cedar River,07080201-502,"2Bg, 3C",Mower,Aquatic Consumption,PCBs in fish tissue
Cedar River,Roberts Cr to Upper Austin Dam,Stream,2002,Cedar River,07080201-502,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Cedar River,Roberts Cr to Upper Austin Dam,Stream,1994,Cedar River,07080201-502,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Cedar River,Headwaters to Roberts Cr,Stream,1998,Cedar River,07080201-503,"2Bg, 3C",Dodge,Aquatic Consumption,Mercury in fish tissue
Cedar River,Headwaters to Roberts Cr,Stream,2002,Cedar River,07080201-503,"2Bg, 3C",Dodge,Aquatic Consumption,PCBs in fish tissue
Cedar River,Headwaters to Roberts Cr,Stream,2012,Cedar River,07080201-503,"2Bg, 3C",Dodge,Aquatic Life,Benthic macroinvertebrates bioassessments
Cedar River,Headwaters to Roberts Cr,Stream,2006,Cedar River,07080201-503,"2Bg, 3C",Dodge,Aquatic Recreation,Fecal coliform
Cedar River,Upper Austin Dam to Wolf Cr,Stream,1998,Cedar River,07080201-511,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Upper Austin Dam to Wolf Cr,Stream,2002,Cedar River,07080201-511,"2Bg, 3C",Mower,Aquatic Consumption,PCBs in fish tissue
Cedar River,Wolf Cr to Lower Austin Dam,Stream,1998,Cedar River,07080201-512,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Wolf Cr to Lower Austin Dam,Stream,2006,Cedar River,07080201-512,"2Bg, 3C",Mower,Aquatic Consumption,PCBs in fish tissue
Cedar River,Lower Austin Dam to Dobbins Cr,Stream,1998,Cedar River,07080201-513,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Dobbins Cr to Turtle Cr,Stream,1998,Cedar River,07080201-514,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Dobbins Cr to Turtle Cr,Stream,2012,Cedar River,07080201-514,"2Bg, 3C",Mower,Aquatic Recreation,Escherichia coli (E.coli)
Cedar River,Turtle Cr to Rose Cr,Stream,1998,Cedar River,07080201-515,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Turtle Cr to Rose Cr,Stream,2012,Cedar River,07080201-515,"2Bg, 3C",Mower,Aquatic Life,Benthic macroinvertebrates bioassessments
Cedar River,Turtle Cr to Rose Cr,Stream,2012,Cedar River,07080201-515,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Cedar River,Woodbury Cr to MN/IA border,Stream,1998,Cedar River,07080201-516,"2Bg, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Cedar River,Woodbury Cr to MN/IA border,Stream,2012,Cedar River,07080201-516,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Cedar River,Woodbury Cr to MN/IA border,Stream,2012,Cedar River,07080201-516,"2Bg, 3C",Mower,Aquatic Recreation,Escherichia coli (E.coli)
County Ditch 16,Unnamed ditch to Shell Rock R,Stream,2020,Cedar River,07080202-508,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
County Ditch 16,Unnamed ditch to Shell Rock R,Stream,2020,Cedar River,07080202-508,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
County Ditch 65,Unnamed ditch to CD 63,Stream,2020,Cedar River,07080202-529,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
County Ditch 65,Unnamed ditch to CD 63,Stream,2020,Cedar River,07080202-529,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
County Ditch 66,Unnamed ditch to CD 9,Stream,2020,Cedar River,07080202-527,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
County Ditch 66,Unnamed ditch to CD 9,Stream,2020,Cedar River,07080202-527,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
County Ditch 8,Unnamed cr to Unnamed ditch,Stream,2020,Cedar River,07080201-584,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
County Ditch 8,Unnamed cr to Unnamed ditch,Stream,2020,Cedar River,07080201-584,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
County Ditch 9,Unnamed ditch to Unnamed ditch,Stream,2020,Cedar River,07080202-526,"2Bg, 3C",Freeborn,Aquatic Life,Benthic macroinvertebrates bioassessments
County Ditch 9,Unnamed ditch to Unnamed ditch,Stream,2020,Cedar River,07080202-526,"2Bg, 3C",Freeborn,Aquatic Life,Fish bioassessments
Dobbins Creek,"T103 R18W S36, east line to East Side Lk",Stream,2012,Cedar River,07080201-535,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Dobbins Creek,"T103 R18W S36, east line to East Side Lk",Stream,2006,Cedar River,07080201-535,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
Dobbins Creek,East Side Lk to Cedar R,Stream,2006,Cedar River,07080201-537,"2Bg, 3C",Mower,Aquatic Life,Turbidity
Dobbins Creek,East Side Lk to Cedar R,Stream,2006,Cedar River,07080201-537,"2Bg, 3C",Mower,Aquatic Recreation,Fecal coliform
East Side,Lake or Reservoir,Lake,1998,Cedar River,50-0002-00,"2B, 3C",Mower,Aquatic Consumption,Mercury in fish tissue
Fountain (East Bay),Lake or Reservoir,Lake,2012,Cedar River,24-0018-01,"2B, 3C",Freeborn,Aquatic Consumption,Mercury in fish tissue
Fountain (East Bay),Lake or Reservoir,Lake,2008,Cedar River,24-0018-01,"2B, 3C",Freeborn,Aquatic Recreation,Nutrients
