id,mean_wld,mean_cc,mean_nm,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,countyresident,countyland,unemploy,costlive,hrwage,taxcost,cashrent,crp2018,landvalu,impstrea,implakes,impwetl,imptotal,childcar,foodcost,healthc,housecos,othercos,dfl08to18,dflmean,concern,att_wld_unfav,att_nm_unfav,comp,norm_control,aware,past,appreciate,social,Cluster,County,Region_y,Watershed
6967500969,-173.1391827,-574.9214751000001,-490.2815199,1.0,3.0,2.0,6.0,,3.0,1.0,1.0,Jackson,Jackson,3.9,44714.0,14.33,428.0,195.0,202.0,7136.0,28.1,81.0,0.0,3.0,204.0,769.0,417.0,698.0,429.0,0.47950727600000004,0.454818836,0.937313365,-0.009738535999999999,0.271227143,-0.0014252289999999999,0.13814906300000002,-0.273775695,0.24922310399999997,0.277467236,0.0034934959999999996,2,Jackson,Southwest,Blue Earth
6967500969,-173.1391827,-574.9214751000001,-490.2815199,1.0,3.0,2.0,6.0,,3.0,1.0,1.0,Jackson,Jackson,3.9,44714.0,14.33,428.0,195.0,202.0,7136.0,28.1,81.0,0.0,3.0,204.0,769.0,417.0,698.0,429.0,0.47950727600000004,0.454818836,0.937313365,-0.009738535999999999,0.271227143,-0.0014252289999999999,0.13814906300000002,-0.273775695,0.24922310399999997,0.277467236,0.0034934959999999996,2,Jackson,Southwest,Watonwan
6966018516,-173.1391827,-574.9214751000001,-490.2815199,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,Renville,Renville,4.7,45944.0,14.73,459.0,217.0,219.0,6966.0,243.6,0.0,0.0,31.0,224.0,770.0,417.0,698.0,429.0,0.537740966,0.5079635570000001,-1.223141889,1.128035159,-0.5379139820000001,-0.033936139,0.30075946800000003,-0.249867382,0.215341654,-0.154637619,0.043083135999999994,1,Renville,Westcentral,Hawk-Yellow Medicine
6966018516,-173.1391827,-574.9214751000001,-490.2815199,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,Renville,Renville,4.7,45944.0,14.73,459.0,217.0,219.0,6966.0,243.6,0.0,0.0,31.0,224.0,770.0,417.0,698.0,429.0,0.537740966,0.5079635570000001,-1.223141889,1.128035159,-0.5379139820000001,-0.033936139,0.30075946800000003,-0.249867382,0.215341654,-0.154637619,0.043083135999999994,1,Renville,Westcentral,Middle Minnesota
6966018516,-173.1391827,-574.9214751000001,-490.2815199,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,Renville,Renville,4.7,45944.0,14.73,459.0,217.0,219.0,6966.0,243.6,0.0,0.0,31.0,224.0,770.0,417.0,698.0,429.0,0.537740966,0.5079635570000001,-1.223141889,1.128035159,-0.5379139820000001,-0.033936139,0.30075946800000003,-0.249867382,0.215341654,-0.154637619,0.043083135999999994,1,Renville,Westcentral,Lower Minnesota
6954002510,-173.1391827,-574.9214751000001,-490.2815199,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,Hennepin,Mille Lacs,3.1,64137.0,20.56,860.0,76.0,131.0,18090.0,31.3,1071.0,0.0,22.0,707.0,784.0,486.0,1113.0,555.0,0.666003954,0.627656542,0.928581049,0.9172491,0.43549618100000004,0.026654092,-0.171931358,-0.309050891,-0.726119898,-0.23568300600000003,-0.073788532,0,Hennepin,Southcentral,Lower Minnesota
6954000142,-173.1391827,-574.9214751000001,-490.2815199,1.0,3.0,1.0,6.0,5.0,1.0,1.0,1.0,Watonwan,Watonwan,4.5,44271.0,14.19,417.0,215.0,213.0,6510.0,207.9,700.0,0.0,24.0,189.0,749.0,417.0,698.0,423.0,0.5474074489999999,0.516861187,0.478270181,-0.01820219,0.253195728,0.36474444899999997,0.144779086,-0.252316158,0.224228442,-0.20829908,-0.08493062300000001,1,Watonwan,Southcentral,Blue Earth
6954000142,-173.1391827,-574.9214751000001,-490.2815199,1.0,3.0,1.0,6.0,5.0,1.0,1.0,1.0,Watonwan,Watonwan,4.5,44271.0,14.19,417.0,215.0,213.0,6510.0,207.9,700.0,0.0,24.0,189.0,749.0,417.0,698.0,423.0,0.5474074489999999,0.516861187,0.478270181,-0.01820219,0.253195728,0.36474444899999997,0.144779086,-0.252316158,0.224228442,-0.20829908,-0.08493062300000001,1,Watonwan,Southcentral,Middle Minnesota
6954000142,-173.1391827,-574.9214751000001,-490.2815199,1.0,3.0,1.0,6.0,5.0,1.0,1.0,1.0,Watonwan,Watonwan,4.5,44271.0,14.19,417.0,215.0,213.0,6510.0,207.9,700.0,0.0,24.0,189.0,749.0,417.0,698.0,423.0,0.5474074489999999,0.516861187,0.478270181,-0.01820219,0.253195728,0.36474444899999997,0.144779086,-0.252316158,0.224228442,-0.20829908,-0.08493062300000001,1,Watonwan,Southcentral,Watonwan
6952091365,-173.1391827,-574.9214751000001,-490.2815199,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,Yellow Medicine,Yellow Medicine,3.6,44597.0,14.29,425.0,183.0,183.0,5444.0,303.4,977.0,7.81,22.0,190.0,775.0,417.0,698.0,430.0,0.5482342889999999,0.523649458,-1.468235468,0.065935718,-0.157493056,-0.366927176,-0.08751052,-0.307012746,0.171987817,-0.091761114,-0.148541562,1,Yellow Medicine,Southwest,Lac Qui Parle
6952091365,-173.1391827,-574.9214751000001,-490.2815199,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,Yellow Medicine,Yellow Medicine,3.6,44597.0,14.29,425.0,183.0,183.0,5444.0,303.4,977.0,7.81,22.0,190.0,775.0,417.0,698.0,430.0,0.5482342889999999,0.523649458,-1.468235468,0.065935718,-0.157493056,-0.366927176,-0.08751052,-0.307012746,0.171987817,-0.091761114,-0.148541562,1,Yellow Medicine,Southwest,Hawk-Yellow Medicine
6952091365,-173.1391827,-574.9214751000001,-490.2815199,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,Yellow Medicine,Yellow Medicine,3.6,44597.0,14.29,425.0,183.0,183.0,5444.0,303.4,977.0,7.81,22.0,190.0,775.0,417.0,698.0,430.0,0.5482342889999999,0.523649458,-1.468235468,0.065935718,-0.157493056,-0.366927176,-0.08751052,-0.307012746,0.171987817,-0.091761114,-0.148541562,1,Yellow Medicine,Southwest,Redwood
